ts_code,entry_date,exit_date_v0,exit_date_v1,pnl_v0,pnl_v1,pnl_diff
002594.SZ,2021-02-26,2021-05-26,2021-04-19,84300.68073376257,-20542.677800463513,104843.35853422608
300014.SZ,2022-03-03,2022-06-01,2022-06-01,138938.98246875755,64186.72323819087,74752.25923056668
601899.SH,2024-07-23,2024-09-25,2024-09-25,91015.7511402329,19426.273820340168,71589.47731989273
002230.SZ,2024-01-03,2024-02-08,2024-02-08,38547.30861310882,-964.9429799143982,39512.25159302322
601919.SH,2024-07-12,2024-09-20,2024-09-20,19025.91643656208,-19365.48020742199,38391.39664398407
601318.SH,2021-01-28,2021-02-25,2021-02-25,97488.59463406436,63932.65644672839,33555.93818733597
002475.SZ,2021-01-28,2021-04-19,2021-04-19,-158888.85137424304,-126784.31084213412,-32104.54053210892
601899.SH,2026-03-16,2026-04-15,2026-04-15,79317.86356406752,47938.858025274356,31379.005538793164
300308.SZ,2025-10-14,2025-10-24,2025-10-21,129886.32235845941,99507.79021019861,30378.532148260798
002456.SZ,2020-09-01,2020-10-28,2020-10-20,-29394.605144407833,-58296.345235331566,28901.740090923733
