version,desc,total,ann,mdd,sharpe,trades,wr,stock_pnl
V0_BASELINE_oldlimit,含未来+old跌停+slip0,383.62,27.96,-45.43,0.681,103,75.73,2020726.0
P0_FIX,无未来退出,110.85,12.38,-55.27,0.521,65,66.15,458358.0
P0+CORRECTLD,无未来+正确跌停,82.49,9.87,-62.72,0.513,64,62.5,307917.0
STRICT_V1,无未来+正确跌停+10bp滑点+一字板约束,62.62,7.9,-65.56,0.511,63,63.49,260402.0
STRICT_V1_histstamp,STRICT_V1+历史印花税,52.28,6.8,-65.75,0.504,63,60.32,142061.0
STRICT_V1_nextopen_buy,STRICT_V1+买入next_open,81.85,9.81,-39.91,0.443,74,64.86,243634.0
STRICT_V1_full,全严格: 无未来+correct跌停+10bp+一字板+next_open+历史印花税,84.06,10.01,-40.05,0.449,74,64.86,267730.0
