recovery_definition,n,mean,median,p90,opportunity_cost_mean,opportunity_cost_median
RECOVER_CLOSE,1523,-24.98117334395325,-24.805881730021095,-12.748170163668552,24.98117334395325,24.805881730021095
RECOVER_TOUCH,2075,-22.980911243427617,-23.236799678032515,-11.382833734747225,22.980911243427617,23.236799678032515
FINAL_PROFIT,4616,-17.893210996306845,-16.53505009281948,-7.444841882419247,17.893210996306845,16.53505009281948
