oracle,anchor_day,day_delta
O1,45,3.4699857593151258
O1,46,-0.11591187257130997
O1,47,-4.102534319844212
O1,49,4.332660021810303
O1,50,-2.782354899763135
O1,51,-5.332562209978904
O1,52,-5.168709458277369
O1,53,13.030962814884404
O1,54,-6.810150847257164
O1,56,-4.894161929922635
O1,58,7.608642294715491
O1,59,-5.522853827008238
O1,60,20.187170709878025
O1,65,5.257366170024533
O1,66,-0.8345974769070406
O1,70,-2.232760284329542
O1,71,16.097318880644952
O1,72,19.887028283631185
O1,73,-4.481101520504451
O1,74,0.7391270860290423
O1,75,-0.6558825324708168
O1,76,-1.8728282663771836
O1,77,-5.127633971260943
O1,78,-3.0999310316396933
O1,79,-3.425202097417001
O1,80,-8.067048314944554
O1,81,-7.78480329982769
O1,83,-4.754370076918439
O1,86,-9.879582654873266
O1,87,-10.065972544669396
O1,88,-14.603810804252653
O1,89,-3.838909706277379
O1,90,-9.227495847090722
O1,91,-6.725066970778142
O1,92,-2.7098167262690525
O1,93,-1.9527778222568237
O1,96,-1.2579124248814209
O1,99,-0.7649573453477636
O1,102,-2.499449733909959
O1,106,-6.146396356646861
O1,109,-15.821614657485226
O1,115,-4.241945129414736
O1,118,8.330746397060238
O1,119,3.3423664754260614
O1,135,-4.7182622581805616
O1,144,0.0
O1,148,-13.923783808585434
O1,150,0.42972539075530136
O1,155,-6.918000330672902
O1,157,-1.899104800871334
O1,158,-3.420857693628351
O1,164,-12.172197111677416
O1,165,-2.446227315193081
O1,166,9.452087212401263
O1,167,1.194412058195527
O1,168,2.368454213650379
O1,169,6.9174431751373735
O1,172,10.594702893949881
O1,173,9.812623730591552
O1,174,1.4222306178511555
O1,178,0.06724406839555463
O1,179,-2.0544508351698156
O1,180,-1.5344907464599704
O1,181,5.862427162225492
O1,182,0.7513113984847241
O1,183,13.202737999666889
O1,186,1.1904175425755827
O1,187,0.0
O1,188,-3.4419774813779282
O1,189,13.543419743610489
O1,190,2.84757474028562
O1,191,-2.451591078255145
O1,192,7.167731047912817
O1,193,-3.53495443498943
O1,194,2.3313758564446823
O1,195,2.0018166426696475
O1,196,1.3574262649505797
O1,197,-3.9179252732958156
O1,198,-0.45422654492487136
O1,199,-2.538677232692051
O1,200,5.606384148218822
O1,201,13.374094582290354
O1,202,14.819527319392103
O1,204,-7.592314380408933
O1,206,-1.448488968006816
O1,207,6.540853399429672
O1,208,9.710270953131179
O1,210,1.9348156627413677
O1,211,-5.622296597221666
O1,212,5.060285182450358
O1,215,7.652853379649265
O1,216,0.01055999083535871
O1,217,-7.702501638504136
O1,218,4.218813262037317
O1,219,2.4814487912358034
O1,221,-5.782294406335074
O1,224,6.625130212368685
O1,225,8.79457371755836
O1,226,11.270721372327554
O1,227,6.701430110883883
O1,228,5.6739006710385045
O1,229,-0.9998300718098662
O1,230,15.540062328776472
O1,231,4.822305079103574
O1,232,7.682501528862484
O1,233,5.819019677084464
O1,234,4.17557317856141
O1,235,2.491308638319062
O1,236,5.020845897186226
O1,237,3.4993801011442294
O1,238,1.6971210381307795
O1,239,-0.959213076707357
O1,240,2.922157225413126
O1,241,11.37030997521264
O1,242,8.472463866562242
O1,243,2.2144121190682604
O1,244,-0.7179900935045734
O1,245,0.49505113118408567
O1,246,-1.3485305606829487
O1,247,-0.44331207009859014
O1,248,-3.5304503374303464
O1,249,-1.0320411768039999
O1,250,-3.896579129958025
O1,251,-1.6184787686977913
O1,252,4.5081833942784275
O1,253,-3.0791255542772227
O1,254,6.345827751113068
O1,257,-2.580105031745166
O1,258,-0.663296764908116
O1,259,-0.147423938013496
O1,260,0.0008781732018375843
O1,261,-3.3557641639978066
O1,262,-3.7167265152237157
O1,263,-2.4266762778051736
