group,n,mean,median,p5,p95
ALL,12590,4.774377060188744,3.049016101873545,-1.4251245245011646e-06,17.078307269206068
O1_FAIL,7974,3.671321558743186,2.2913077915021063e-06,-1.4078183225074702e-06,14.80647682959898
RECOVERY,4616,6.679871984046388,5.118055647464452,-1.5017048925758392e-06,19.878131790102664
O2_NEVER_CLOSE,11067,4.69956934882941,2.977436623872446,-1.3222838611159915e-06,16.987583857828294
O3_NEVER_TOUCH,10515,4.673987747100118,2.9363704870762177,-1.3060919474838784e-06,17.000307432765187
