TPR,break_even_fpr,break_even_fpr_on_grid,break_even_precision
0.25,0.040100035310437786,0.1,0.9618909083797087
0.5,0.08020007062087557,0.2,0.9618909083797087
0.75,0.12030010593131338,0.3,0.9618909083797088
1.0,0.16040014124175114,0.5,0.9618909083797087
