TPR,FPR,expected_delta,ci_lo,ci_hi
0.25,0.0,0.36001550845177566,0.15774791463037305,0.5761703763340664
0.25,0.05,0.22090938904296908,0.015614327187839509,0.42659902850643827
0.25,0.1,0.094462189928176,-0.11974143599984045,0.31947487421658205
0.25,0.2,-0.168324402509818,-0.38830071131820504,0.07282489297867946
0.25,0.3,-0.444912315501191,-0.6899343312536932,-0.2013224025049137
0.25,0.5,-0.9773624955902473,-1.219788862112249,-0.732284530957296
0.25,1.0,-2.3201657663671713,-2.5245320679873786,-2.1063089449073065
0.5,0.0,0.7265214168272403,0.49664381548090347,0.9596668539712718
0.5,0.05,0.5868501462931424,0.3462694234917038,0.8226881453815956
0.5,0.1,0.4601864104773926,0.20093753685080093,0.7079441900228863
0.5,0.2,0.19147505930304226,-0.055305262811144104,0.4400601545719946
0.5,0.3,-0.08038911561832136,-0.35183194669187856,0.19409712127173487
0.5,0.5,-0.6137530128540143,-0.8925954306357767,-0.3472233248676357
0.5,1.0,-1.9561478227902658,-2.189219568081874,-1.7241741137336064
0.75,0.0,1.085617609548593,0.8795353931575023,1.2829518399107966
0.75,0.05,0.9544875501886405,0.7393299096080539,1.1681699908975816
0.75,0.1,0.818586157275895,0.592843828615141,1.0290055177945026
0.75,0.2,0.5526243314695038,0.30999221856061915,0.7795406365433332
0.75,0.3,0.2843649523487741,0.041375692689273415,0.5241464504060765
0.75,0.5,-0.2502775488533749,-0.5010759754522345,0.004728804190405734
0.75,1.0,-1.5954018519092314,-1.8027574495146934,-1.397164833716411
1.0,0.0,1.4485803535377035,1.4485803535377038,1.4485803535377038
1.0,0.05,1.3149791401831512,1.2468046582755743,1.3652759286939748
1.0,0.1,1.1807164290278513,1.0916252297315134,1.2545725148485918
1.0,0.2,0.9110982055082244,0.7934014804284436,1.0184854400329793
1.0,0.3,0.6418584630459712,0.5155216370255534,0.7607376375421112
1.0,0.5,0.10881157745458427,-0.027623260999192406,0.244285411861321
1.0,1.0,-1.2346814121969,-1.2346814121969,-1.2346814121969
