sample,n,ret_mean,ret_median,win_rate,mae_med,mae_p10,mae_p5,mae_p1,mfe_med,hold_med,under_med,giveback_med
PRIMARY_TOP10,299,4.955074695154632,5.218510332201447,75.91973244147158,-10.37390702942541,-30.77304590741648,-37.173533852351504,-52.40441792344385,7.648914331491907,28.0,15.0,2.100567045711818
SECONDARY_ALL,89046,5.28185796605317,5.452256531006037,77.65761516519551,-8.363374255363805,-29.176535258583677,-37.48274611172496,-51.24001088855923,7.328819507052242,25.0,13.0,1.9645196910487428
