levels_used,n,ret_mean,ret_median,win_rate,mae_med,mae_p10,mae_p5,mfe_med,hold_med,under_med
1,32468,9.753207470765595,8.74535443428613,92.55574719724035,-2.749602791745626,-10.30371767019641,-14.827236255807668,11.586690017741997,15.0,1.0
2,23431,6.501026803866139,5.891268290995539,86.0740045239213,-7.941698986475076,-20.07992007992009,-25.18039901828488,7.043611410423645,23.0,12.0
3,13660,3.8879247936528185,3.7684651415179413,74.87554904831624,-12.772635854748826,-27.521368567572292,-33.495178817689784,4.97781077496896,33.0,24.0
4,7655,2.074236209883856,2.043454646585753,63.86675375571522,-17.43229448147481,-35.079718634882916,-40.652760036136144,4.285180103216835,44.0,33.0
5,11832,-5.717689792511217,-4.017877395758175,32.24306964164976,-27.789314057694646,-47.27755209338121,-52.392121772361534,3.3672960069038305,66.0,55.0
