quantile,n,pnl_sum,pct_of_total_pnl,mean_ret,mean_mae
bottom_1pct,890,-290388316.4006809,-28.793761068716258,-33.64123676262136,-50.90291264610852
bottom_5pct,4452,-819153917.2781737,-81.22407424982538,-19.8514513982318,-40.06293461701915
bottom_10pct,8904,-1087330999.8086185,-107.8154568997815,-14.199775852753511,-34.113371259446055
top_1pct,890,171813669.2807282,17.036366348784416,27.284243754107656,-27.7414599994782
top_5pct,4452,533746014.5377854,52.92415137245001,20.73397737452326,-19.168153127209155
