bucket,n,ret_mean,ret_median,win_rate,mae_med,mae_p10,mae_p5,mfe_med,hold_med,under_med,giveback_med,ed_mean
A_TOP10,228,4.774131741940232,4.911952360480846,74.12280701754386,-10.972707007905619,-30.884791230014486,-38.72357256186286,7.029897592944012,28.0,16.0,2.1068923926075773,6.779169441716613
B_11_50,701,4.769426965781958,5.011343870879799,71.61198288159771,-10.874336930674955,-30.364717249963135,-35.64501153629285,7.432962011058963,26.0,17.0,2.4925563394669137,5.992542809875975
C_51_200,2437,4.594117853814142,4.722876368971748,71.76856791136643,-11.127016200783723,-31.62913739876442,-38.52736749713191,7.467929837913223,27.0,17.0,2.5038429380366063,5.490530598685114
D_201_500,5136,4.702710719066818,4.630517972256383,71.61214953271028,-10.349120923749155,-32.17580031052137,-39.60523038129308,7.413047395747519,26.0,17.0,2.3603620353657337,5.341539450255231
E_gt500,80544,5.345493974003312,5.511850304628865,78.28391934843067,-8.165229266146701,-28.769261956939463,-37.305200009108226,7.320635692156541,25.0,12.0,1.9207251772188723,5.284260778479914
