group,n,ret_mean,ret_median,MAE_intraday_p1,MAE_intraday_p5,MAE_intraday_p10,MAE_intraday_p25,MAE_intraday_p50,MAE_intraday_p75,MAE_intraday_p90,MAE_intraday_p95,MAE_intraday_p99,MFE_intraday_p50,MFE_intraday_p75,MFE_intraday_p90,hold_p50,hold_mean,underwater_p50,ttbe_p50,recov_p50,giveback_p50
WINNER,69151,9.072991291579726,7.446234717650602,-40.5256012509401,-25.633676122905836,-19.197384802019112,-11.404093290787076,-6.075315911381485,-2.574205979778732,-0.8951856471758446,-0.4200927277850264,-0.09990009990008542,8.792306594504428,14.220426549939424,21.038381907947134,21.0,23.864889878671313,6.0,0.0,1.0,1.1443352887861948
LOSER,19895,-7.895355433971301,-4.9053460616774505,-59.956052548548946,-49.45112428755341,-43.460316737201026,-32.93009019879074,-22.588234276545947,-15.231195492622257,-10.491458279632479,-8.120902109738518,-4.757767457386268,2.97264811937501,6.155714809529778,10.492319782402781,50.0,56.465493842674036,43.0,0.0,9.0,9.445589620828262
