k,n,mean_ret,mean_mae,mean_mfe,mean_hold,mean_levels,mean_under
100,100,-51.10674134163131,-64.18659232666215,5.916130800773381,140.19,4.97,126.04
500,500,-38.65362884602008,-54.93995517962438,4.82507796691063,118.422,4.93,108.282
1000,1000,-32.64096993174003,-50.178236248184135,4.812251921009256,108.83,4.913,98.824
