crowding_bucket,n_dates,n_episodes,ret_mean,win_rate,mae_med,mfe_med
1-5,321,922,3.1756453993699427,67.353579175705,-9.328546558306282,6.028662904724024
6-20,444,5132,3.6383371890083143,72.40841777084958,-9.202558607225274,6.435456675058471
21-50,333,10837,4.1017407081011825,72.89840361723724,-9.361738006239273,6.383180386975451
51-100,166,11893,4.894996372423176,76.67535525098798,-8.87873948922958,6.752453322850438
>100,230,60262,5.742618516180005,79.31200424811657,-8.039131111473534,7.704795204795212
