ts_code,signal_date,old_report_period,new_report_period,old_ann_date,new_ann_date,changed
000766.SZ,2020-02-28,20190930,20190930,20191030,20191030,0
000869.SZ,2020-02-28,20190930,20190930,20191030,20191030,0
603816.SH,2020-02-28,20190930,20190930,20191030,20191030,0
600896.SH,2020-02-28,20190930,20190930,20191031,20191031,0
600085.SH,2020-02-28,20190930,20190930,20191031,20191031,0
600016.SH,2020-02-28,20190930,20190930,20191031,20191031,0
600903.SH,2020-02-28,20190930,20190930,20191025,20191025,0
300006.SZ,2020-02-28,20190930,20190930,20191028,20191028,0
000538.SZ,2020-02-28,20190930,20190930,20191029,20191029,0
300753.SZ,2020-02-28,20190930,20190930,20191025,20191025,0
000921.SZ,2020-02-28,20190930,20190930,20191029,20191029,0
300772.SZ,2020-02-28,20190930,20190930,20191028,20191028,0
603896.SH,2020-02-28,20190930,20190930,20191030,20191030,0
688366.SH,2020-02-28,20190930,20190930,20191029,20191029,0
002900.SZ,2020-02-28,20190930,20190930,20191024,20191024,0
601169.SH,2020-02-28,20190930,20190930,20191030,20191030,0
300409.SZ,2020-02-28,20190930,20190930,20191029,20191029,0
002524.SZ,2020-02-28,20190930,20190930,20191023,20191023,0
000423.SZ,2020-02-28,20190930,20190930,20191031,20191031,0
002953.SZ,2020-02-28,20190930,20190930,20191025,20191025,0
600961.SH,2020-02-28,20190930,20190930,20191025,20191025,0
600681.SH,2020-02-28,20190930,20190930,20191030,20191030,0
002353.SZ,2020-02-28,20190930,20190930,20191025,20191025,0
600332.SH,2020-02-28,20190930,20190930,20191029,20191029,0
000963.SZ,2020-02-28,20190930,20190930,20191030,20191030,0
600285.SH,2020-02-28,20190930,20190930,20191030,20191030,0
000700.SZ,2020-02-28,20190930,20190930,20191029,20191029,0
600153.SH,2020-02-28,20190930,20190930,20191031,20191031,0
002552.SZ,2020-02-28,20190930,20190930,20191022,20191022,0
601228.SH,2020-02-28,20190930,20190930,20191031,20191031,0
688368.SH,2020-02-28,20190930,20190930,20191029,20191029,0
300562.SZ,2020-02-28,20190930,20190930,20191026,20191026,0
002422.SZ,2020-02-28,20190930,20190930,20191031,20191031,0
601939.SH,2020-02-28,20190930,20190930,20191031,20191031,0
600566.SH,2020-02-28,20190930,20190930,20191026,20191026,0
603587.SH,2020-02-28,20190930,20190930,20191030,20191030,0
603676.SH,2020-02-28,20190930,20190930,20191025,20191025,0
601607.SH,2020-02-28,20190930,20190930,20191031,20191031,0
600315.SH,2020-02-28,20191231,20191231,20200220,20200220,0
002064.SZ,2020-02-28,20190930,20190930,20191031,20191031,0
000089.SZ,2020-02-28,20190930,20190930,20191025,20191025,0
