ts_code,signal_date,ann_le_signal,strict_income_ok,strict_cashflow_ok,fina_ambiguous
002785.SZ,2023-08-21,True,True,True,1
002797.SZ,2023-12-20,True,True,True,1
002797.SZ,2024-03-25,True,True,True,1
002799.SZ,2022-07-11,True,True,True,1
002799.SZ,2022-10-24,True,True,True,1
002799.SZ,2023-03-10,True,True,True,1
002799.SZ,2023-04-10,True,True,True,1
002799.SZ,2023-06-21,True,True,True,1
002808.SZ,2020-09-01,True,True,True,1
002808.SZ,2020-09-22,True,True,True,1
002808.SZ,2020-11-30,True,True,True,1
002808.SZ,2021-04-27,True,True,True,1
002808.SZ,2021-10-28,True,True,True,1
002808.SZ,2022-01-25,True,True,True,1
002808.SZ,2022-09-15,True,True,True,1
002808.SZ,2023-03-30,True,True,True,1
002822.SZ,2020-02-28,True,True,True,1
002822.SZ,2020-05-26,True,True,True,1
002822.SZ,2020-08-25,True,True,True,1
002822.SZ,2020-12-11,True,True,True,1
002822.SZ,2021-03-10,True,True,True,1
002822.SZ,2021-07-26,True,True,True,1
002822.SZ,2022-01-25,True,True,True,1
002822.SZ,2022-04-18,True,True,True,1
002822.SZ,2023-06-26,True,True,True,1
002843.SZ,2022-12-14,True,True,True,1
002843.SZ,2023-03-10,True,True,True,1
002843.SZ,2023-07-27,True,True,True,1
002878.SZ,2024-05-29,True,True,True,1
002883.SZ,2023-06-20,True,True,True,1
002926.SZ,2024-09-02,True,True,True,1
002948.SZ,2024-01-22,True,True,True,1
002961.SZ,2022-08-02,True,True,True,1
002961.SZ,2022-12-19,True,True,True,1
002961.SZ,2023-04-19,True,True,True,1
002992.SZ,2023-09-26,True,True,True,1
003018.SZ,2023-06-19,True,True,True,1
003018.SZ,2023-08-03,True,True,True,1
003022.SZ,2022-04-06,True,True,True,1
300014.SZ,2021-09-03,True,True,True,1
300020.SZ,2023-12-18,True,True,True,1
300020.SZ,2024-04-15,True,True,True,1
300065.SZ,2021-10-13,True,True,True,1
300069.SZ,2021-11-05,True,True,True,1
300069.SZ,2022-07-05,True,True,True,1
300069.SZ,2022-08-31,True,True,True,1
300069.SZ,2022-12-13,True,True,True,1
300069.SZ,2023-04-11,True,True,True,1
300069.SZ,2023-10-23,True,True,True,1
300069.SZ,2023-12-08,True,True,True,1
300069.SZ,2024-01-22,True,True,True,1
300069.SZ,2024-04-15,True,True,True,1
300078.SZ,2020-10-28,True,True,True,1
300078.SZ,2021-04-14,True,True,True,1
300078.SZ,2021-08-31,True,True,True,1
300078.SZ,2021-10-27,True,True,True,1
300078.SZ,2022-01-26,True,True,True,1
300078.SZ,2022-07-12,True,True,True,1
300078.SZ,2022-08-31,True,True,True,1
300078.SZ,2023-04-21,True,True,True,1
300078.SZ,2023-06-26,True,True,True,1
300078.SZ,2023-08-25,True,True,True,1
300078.SZ,2023-12-08,True,True,True,1
300078.SZ,2024-04-16,True,True,True,1
300091.SZ,2020-12-03,True,True,True,1
300091.SZ,2021-04-02,True,True,True,1
300091.SZ,2022-01-07,True,True,True,1
300091.SZ,2022-03-14,True,True,True,1
300091.SZ,2023-10-23,True,True,True,1
300128.SZ,2021-04-27,True,True,True,1
300128.SZ,2021-08-27,True,True,True,1
300128.SZ,2022-01-20,True,True,True,1
300128.SZ,2022-08-25,True,True,True,1
300128.SZ,2022-12-19,True,True,True,1
300128.SZ,2023-03-07,True,True,True,1
300128.SZ,2023-04-21,True,True,True,1
300137.SZ,2021-07-28,True,True,True,1
300137.SZ,2022-01-25,True,True,True,1
300137.SZ,2022-08-31,True,True,True,1
300137.SZ,2022-12-19,True,True,True,1
300137.SZ,2023-04-19,True,True,True,1
300144.SZ,2023-08-18,True,True,True,1
300147.SZ,2022-07-15,True,True,True,1
300147.SZ,2023-03-20,True,True,True,1
300147.SZ,2023-06-12,True,True,True,1
300147.SZ,2023-08-23,True,True,True,1
300152.SZ,2022-09-15,True,True,True,1
300165.SZ,2022-08-24,True,True,True,1
300165.SZ,2023-04-18,True,True,True,1
300165.SZ,2023-04-27,True,True,True,1
300165.SZ,2023-08-04,True,True,True,1
300165.SZ,2023-12-08,True,True,True,1
300165.SZ,2024-01-17,True,True,True,1
300165.SZ,2024-04-15,True,True,True,1
300173.SZ,2021-04-30,True,True,True,1
300173.SZ,2021-09-27,True,True,True,1
300173.SZ,2022-01-14,True,True,True,1
300173.SZ,2022-08-25,True,True,True,1
300173.SZ,2022-11-23,True,True,True,1
300173.SZ,2023-02-27,True,True,True,1
300185.SZ,2023-10-18,True,True,True,1
300198.SZ,2024-12-25,True,True,True,1
300208.SZ,2020-03-27,True,True,True,1
300208.SZ,2021-01-11,True,True,True,1
300208.SZ,2021-06-15,True,True,True,1
300208.SZ,2021-09-27,True,True,True,1
300208.SZ,2021-12-20,True,True,True,1
300208.SZ,2022-01-27,True,True,True,1
300208.SZ,2022-04-08,True,True,True,1
300208.SZ,2022-08-02,True,True,True,1
300208.SZ,2022-09-26,True,True,True,1
300208.SZ,2023-03-02,True,True,True,1
300208.SZ,2023-04-21,True,True,True,1
300225.SZ,2022-07-12,True,True,True,1
300237.SZ,2020-04-27,True,True,True,1
300237.SZ,2020-06-29,True,True,True,1
300237.SZ,2020-12-07,True,True,True,1
300237.SZ,2021-04-27,True,True,True,1
300237.SZ,2021-07-28,True,True,True,1
300237.SZ,2021-09-29,True,True,True,1
300237.SZ,2022-01-25,True,True,True,1
300237.SZ,2022-03-15,True,True,True,1
300237.SZ,2022-08-03,True,True,True,1
300237.SZ,2022-09-16,True,True,True,1
300237.SZ,2022-12-12,True,True,True,1
300237.SZ,2023-02-24,True,True,True,1
300237.SZ,2024-12-25,True,True,True,1
300256.SZ,2024-01-10,True,True,True,1
300256.SZ,2024-03-27,True,True,True,1
300266.SZ,2023-12-08,True,True,True,1
300266.SZ,2024-04-12,True,True,True,1
300277.SZ,2020-07-16,True,True,True,1
300277.SZ,2020-11-24,True,True,True,1
300277.SZ,2021-07-28,True,True,True,1
300277.SZ,2021-10-27,True,True,True,1
300277.SZ,2022-01-26,True,True,True,1
300277.SZ,2022-09-19,True,True,True,1
300277.SZ,2022-12-21,True,True,True,1
300277.SZ,2023-04-18,True,True,True,1
300277.SZ,2023-06-26,True,True,True,1
300284.SZ,2024-11-15,True,True,True,1
300301.SZ,2021-08-27,True,True,True,1
300301.SZ,2022-01-24,True,True,True,1
300343.SZ,2020-03-11,True,True,True,1
300343.SZ,2020-04-28,True,True,True,1
300343.SZ,2021-04-23,True,True,True,1
300343.SZ,2021-09-29,True,True,True,1
300343.SZ,2021-11-16,True,True,True,1
300343.SZ,2022-03-31,True,True,True,1
300343.SZ,2022-08-02,True,True,True,1
300343.SZ,2023-03-07,True,True,True,1
300343.SZ,2023-04-28,True,True,True,1
300366.SZ,2023-08-18,True,True,True,1
300368.SZ,2022-08-26,True,True,True,1
