kind,ts_code,end_date,ann_date,n_rows,n_update_flag_vals,n_f_ann_vals,n_value_vals
income,000007.SZ,20200331,20200430,2,2,1,1
income,000007.SZ,20200630,20200828,2,2,1,1
income,000007.SZ,20200930,20201031,2,2,1,1
income,000007.SZ,20201231,20210429,2,2,1,1
income,000007.SZ,20210930,20211029,2,2,1,1
income,000007.SZ,20211231,20220430,2,2,2,2
income,000007.SZ,20220331,20220430,2,2,1,1
income,000008.SZ,20180930,20181020,2,2,1,1
income,000008.SZ,20181231,20190425,2,2,1,1
income,000008.SZ,20190930,20191022,2,2,1,1
income,000008.SZ,20191231,20200424,2,2,1,1
income,000008.SZ,20200331,20200430,2,2,1,1
income,000008.SZ,20200630,20200829,2,2,1,1
income,000008.SZ,20200930,20201031,2,2,1,1
income,000008.SZ,20201231,20210420,2,2,1,1
income,000008.SZ,20210930,20211029,2,2,1,1
income,000008.SZ,20211231,20220429,2,2,1,1
income,000008.SZ,20220331,20220430,2,2,1,1
income,000008.SZ,20221231,20230422,2,2,1,1
income,000008.SZ,20230630,20230826,2,2,1,1
income,000009.SZ,20180630,20180830,2,2,1,1
income,000009.SZ,20180930,20181030,2,2,1,1
income,000009.SZ,20181231,20190430,2,2,1,1
income,000009.SZ,20190630,20190831,2,2,1,1
income,000009.SZ,20190930,20191026,2,2,1,1
income,000009.SZ,20191231,20200429,2,2,1,1
income,000009.SZ,20200331,20200429,2,2,1,1
income,000009.SZ,20200630,20200828,2,2,1,1
income,000009.SZ,20200930,20201029,2,2,1,1
income,000009.SZ,20201231,20210327,2,2,1,1
income,000009.SZ,20211231,20220331,2,2,1,1
income,000009.SZ,20220331,20220428,2,2,1,1
income,000009.SZ,20221231,20230415,2,2,1,1
income,000009.SZ,20230630,20230829,2,2,1,1
income,000009.SZ,20230930,20231031,2,2,1,1
income,000009.SZ,20240331,20240430,2,2,1,1
income,000010.SZ,20180930,20181030,2,2,1,1
income,000010.SZ,20181231,20190425,2,2,1,1
income,000010.SZ,20191231,20200430,2,2,1,1
income,000010.SZ,20200331,20200430,2,2,1,1
income,000010.SZ,20200630,20200825,2,2,1,1
income,000010.SZ,20200930,20201030,2,2,1,1
income,000010.SZ,20201231,20210421,2,2,1,1
income,000010.SZ,20210930,20211027,2,2,1,1
income,000010.SZ,20211231,20220428,2,2,1,1
income,000010.SZ,20220331,20220428,2,2,1,1
income,000010.SZ,20240331,20240427,2,2,1,1
income,000011.SZ,20180930,20181031,2,2,1,1
income,000011.SZ,20181231,20190330,2,2,1,1
income,000011.SZ,20190630,20190820,2,2,1,1
income,000011.SZ,20191231,20200318,2,2,1,1
income,000011.SZ,20200331,20200430,2,2,1,1
income,000011.SZ,20200630,20200820,2,2,1,1
income,000011.SZ,20200930,20201026,2,2,1,1
income,000011.SZ,20201231,20210331,2,2,1,1
income,000011.SZ,20210930,20211030,2,2,1,1
income,000011.SZ,20211231,20220330,2,2,1,1
income,000011.SZ,20220331,20220427,2,2,1,1
income,000011.SZ,20221231,20230325,2,2,1,1
income,000011.SZ,20240331,20240427,2,2,1,1
income,000012.SZ,20180930,20181030,2,2,1,1
income,000012.SZ,20181231,20190417,2,2,1,1
income,000012.SZ,20190930,20191028,2,2,1,1
income,000012.SZ,20191231,20200430,2,2,1,1
income,000012.SZ,20200331,20200430,2,2,1,1
income,000012.SZ,20200630,20200824,2,2,1,1
income,000012.SZ,20200930,20201026,2,2,1,1
income,000012.SZ,20201231,20210415,2,2,1,1
income,000012.SZ,20210930,20211030,2,2,1,1
income,000012.SZ,20220331,20220429,2,2,1,1
income,000012.SZ,20221231,20230426,2,2,1,1
income,000012.SZ,20230630,20230829,2,2,1,1
income,000012.SZ,20230930,20231031,2,2,1,1
income,000012.SZ,20240331,20240429,2,2,1,1
income,000012.SZ,20240930,20241030,2,2,1,1
income,000014.SZ,20180930,20181027,2,2,1,1
income,000014.SZ,20181231,20190330,2,2,1,1
income,000014.SZ,20190630,20190829,2,2,1,1
income,000014.SZ,20190930,20191026,2,2,1,1
income,000014.SZ,20191231,20200327,2,2,1,1
income,000014.SZ,20200331,20200425,2,2,1,1
income,000014.SZ,20200630,20200829,2,2,1,1
income,000014.SZ,20200930,20201024,2,2,1,1
income,000014.SZ,20201231,20210327,2,2,1,1
income,000014.SZ,20211231,20220331,2,2,1,1
income,000014.SZ,20220331,20220423,2,2,1,1
income,000014.SZ,20221231,20230331,2,2,1,1
income,000016.SZ,20180930,20181031,2,2,1,1
income,000016.SZ,20181231,20190330,2,2,1,1
income,000016.SZ,20190630,20190807,2,2,1,1
income,000016.SZ,20191231,20200422,2,2,1,1
income,000016.SZ,20200331,20200430,2,2,1,1
income,000016.SZ,20200630,20200828,2,2,1,1
income,000016.SZ,20200930,20201031,2,2,1,1
income,000016.SZ,20201231,20210324,2,2,1,1
income,000016.SZ,20211231,20220330,2,2,1,1
income,000016.SZ,20220331,20220428,2,2,1,1
income,000016.SZ,20221231,20230328,3,2,2,2
income,000016.SZ,20231231,20240402,2,1,2,2
income,000016.SZ,20240331,20240429,2,2,1,1
income,000017.SZ,20181231,20190420,2,2,1,1
income,000017.SZ,20190930,20191030,2,2,1,1
income,000017.SZ,20191231,20200428,2,2,1,1
income,000017.SZ,20200331,20200430,2,2,1,1
income,000017.SZ,20200630,20200828,2,2,1,1
income,000017.SZ,20200930,20201026,2,2,1,1
income,000017.SZ,20201231,20210427,2,2,1,1
income,000017.SZ,20210930,20211027,2,2,1,1
income,000017.SZ,20211231,20220426,2,2,1,1
income,000017.SZ,20220331,20220429,2,2,1,1
income,000017.SZ,20221231,20230425,2,2,1,1
income,000017.SZ,20230630,20230829,2,2,1,1
income,000017.SZ,20240630,20240827,2,2,1,1
income,000017.SZ,20240930,20241030,2,2,1,1
income,000019.SZ,20180930,20181030,2,2,1,1
income,000019.SZ,20181231,20190427,2,2,1,1
income,000019.SZ,20190930,20191029,2,2,1,1
income,000019.SZ,20191231,20200428,2,2,1,1
income,000019.SZ,20200331,20200428,2,2,1,1
income,000019.SZ,20200630,20200825,2,2,1,1
income,000019.SZ,20200930,20201029,2,2,1,1
income,000019.SZ,20201231,20210427,2,2,1,1
income,000019.SZ,20211231,20220426,2,2,1,1
income,000019.SZ,20220331,20220426,2,2,1,1
income,000020.SZ,20180930,20181030,2,2,1,1
income,000020.SZ,20181231,20190430,2,2,1,1
income,000020.SZ,20190930,20191029,2,2,1,1
income,000020.SZ,20191231,20200430,2,2,1,1
income,000020.SZ,20200331,20200430,2,2,1,1
income,000020.SZ,20200630,20200825,2,2,1,1
income,000020.SZ,20200930,20201027,2,2,1,1
income,000020.SZ,20201231,20210427,2,2,1,1
income,000020.SZ,20211231,20220426,2,2,1,1
income,000020.SZ,20221231,20230425,2,2,1,1
income,000020.SZ,20230630,20230822,2,2,1,1
income,000020.SZ,20240331,20240423,2,2,1,1
income,000021.SZ,20180930,20181031,2,2,1,1
income,000021.SZ,20181231,20190420,2,2,1,1
income,000021.SZ,20191231,20200424,2,2,1,1
income,000021.SZ,20200331,20200430,2,2,1,1
income,000021.SZ,20200630,20200831,2,2,1,1
income,000021.SZ,20200930,20201030,2,2,1,1
