feature,n_days,day_corr,beta,hac_p,bh_q,boot_lo,boot_hi
F_CUR_MAE,537,-0.13604505281199303,-0.5247778967053427,0.07845288920237162,0.2585288439021022,-0.22976333538556754,-0.03898220345668516
F_DAYS_SINCE_ENTRY,537,-0.09544496707187955,-0.0003574809994484448,0.18175258924086413,0.2585288439021022,-0.1945478596102614,0.010663208957611978
F_DAYS_SINCE_FIRST_D10,537,-0.1094582915081848,-0.0003643425279353341,0.1949266810124477,0.2585288439021022,-0.2253673186548565,0.006189334390655206
F_DIST_MA20,537,-0.15105801076760603,-0.14217003739665054,0.1319951067977942,0.2585288439021022,-0.261721392650625,-0.021156743387535756
F_DIST_LBB,537,-0.1348562624568937,-0.12701346292320723,0.053133153601593916,0.2585288439021022,-0.21548211888646093,-0.038841777190697174
F_RET3,537,-0.1616703686106733,-0.16909098621665036,0.06788128273486047,0.2585288439021022,-0.2643862470282378,-0.043507806351115924
F_RET5,537,-0.17122928521311065,-0.1695460151115816,0.08112309553098596,0.2585288439021022,-0.27228544949889144,-0.054301860422742425
F_RET20,537,-0.11908726697374823,-0.09315634265867458,0.18178430293847603,0.2585288439021022,-0.23388902777496062,0.011002465507561508
F_REB3,537,0.12397236420544686,0.6191067762237253,0.13309344791930028,0.2585288439021022,0.03906605040188484,0.202654058714347
F_REB5,537,0.12397236420544686,0.6191067762237253,0.13309344791930028,0.2585288439021022,0.03906605040188484,0.202654058714347
F_NLOW10,537,0.0667863916780722,0.0006996642974390743,0.6903548263168023,0.7766491796064027,-0.04123905859267221,0.15998810744753839
F_DAYS_SINCE_LOW,537,,,,1.0,,
F_AMT_RATIO20,537,-0.0023885647570158447,-0.0002035430087226029,0.874907332850427,0.9263724700769227,-0.06819246799467744,0.064504419518467
F_ATR20_PCT,537,0.1648265134528938,0.605013566633969,0.1471902870295125,0.2585288439021022,0.05746354137542542,0.2585550803572979
F_INTRADAY_RANGE,537,0.24621210247147826,0.6384127316780543,0.08397916373702195,0.2585288439021022,0.13190350282726984,0.34393363830512913
F_RV20,537,0.12731273559236497,0.009013458255099211,0.13879926081228477,0.2585288439021022,0.02464917132298378,0.21646960420742192
F_DAYS_UNDERWATER,537,-0.09700908888437068,-0.0003469560344934201,0.20107798970163504,0.2585288439021022,-0.20023303539612405,0.012062480730604244
F_DIST_AVGCOST,537,0.038786158673609517,0.10834657009846702,0.2452634731065827,0.29431616772789926,-0.02364462341140915,0.10615764194084099
