feature,n_days,day_corr,boot_lo,boot_hi,n_boot
F_CUR_MAE,752,-0.16083398247444772,-0.23294453260969794,-0.08706797818635077,2000
F_DAYS_SINCE_ENTRY,752,-0.14689695085161267,-0.230488695897217,-0.06292278194512242,2000
F_DAYS_SINCE_FIRST_D10,752,-0.1752354293590913,-0.26358666527117414,-0.0848296819154975,2000
F_DIST_MA20,752,-0.1868534349853,-0.2713739228490451,-0.09830436358987682,2000
F_DIST_LBB,752,-0.091922643328142,-0.1822111047679072,-0.001698546055633365,2000
F_RET3,752,-0.13887240798293016,-0.2230202917804107,-0.05494216819791549,2000
F_RET5,752,-0.1640559118249311,-0.24773807228158726,-0.07937819923694309,2000
F_RET20,752,-0.1572376732006838,-0.24295965789460247,-0.07098041667818078,2000
F_REB3,752,0.16445460746405813,0.09145008397326779,0.23850744135253396,2000
F_REB5,752,0.16445460746405813,0.09145008397326779,0.23850744135253396,2000
F_NLOW10,752,0.09748556642034115,0.02294715334641469,0.17870323094980878,2000
F_DAYS_SINCE_LOW,752,,,,0
F_AMT_RATIO20,752,-0.05289146473044798,-0.12263788034897924,0.028180240250884746,2000
F_ATR20_PCT,752,0.17078472258118835,0.08804214078799218,0.2519350365545989,2000
F_INTRADAY_RANGE,752,0.2694458719759157,0.1924082936251673,0.3435152339986186,2000
F_RV20,752,0.1356557796209837,0.04394774142314845,0.2213068456601344,2000
F_DAYS_UNDERWATER,752,-0.15995596043120447,-0.24442592063780147,-0.07463604498973456,2000
F_DIST_AVGCOST,752,0.02543571224607566,-0.04728153765079733,0.09964071836530473,2000
