feature,n_days,day_corr,beta,hac_p,bh_q,boot_lo,boot_hi
F_CUR_MAE,752,-0.16083398247444772,-0.5213668129605963,0.37493742934125773,0.48206240915304566,-0.23294453260969794,-0.08706797818635077
F_DAYS_SINCE_ENTRY,752,-0.14689695085161267,-0.001962322025873627,2.9202104885459224e-05,0.00017521262931275534,-0.230488695897217,-0.06292278194512242
F_DAYS_SINCE_FIRST_D10,752,-0.1752354293590913,-0.0025564946246636696,1.5250457216344239e-05,0.00013725411494709816,-0.26358666527117414,-0.0848296819154975
F_DIST_MA20,752,-0.1868534349853,-0.3894189077433243,0.04850910928125571,0.08731639670626028,-0.2713739228490451,-0.09830436358987682
F_DIST_LBB,752,-0.091922643328142,-0.12949894668431075,0.6008926829099057,0.6563672965466175,-0.1822111047679072,-0.001698546055633365
F_RET3,752,-0.13887240798293016,-0.3166856637845302,0.20169987602609463,0.2792767514207464,-0.2230202917804107,-0.05494216819791549
F_RET5,752,-0.1640559118249311,-0.3541709578801334,0.10360593842945284,0.15540890764417928,-0.24773807228158726,-0.07937819923694309
F_RET20,752,-0.1572376732006838,-0.2836034768185705,0.01906279549641155,0.0381255909928231,-0.24295965789460247,-0.07098041667818078
F_REB3,752,0.16445460746405813,1.6113184877121989,0.0004222591139408593,0.0013342705822749965,0.09145008397326779,0.23850744135253396
F_REB5,752,0.16445460746405813,1.6113184877121989,0.0004222591139408593,0.0013342705822749965,0.09145008397326779,0.23850744135253396
F_NLOW10,752,0.09748556642034115,0.0025947831907023816,0.4612028415925289,0.5534434099110347,0.02294715334641469,0.17870323094980878
F_DAYS_SINCE_LOW,752,,,,1.0,,
F_AMT_RATIO20,752,-0.05289146473044798,0.0038409731252476323,0.6199024467384722,0.6563672965466175,-0.12263788034897924,0.028180240250884746
F_ATR20_PCT,752,0.17078472258118835,1.8685682734140727,0.0029698630263758886,0.007636790639252285,0.08804214078799218,0.2519350365545989
F_INTRADAY_RANGE,752,0.2694458719759157,1.630807474069275,0.0004447568607583321,0.0013342705822749965,0.1924082936251673,0.3435152339986186
F_RV20,752,0.1356557796209837,0.02936704299925937,0.005729046763737951,0.01289035521841039,0.04394774142314845,0.2213068456601344
F_DAYS_UNDERWATER,752,-0.15995596043120447,-0.0022986650798047887,9.149013544205691e-06,0.00013725411494709816,-0.24442592063780147,-0.07463604498973456
F_DIST_AVGCOST,752,0.02543571224607566,0.45530546247741144,0.07149150303870848,0.11698609588152296,-0.04728153765079733,0.09964071836530473
