threshold,n_episodes,n_anchor_days,recover_close_pct,recover_touch_pct,final_profit_pct,median_t_close,median_t_touch
0.1,26914,958,31.139927175447724,41.680909563795794,54.02392806717693,9.0,9.0
0.2,12590,752,12.096902303415408,16.4813343923749,36.66401906274822,11.0,11.0
0.3,6130,537,7.830342577487764,10.929853181076671,30.587275693311582,14.0,13.5
