feature,n_days,day_corr,beta,hac_p,bh_q,boot_lo,boot_hi
F_CUR_MAE,537,-0.12204887524014105,-0.206572674465262,0.2564550447945356,0.3170838026739269,-0.23184983205240364,0.0040150529693458855
F_DAYS_SINCE_ENTRY,537,-0.08760833487821754,-0.0002297507065112118,0.27297710580535484,0.3170838026739269,-0.20205780434939155,0.04423917784426092
F_DAYS_SINCE_FIRST_D10,537,-0.10349247253761565,-0.00023437741142319255,0.2818522690434906,0.3170838026739269,-0.23519936913163092,0.03562914561929876
F_DIST_MA20,537,-0.13325353126018627,-0.08637994120469403,0.22986009633346538,0.3170838026739269,-0.2593405833419697,0.017040269667913572
F_DIST_LBB,537,-0.10382180126381821,-0.05492791425302743,0.1744189813203425,0.3170838026739269,-0.200876073812443,0.016381508622804908
F_RET3,537,-0.13641500546758295,-0.08698204413383188,0.16886496704500953,0.3170838026739269,-0.25375087004602254,0.009992923727703338
F_RET5,537,-0.1404199766142582,-0.09543874516624692,0.18164561304751903,0.3170838026739269,-0.26266371680659695,0.010324516192919738
F_RET20,537,-0.12250922405569545,-0.06390726587269883,0.2351567464491474,0.3170838026739269,-0.24693520497772786,0.027675882479989533
F_REB3,537,0.1462023718705046,0.5019300393037436,0.1281470925783989,0.3170838026739269,0.07717153895347564,0.2092602366619132
F_REB5,537,0.1462023718705046,0.5019300393037436,0.1281470925783989,0.3170838026739269,0.07717153895347564,0.2092602366619132
F_NLOW10,537,0.06809623885349154,0.0009944026698222115,0.4167109964210566,0.44122340797523635,-0.04206125217287259,0.16329338357660877
F_DAYS_SINCE_LOW,537,,,,1.0,,
F_AMT_RATIO20,537,0.005247070820667819,-0.00100503166679673,0.1008034242713808,0.3170838026739269,-0.047935732278288706,0.04994825790305039
F_ATR20_PCT,537,0.1519851334009651,0.41981938243675604,0.19262995212851564,0.3170838026739269,0.02151302392710487,0.2573404265867041
F_INTRADAY_RANGE,537,0.22095751136736616,0.42700891606867364,0.1475284319857097,0.3170838026739269,0.10422728826449003,0.325019015125642
F_RV20,537,0.13373574885344694,0.006423050953652733,0.16868457381481905,0.3170838026739269,0.017233442676223447,0.22746875988465515
F_DAYS_UNDERWATER,537,-0.09480401229690602,-0.00023165185659111773,0.27581161088053974,0.3170838026739269,-0.21053410829068575,0.03851559207029603
F_DIST_AVGCOST,537,0.04174826977989366,0.10599875928888818,0.14848073725153582,0.3170838026739269,-0.02098546766272839,0.11541335111090115
