outcome,feature,D20_day_corr_all,D20_day_corr_min5,D20_dir_same,D30_day_corr_all,D30_day_corr_min5,D30_dir_same
CLOSE,F_CUR_MAE,-0.1608339824744477,-0.2130723614596629,True,-0.122048875240141,-0.2676335590558257,True
CLOSE,F_DAYS_SINCE_ENTRY,-0.1468969508516126,-0.3213451012343509,True,-0.0876083348782175,-0.2873287805310969,True
CLOSE,F_DAYS_SINCE_FIRST_D10,-0.1752354293590913,-0.3576806597577247,True,-0.1034924725376156,-0.3299068923592579,True
CLOSE,F_DIST_MA20,-0.1868534349853,-0.3474370099183921,True,-0.1332535312601862,-0.3280331245633496,True
CLOSE,F_DIST_LBB,-0.091922643328142,-0.0802966116378773,True,-0.1038218012638182,-0.1922219284230747,True
CLOSE,F_RET3,-0.1388724079829301,-0.25355870358103,True,-0.1364150054675829,-0.2475981089541084,True
CLOSE,F_RET5,-0.1640559118249311,-0.2773677848812312,True,-0.1404199766142582,-0.2974391609950778,True
CLOSE,F_RET20,-0.1572376732006838,-0.3547510642695317,True,-0.1225092240556954,-0.3261216933856212,True
CLOSE,F_REB3,0.1644546074640581,0.1920005534036748,True,0.1462023718705046,0.1857490645216501,True
CLOSE,F_REB5,0.1644546074640581,0.1920005534036748,True,0.1462023718705046,0.1857490645216501,True
CLOSE,F_NLOW10,0.0974855664203411,0.1380858098902345,True,0.0680962388534915,0.1876224047923284,True
CLOSE,F_DAYS_SINCE_LOW,,,False,,,False
CLOSE,F_AMT_RATIO20,-0.0528914647304479,-0.1645651686551016,True,0.0052470708206678,0.0486101014272369,True
CLOSE,F_ATR20_PCT,0.1707847225811883,0.3690731405518804,True,0.1519851334009651,0.3268464328480884,True
CLOSE,F_INTRADAY_RANGE,0.2694458719759157,0.3125059393725983,True,0.2209575113673661,0.363622811296567,True
CLOSE,F_RV20,0.1356557796209837,0.3267028616485677,True,0.1337357488534469,0.3011624408289742,True
CLOSE,F_DAYS_UNDERWATER,-0.1599559604312044,-0.3426131384413564,True,-0.094804012296906,-0.3086195367911092,True
CLOSE,F_DIST_AVGCOST,0.0254357122460756,0.0261970980572984,True,0.0417482697798936,0.0014771407364789,True
TOUCH,F_CUR_MAE,-0.1662532562523357,-0.2372409559539013,True,-0.136045052811993,-0.2143854164414275,True
TOUCH,F_DAYS_SINCE_ENTRY,-0.1729855626704422,-0.370603304642084,True,-0.0954449670718795,-0.3270389287776247,True
TOUCH,F_DAYS_SINCE_FIRST_D10,-0.1790968494545401,-0.3901273578034646,True,-0.1094582915081848,-0.3711749251959377,True
TOUCH,F_DIST_MA20,-0.2061431474900642,-0.3811418680031391,True,-0.151058010767606,-0.3532454219119098,True
TOUCH,F_DIST_LBB,-0.0674217399524294,-0.0653977686594083,True,-0.1348562624568937,-0.2101408503911855,True
TOUCH,F_RET3,-0.1298427143896091,-0.2441389740986911,True,-0.1616703686106733,-0.2703670869569289,True
TOUCH,F_RET5,-0.1836086072882887,-0.2905661898244682,True,-0.1712292852131106,-0.3392313877652702,True
TOUCH,F_RET20,-0.1757417575552545,-0.3630504040042458,True,-0.1190872669737482,-0.3273864782045778,True
TOUCH,F_REB3,0.1969346818128469,0.2309550760208802,True,0.1239723642054468,0.0992656748501428,True
TOUCH,F_REB5,0.1969346818128469,0.2309550760208802,True,0.1239723642054468,0.0992656748501428,True
TOUCH,F_NLOW10,0.1025814777173994,0.1482555896893695,True,0.0667863916780722,0.2025422950374674,True
TOUCH,F_DAYS_SINCE_LOW,,,False,,,False
TOUCH,F_AMT_RATIO20,-0.0732886256520427,-0.1569865126520316,True,-0.0023885647570158,-0.0405455746248079,True
TOUCH,F_ATR20_PCT,0.2162047703925983,0.4512706683427827,True,0.1648265134528938,0.3673915732813922,True
TOUCH,F_INTRADAY_RANGE,0.285327600800711,0.3560139669660644,True,0.2462121024714782,0.3881195644797729,True
TOUCH,F_RV20,0.1773648906975638,0.412838648263554,True,0.1273127355923649,0.3080252997297895,True
TOUCH,F_DAYS_UNDERWATER,-0.1890825897547451,-0.4014352747916268,True,-0.0970090888843706,-0.3519460186383428,True
TOUCH,F_DIST_AVGCOST,0.0453462226358016,0.0474245195539394,True,0.0387861586736095,-0.0138242657720107,False
