stop_pct,bound,n_event_days,daily_mean,daily_median,daily_positive_rate,hac_t,hac_ci_lo,hac_ci_hi,block_boot_ci_lo,block_boot_ci_hi,block_boot_p_nonpos,delta_daily_mean,delta_hac_ci_lo,delta_hac_ci_hi
-10.0,STOP_FIRST,1494,1.7640863466329921,1.4386633135431341,62.71753681392236,6.955811213199826,1.2670042474467367,2.261168445819248,1.172234152850285,2.3746281941753375,0.0,-2.1769838324411306,-2.578661763642706,-1.7753059012395556
-10.0,TP_FIRST,1494,1.7654354340814662,1.4386633135431341,62.784471218206164,6.960922299676916,1.2683384544240037,2.2625324137389287,1.174027149297643,2.375685356393897,0.0,-2.1756347449926565,-2.577328851147518,-1.7739406388377952
-12.5,STOP_FIRST,1494,1.9916623368494548,2.060570193398214,65.52878179384204,7.270005134196214,1.4547083583903286,2.528616315308581,1.350398291603579,2.6612505166097016,0.0,-1.9494078422246683,-2.349907282847428,-1.5489084016019086
-12.5,TP_FIRST,1494,1.9951464348948948,2.060570193398214,65.59571619812584,7.29069906505656,1.4587798975436983,2.5315129722460914,1.3566758184465848,2.663298366836792,0.0,-1.9459237441792279,-2.346798978388012,-1.5450485099704436
-15.0,STOP_FIRST,1494,2.133185964296669,2.4199613176559964,68.47389558232932,7.455551999613374,1.5723898635869844,2.6939820650063533,1.469775055521931,2.837860538861011,0.0,-1.8078842147774539,-2.209709300358052,-1.4060591291968558
-15.0,TP_FIRST,1494,2.1360565538549476,2.4311259211001754,68.54082998661312,7.467537457857445,1.5754070935498743,2.696706014160021,1.4758212061073457,2.841002076690121,0.0,-1.8050136252191755,-2.206794418173101,-1.4032328322652499
-17.5,STOP_FIRST,1494,2.3162684145347816,2.7837420476981976,69.41097724230254,7.826730282118409,1.73621953986481,2.8963172892047533,1.6374889307340772,3.012069749836185,0.0,-1.6248017645393413,-2.022384094525026,-1.2272194345536565
-17.5,TP_FIRST,1494,2.3171467237673116,2.7837420476981976,69.41097724230254,7.829587477333298,1.7370896528511346,2.8972037946834885,1.6378739703856051,3.0127594949323306,0.0,-1.6239234553068111,-2.0215288495883783,-1.2263180610252438
-20.0,STOP_FIRST,1494,2.4667209262501064,2.871285881749517,70.48192771084338,7.978199749515841,1.8607229358207984,3.072718916679414,1.7364369207437214,3.193425262819524,0.0,-1.4743492528240163,-1.8711228278099103,-1.0775756778381222
-20.0,TP_FIRST,1494,2.4676869698610093,2.871285881749517,70.48192771084338,7.981564546502307,1.8617072233153138,3.073666716406705,1.737831213207744,3.194370879042571,0.0,-1.4733832092131136,-1.8701794220953702,-1.076586996330857
-22.5,STOP_FIRST,1494,2.5780094632618953,3.093758823698148,73.36010709504686,8.207608884948023,1.962373579678328,3.1936453468454626,1.839463972372796,3.324874440393891,0.0,-1.3630607158122272,-1.7531130237949446,-0.9730084078295098
-22.5,TP_FIRST,1494,2.5784395650024754,3.099167393837174,73.36010709504686,8.209701134023833,1.9628578934041752,3.1940212366007756,1.8399341848104194,3.325192235639911,0.0,-1.3626306140716473,-1.7526756541504827,-0.972585573992812
-25.0,STOP_FIRST,1494,2.7557992576661543,3.262991103602264,74.29718875502009,8.658137836327008,2.1319507295954745,3.379647785736834,1.9954385846949303,3.486617656645437,0.0,-1.1852709214079682,-1.5624649317856119,-0.8080769110303245
-25.0,TP_FIRST,1494,2.7560845924437793,3.262991103602264,74.29718875502009,8.659459952146458,2.1322667295468203,3.3799024553407384,1.9958615074199317,3.4868465009102625,0.0,-1.184985586630343,-1.5621516463138128,-0.8078195269468731
-27.5,STOP_FIRST,1494,2.8805295938280224,3.3836434526039953,75.50200803212851,9.10959713023789,2.2607614610351416,3.500297726620903,2.1326125827469458,3.606918706354534,0.0,-1.0605405852461003,-1.4014458073715885,-0.719635363120612
-27.5,TP_FIRST,1494,2.8807532235383797,3.3836434526039953,75.50200803212851,9.110620042876095,2.2610065661689682,3.500499880907791,2.1328577695700313,3.607150030739004,0.0,-1.060316955535743,-1.401214173466045,-0.719419737605441
-30.0,STOP_FIRST,1494,2.9951571561686685,3.45299615985033,75.70281124497991,9.532587848508664,2.3793214440426054,3.6109928682947317,2.244840905389411,3.7197043248542343,0.0,-0.9459130229054546,-1.2676145649335973,-0.6242114808773119
-30.0,TP_FIRST,1494,2.9953204613756212,3.45299615985033,75.70281124497991,9.533307636882604,2.3794976716459506,3.611143251105292,2.2450951222862394,3.7198744701990956,0.0,-0.9457497176985011,-1.2674617193576836,-0.6240377160393188
-35.0,STOP_FIRST,1494,3.236049156242926,3.6984871637257264,77.30923694779116,10.439919742682985,2.628510353017786,3.843587959468066,2.487598719310258,3.9853284592703773,0.0,-0.7050210228311967,-0.9721331674464145,-0.4379088782159789
-35.0,TP_FIRST,1494,3.236126333438562,3.6984871637257264,77.30923694779116,10.440067442728392,2.6285816362098666,3.8436710306672577,2.487648451574597,3.9853588598112664,0.0,-0.7049438456355608,-0.9720589976024384,-0.43782869366868316
-40.0,STOP_FIRST,1494,3.4254607922625833,3.821227593210436,78.714859437751,11.339068580205875,2.833357207621175,4.017564376903992,2.688999345174913,4.151774966815992,0.0,-0.5156093868115397,-0.7218589716041045,-0.30935980201897484
-40.0,TP_FIRST,1494,3.425508449105433,3.821227593210436,78.714859437751,11.339075063332965,2.8333969653427387,4.0176199328681275,2.6890465759095283,4.151836278746511,0.0,-0.5155617299686893,-0.7218132222474408,-0.3093102376899378
