stop_pct,sample,levels,n,trig_rate,mean_delta,saved_loss,lost_winner_profit
-10.0,PRIMARY,1,88,9.090909090909092,-1.2524398247946251,0.0,-189050.567217964
-10.0,PRIMARY,2,95,50.526315789473685,-5.332818432525194,123274.08978492621,-1998219.9857426074
-10.0,PRIMARY,3,52,71.15384615384616,-6.041281987523839,155608.13707484398,-1785003.0132137258
-10.0,PRIMARY,4,25,96.0,-7.633110817838206,159667.96235760162,-1461439.160722652
-10.0,PRIMARY,5,39,97.43589743589743,3.380356424131453,2547270.0292888544,-1172649.4763101414
-10.0,SECONDARY,1,32468,10.622767032154737,-1.2761035509106573,3699814.858767061,-68664099.26364653
-10.0,SECONDARY,2,23431,37.89851052025095,-4.210852639783319,18210184.92226897,-372797726.74883544
-10.0,SECONDARY,3,13660,64.95607613469986,-5.564350406564441,42816264.14514862,-450936384.25089395
-10.0,SECONDARY,4,7655,82.96538210320053,-5.5442228958499,56290119.418799266,-355174554.5219495
-10.0,SECONDARY,5,11832,95.66430020283975,1.1995671966895456,576857045.7856414,-371458795.65193117
-12.5,PRIMARY,1,88,6.8181818181818175,-0.9928695222408511,0.0,-133824.24114813254
-12.5,PRIMARY,2,95,34.73684210526316,-4.043293067568128,74450.86835578363,-1461647.182605216
-12.5,PRIMARY,3,52,55.769230769230774,-5.263480009076299,134939.26877133513,-1547485.654883422
-12.5,PRIMARY,4,25,76.0,-7.035928860310342,139309.8163677361,-1353443.723212283
-12.5,PRIMARY,5,39,97.43589743589743,1.8791907419663345,2261950.7231301893,-1382525.1406536794
-12.5,SECONDARY,1,32468,7.000739189355673,-0.8406987153002208,2388742.0776171726,-39391223.18808314
-12.5,SECONDARY,2,23431,26.674064273825277,-3.2139176548350736,12842074.876648184,-269376453.3867802
-12.5,SECONDARY,3,13660,51.427525622254755,-4.904171536356663,32620331.239307366,-374245967.7362146
-12.5,SECONDARY,4,7655,71.96603527106467,-5.638099818705758,43852721.74035697,-334057472.73180497
-12.5,SECONDARY,5,11832,91.68356997971603,0.03425828630740475,495007375.61715806,-387037353.1576395
-15.0,PRIMARY,1,88,5.681818181818182,-0.9804958702644853,1.8189894035458565e-12,-143585.806946325
-15.0,PRIMARY,2,95,27.368421052631582,-2.9324587455549374,51972.574617187835,-1010109.7198808296
-15.0,PRIMARY,3,52,48.07692307692308,-4.824171927702719,103841.90275750624,-1351823.345392682
-15.0,PRIMARY,4,25,76.0,-8.325346333292249,118951.67037787067,-1515974.0952970986
-15.0,PRIMARY,5,39,97.43589743589743,0.4675305368262897,2002628.1511924295,-1574587.9209566596
-15.0,SECONDARY,1,32468,4.875569791794998,-0.6041565021964417,1612254.3824782753,-24562071.73620212
-15.0,SECONDARY,2,23431,19.068755068072214,-2.5217325178435135,8324032.91639788,-200889408.1674438
-15.0,SECONDARY,3,13660,39.49487554904832,-4.178141133800849,24293937.53221201,-301933038.8970677
-15.0,SECONDARY,4,7655,60.156760287393865,-5.428718026695247,33503225.58166545,-302482014.9405075
-15.0,SECONDARY,5,11832,85.96179851250845,-0.9915370908244354,414673205.39551604,-383841009.6627768
-17.5,PRIMARY,1,88,4.545454545454546,-0.7826205757758481,1.8189894035458565e-12,-105387.61278722853
-17.5,PRIMARY,2,95,23.157894736842106,-2.7304452799723884,33188.01141188672,-848733.9987348584
