stop_pct,sample,levels,n,trig_rate,mean_delta,saved_loss,lost_winner_profit
-17.5,PRIMARY,3,52,36.53846153846153,-3.9213817621765097,59449.052663285525,-965197.4391150601
-17.5,PRIMARY,4,25,60.0,-7.208596339102196,90615.31174828521,-1259330.2116756057
-17.5,PRIMARY,5,39,89.74358974358975,-0.4622582956535037,1680473.0944971142,-1480581.709788951
-17.5,SECONDARY,1,32468,3.4772699273130465,-0.4433056252017161,1073373.0864301673,-16116342.852518238
-17.5,SECONDARY,2,23431,13.86197772182152,-1.985390965302392,5846806.044086992,-152701560.6193657
-17.5,SECONDARY,3,13660,30.06588579795022,-3.50807864654641,18341223.25597366,-241293602.99976295
-17.5,SECONDARY,4,7655,49.78445460483344,-5.148802111626324,25662996.1622415,-271600478.07990086
-17.5,SECONDARY,5,11832,79.20892494929006,-1.8977769508656932,340783986.79377127,-373871658.9705546
-20.0,PRIMARY,1,88,4.545454545454546,-0.8946562435340776,1.8189894035458565e-12,-119961.14802678526
-20.0,PRIMARY,2,95,15.789473684210526,-1.7626337623634372,19364.736727371863,-445717.5844624199
-20.0,PRIMARY,3,52,32.69230769230769,-3.798773100861571,51465.1805986549,-808101.2650034872
-20.0,PRIMARY,4,25,48.0,-6.024643668135927,70303.32668185144,-1042902.1131156089
-20.0,PRIMARY,5,39,82.05128205128204,-1.0587656449576361,1391605.1543453154,-1210849.1615261668
-20.0,SECONDARY,1,32468,2.5748429222619196,-0.3370193167363512,747780.7775993319,-11238332.584686032
-20.0,SECONDARY,2,23431,10.14894797490504,-1.56054639438466,4267606.654432237,-115484246.00798108
-20.0,SECONDARY,3,13660,23.294289897510982,-2.999233281781406,13626781.070622437,-198153803.6587167
-20.0,SECONDARY,4,7655,39.83017635532332,-4.631959936001183,19979118.582482625,-236428337.42301595
-20.0,SECONDARY,5,11832,72.38843813387425,-2.707609227256685,274538041.0659633,-360485436.2896232
-22.5,PRIMARY,1,88,2.272727272727273,-0.3076230831777122,1.8189894035458565e-12,-50070.74231262179
-22.5,PRIMARY,2,95,8.421052631578947,-0.904822321072686,6375.015046371965,-189248.72227711964
-22.5,PRIMARY,3,52,26.923076923076923,-3.533117552239361,45374.03803871642,-737873.139797327
-22.5,PRIMARY,4,25,44.0,-5.788462981740089,54890.12077678903,-911916.6065933009
-22.5,PRIMARY,5,39,82.05128205128204,-2.86711142484023,1152136.3021221145,-1348146.5625073856
-22.5,SECONDARY,1,32468,1.8880128126154982,-0.2532448160935801,461587.68574523483,-7374282.469953789
-22.5,SECONDARY,2,23431,7.2937561350347835,-1.173758023961761,3406575.0700878915,-83901399.03636637
-22.5,SECONDARY,3,13660,17.489019033674964,-2.4429019396414993,10308375.203101557,-158138470.81387666
-22.5,SECONDARY,4,7655,32.38406270411496,-4.256488332500552,15245148.025379892,-210467936.45604706
-22.5,SECONDARY,5,11832,64.68897903989182,-3.267300841364913,217922578.27763382,-340505097.0038141
-25.0,PRIMARY,1,88,2.272727272727273,-0.335974824224366,1.8189894035458565e-12,-55002.98602025592
-25.0,PRIMARY,2,95,7.368421052631578,-1.00592621516982,2.2879476091475226e-12,-213127.51548135316
-25.0,PRIMARY,3,52,19.230769230769234,-2.7457027910302947,35268.00957599514,-627301.0189705505
-25.0,PRIMARY,4,25,24.0,-3.5245443231609666,38446.88186082663,-542156.0015840922
-25.0,PRIMARY,5,39,66.66666666666666,-2.4195381776500957,880780.5896992527,-1135738.542364025
-25.0,SECONDARY,1,32468,1.3490205741037329,-0.17937643701344289,322803.52227968,-4388718.255536567
-25.0,SECONDARY,2,23431,5.172634543980197,-0.8627234433843519,2463653.2615247075,-58869746.58558459
-25.0,SECONDARY,3,13660,13.096632503660322,-1.972947098905899,7931504.142390294,-123522908.01293388
-25.0,SECONDARY,4,7655,25.65643370346179,-3.7293263902135476,11282562.843326885,-180921809.74721542
-25.0,SECONDARY,5,11832,57.716362407031774,-3.7358802104157984,171506746.66901243,-322664879.8821093
-27.5,PRIMARY,1,88,2.272727272727273,-0.36432656527102014,1.8189894035458565e-12,-59935.22972789011
-27.5,PRIMARY,2,95,4.2105263157894735,-0.6757673978470949,9.563905223330949e-12,-160315.38500663865
-27.5,PRIMARY,3,52,15.384615384615385,-2.7826003646992423,8076.765978013997,-569989.7204215259
-27.5,PRIMARY,4,25,20.0,-3.37280468245061,21166.00573280138,-582720.1402188792
-27.5,PRIMARY,5,39,56.41025641025641,-2.4248707627627417,621212.6307728105,-1017850.911314683
-27.5,SECONDARY,1,32468,0.9270666502402365,-0.12777848218041907,234739.04563208504,-2968852.2115669595
-27.5,SECONDARY,2,23431,3.584994238402117,-0.6154185543051737,1832185.7158460775,-39722693.37042577
-27.5,SECONDARY,3,13660,10.021961932650072,-1.6176114313233236,6112889.15102767,-99185610.40907651
-27.5,SECONDARY,4,7655,20.757674722403657,-3.376457910446162,8544384.848571118,-163924119.9383354
-27.5,SECONDARY,5,11832,50.8789722785666,-4.067012425257464,132786690.69070508,-305029642.4070996
-30.0,PRIMARY,1,88,1.1363636363636365,-0.019804231513116107,1.8189894035458565e-12,-2.8194335754960775e-11
-30.0,PRIMARY,2,95,4.2105263157894735,-0.7969200727316424,9.563905223330949e-12,-172077.45226528012
-30.0,PRIMARY,3,52,11.538461538461538,-2.2150365812480897,3599.206661706108,-437832.3700612583
-30.0,PRIMARY,4,25,8.0,-1.2753755175233783,0.0,-237772.65720509927
-30.0,PRIMARY,5,39,48.717948717948715,-2.6053443366471654,467871.06793737796,-904686.011478313
-30.0,SECONDARY,1,32468,0.6837501539977824,-0.0960939898025516,201740.2712944561,-1970518.5335160724
-30.0,SECONDARY,2,23431,2.441210362340489,-0.4092252262164937,1525128.647526108,-23403336.14692003
-30.0,SECONDARY,3,13660,7.532942898975111,-1.280566059969119,4412899.976095096,-74698069.6543765
-30.0,SECONDARY,4,7655,16.263879817112997,-2.8697070113550756,6526493.117554112,-137475251.78737596
-30.0,SECONDARY,5,11832,44.481068289384716,-4.257486198499507,101618446.27693781,-287549712.7039542
-35.0,PRIMARY,1,88,1.1363636363636365,-0.019804231513116107,1.8189894035458565e-12,-2.8194335754960775e-11
-35.0,PRIMARY,2,95,1.0526315789473684,-0.155307841880288,9.563905223330949e-12,-1.1095835361629725e-10
-35.0,PRIMARY,3,52,3.8461538461538463,-1.2286953120131248,1.8189894035458565e-12,-350004.5813553378
-35.0,PRIMARY,4,25,4.0,-0.24407216958178793,0.0,-4.729372449219227e-11
-35.0,PRIMARY,5,39,30.76923076923077,-1.054258392221022,176940.53725126432,-200624.6640719193
-35.0,SECONDARY,1,32468,0.3665147221880005,-0.05505374843389669,81676.80316185157,-1089639.2523623272
-35.0,SECONDARY,2,23431,1.2291408817378686,-0.20707539621650736,818195.1026657003,-9712699.502478994
-35.0,SECONDARY,3,13660,4.084919472913617,-0.7198530818494032,2368307.577749855,-37856861.174476326
-35.0,SECONDARY,4,7655,10.058785107772698,-2.0634708224757423,3182738.6398611967,-96088862.00277305
-35.0,SECONDARY,5,11832,31.981068289384716,-4.037659223243493,58210175.82424566,-234831037.80329686
-40.0,PRIMARY,1,88,1.1363636363636365,-0.031870082528776884,1.8189894035458565e-12,-2.8194335754960775e-11
-40.0,PRIMARY,2,95,1.0526315789473684,-0.20999462577798086,9.563905223330949e-12,-1.1095835361629725e-10
-40.0,PRIMARY,3,52,1.9230769230769231,-0.3972839485495196,1.8189894035458565e-12,-2.9103830456733704e-11
-40.0,PRIMARY,4,25,0.0,0.0,0.0,-4.729372449219227e-11
-40.0,PRIMARY,5,39,23.076923076923077,-1.474173688730474,83511.46623626474,-3.092281986027956e-11
-40.0,SECONDARY,1,32468,0.1755574719724036,-0.022327594731635328,41041.95487101458,-213938.80680768334
-40.0,SECONDARY,2,23431,0.6103025905851223,-0.10275303574672431,494175.26488013787,-4070064.1654223176
-40.0,SECONDARY,3,13660,2.320644216691069,-0.4140313513851709,1324812.4228111594,-18995182.92412859
-40.0,SECONDARY,4,7655,5.447419986936643,-1.180511501466932,1755611.5389370895,-53240478.36262774
-40.0,SECONDARY,5,11832,21.847532116294794,-3.414122540261928,32321990.583866455,-178774616.9697328
