stop_pct,sample,n,n_killed,killed_pct_of_winners,killed_base_mean,killed_cf_mean,lost_future_profit,n_saved,saved_pct_of_losers,saved_base_mean,saved_cf_mean,saved_loss,net_stop_value,net_per_1000
-10.0,PRIMARY,299,113,49.77973568281938,8.673001113831557,-2.1958138036942736,-6606362.2032070905,38,52.77777777777778,-8.957197696549361,-4.657613166755837,2985820.218506227,-4194196.616929332,-14027413.43454626
-10.0,SECONDARY,89046,29855,43.17363450998539,8.303937769864472,-1.2709602886586675,-1619031560.4372568,8910,44.78512188992209,-7.895355433971301,-5.017019768725986,697873429.1306254,-1126731601.8131902,-12653365.696529772
-12.5,PRIMARY,299,90,39.647577092511014,9.227346569276662,-2.1209462296984682,-5878925.942502733,35,48.61111111111111,-8.957197696549361,-5.690776507948694,2610650.6766250436,-3929534.9646090087,-13142257.406719094
-12.5,SECONDARY,89046,25286,36.566354788795536,8.481518376300327,-0.6619751994061388,-1404108470.2005224,7546,37.92912792158834,-7.895355433971301,-6.340546455865319,586711245.5510876,-1094593044.1879416,-12292444.850840481
-15.0,PRIMARY,299,83,36.56387665198238,8.671951921073589,-2.395638356285257,-5596080.888473595,30,41.66666666666667,-8.957197696549361,-6.5715859375814825,2277394.2989449943,-4168627.293455964,-13941897.302528309
-15.0,SECONDARY,89046,21957,31.752252317392372,8.74698173633251,0.08822746348982137,-1213707543.403998,6441,32.37496858507163,-7.895355433971301,-7.651595400701586,482406655.8082696,-1063394777.8664756,-11942083.618202677
-17.5,PRIMARY,299,66,29.074889867841406,9.689547637344536,-1.6101241818112817,-4659230.972101703,28,38.88888888888889,-8.957197696549361,-8.302443930451979,1863725.4703205717,-3935424.995292458,-13161956.505994843
-17.5,SECONDARY,89046,19670,28.444997180084165,8.97275405235096,0.90467695269122,-1055583643.5221024,5598,28.137723045991454,-7.895355433971301,-8.720668108339718,391708385.34250355,-1037799305.5053865,-11654642.606129263
-20.0,PRIMARY,299,56,24.669603524229075,10.38881170516484,0.2333767772118873,-3627531.2721344684,24,33.33333333333333,-8.957197696549361,-9.276477627877238,1532738.3983531934,-3544120.2502241367,-11853244.984027214
-20.0,SECONDARY,89046,18054,26.108082312620205,9.110325562423546,1.6932777088706676,-921790155.9640231,4925,24.754963558683084,-7.895355433971301,-9.614448863501968,313159328.1511,-1013420193.9782755,-11380861.509537492
-22.5,PRIMARY,299,50,22.026431718061673,10.93959625124714,1.8764656630887178,-3237255.7734877546,21,29.166666666666668,-8.957197696549361,-9.821601405391553,1258775.4759839918,-3671314.171125272,-12278642.712793551
-22.5,SECONDARY,89046,16815,24.31635117351882,9.199650762645303,2.536900847657168,-800387185.7800579,4428,22.256848454385526,-7.895355433971301,-10.203426272215856,247344264.2619484,-969497667.013422,-10887604.91221865
-25.0,PRIMARY,299,45,19.823788546255507,11.509193723021319,3.1867685404129955,-2573326.0644202763,20,27.77777777777778,-8.957197696549361,-11.012620677085533,954495.4811360745,-2856848.9391369,-9554678.726210369
-25.0,SECONDARY,89046,15855,22.928084915619444,9.234421484959299,3.374783908969955,-690368062.4833797,4041,20.31163608946972,-7.895355433971301,-10.545927969594032,193507270.43853402,-920396471.4379655,-10336191.085932726
-27.5,PRIMARY,299,42,18.502202643171806,12.048618407012285,3.7929128446430966,-2390811.386689617,17,23.61111111111111,-8.957197696549361,-11.915566413815506,650455.402483626,-2747467.5034613316,-9188854.526626527
-27.5,SECONDARY,89046,15191,21.96786742057237,9.282053725957692,4.056604194998325,-610830918.3365042,3772,18.959537572254334,-7.895355433971301,-10.682762994513388,149510889.45178205,-882448693.277978,-9910031.81813869
-30.0,PRIMARY,299,37,16.299559471365637,12.704497523273865,6.186465103226824,-1752368.4910099509,15,20.833333333333336,-8.957197696549361,-11.614127481227092,471470.27459908405,-2215232.782179246,-7408805.291569386
-30.0,SECONDARY,89046,14616,21.136353776518053,9.283341033937122,4.7975964180498485,-525096888.8261429,3574,17.96431264136718,-7.895355433971301,-10.537934534662023,114284708.28940758,-825216351.993784,-9267304.000109874
-35.0,PRIMARY,299,34,14.977973568281937,12.485277110846468,10.146691552620196,-550629.2454272573,12,16.666666666666664,-8.957197696549361,-10.107207701959178,176940.53725126432,-877774.7766089593,-2935701.5940098977
-35.0,SECONDARY,89046,13888,20.083585197611026,9.242932578230723,6.0034720547964655,-379579099.7353875,3336,16.768032168886656,-7.895355433971301,-10.004903603101633,64661093.947684266,-682877358.156199,-7668815.647600105
-40.0,PRIMARY,299,32,14.096916299559473,11.845211128006493,11.845211128006493,-2.4647306418046355e-10,9,12.5,-8.957197696549361,-6.280704854859808,83511.46623626475,-755550.9150842321,-2526926.137405459
-40.0,SECONDARY,89046,13431,19.422712614423506,9.156685801571076,7.000585305422626,-255294281.22871915,3235,16.260366926363407,-7.895355433971301,-9.328728011692428,35937631.765365854,-518686308.5552412,-5824925.415574435
