stop_pct,sample,year,n,mean,median,win_rate,pf,p5,trig_rate,net_stop_value
-10.0,PRIMARY,2020,33,1.915748211976654,4.052671012057143,60.60606060606061,1.120154831840337,-10.226627681073413,39.39393939393939,-609584.2979911248
-10.0,PRIMARY,2021,58,2.0158382678066795,-3.0537284300876273,39.6551724137931,0.6993893563758375,-7.51967372259957,58.620689655172406,-257528.76616950042
-10.0,PRIMARY,2022,59,1.8142931464494563,-3.199685840608909,42.3728813559322,0.7001057607462403,-8.05650593281029,55.932203389830505,-1014565.5405009728
-10.0,PRIMARY,2023,45,-0.10199105220029468,-1.9912914951639942,40.0,0.4621454016804828,-7.745798179143179,55.55555555555556,-361867.48061154335
-10.0,PRIMARY,2024,50,1.8735546281607642,-0.7166643518260665,48.0,0.9250131861687416,-9.333401114462825,46.0,-1064329.5848283456
-10.0,PRIMARY,2025,34,3.745476547054487,2.0115882457054504,55.88235294117647,1.2236300758213976,-10.181684364200537,44.11764705882353,-653264.3252563048
-10.0,PRIMARY,2026,20,-0.6010798952032896,-4.035653178940711,35.0,0.4709370435265854,-10.240899968468772,60.0,-233056.62157154002
-10.0,SECONDARY,2020,8963,2.3046214589213507,2.138807923188768,54.72498047528729,0.8883504314269672,-9.143883407906324,43.34486221131318,-79959621.29080307
-10.0,SECONDARY,2021,10532,3.5255598652575433,3.6181027324870976,61.13748575769085,1.3031715729458355,-8.875621607181683,36.32738321306495,-110512133.4762866
-10.0,SECONDARY,2022,15514,2.7615019071959868,2.1190962063455543,54.08018563877788,1.0101572291676304,-9.297705399948,45.11409049890421,-226228091.7513126
-10.0,SECONDARY,2023,15487,1.874092124526018,2.5579438837712876,56.23426099309098,0.783000892923774,-8.141031430432804,41.96422806224576,-105438126.95632917
-10.0,SECONDARY,2024,13576,0.7024618243989461,-3.515502143633787,41.52180318208604,0.5444361112227745,-10.181684364200557,57.47642899233942,-378138352.2940428
-10.0,SECONDARY,2025,14728,5.695792164519848,5.279878103115677,72.76615969581749,2.4443773547290837,-7.803467852670459,24.192015209125476,-164043657.6790819
-10.0,SECONDARY,2026,10246,0.2827210341795722,-4.008116319099768,37.15596330275229,0.5154253548618436,-10.181684364200557,61.458130001951986,-62411618.365334116
-12.5,PRIMARY,2020,33,3.5371556842861023,4.778058019478602,72.72727272727273,1.3898013847633763,-8.401271014281631,27.27272727272727,-501166.41651548084
-12.5,PRIMARY,2021,58,2.3161728913286437,-1.97057197283246,48.275862068965516,0.7457184419869255,-8.504691556358821,50.0,-234919.68104920292
-12.5,PRIMARY,2022,59,1.6521794570839783,-1.5651520516643562,47.45762711864407,0.6420274433929878,-10.718550407938617,47.45762711864407,-1164831.9566432973
