stop_pct,sample,net_stop_value,net_per_1000,lost_future_profit,saved_loss,n_killed,n_saved
-10.0,PRIMARY,-4194196.616929332,-14027413.43454626,-6606362.2032070905,2985820.218506227,113,38
-10.0,SECONDARY,-1126731601.8131902,-12653365.696529772,-1619031560.4372568,697873429.1306254,29855,8910
-12.5,PRIMARY,-3929534.9646090087,-13142257.406719094,-5878925.942502733,2610650.6766250436,90,35
-12.5,SECONDARY,-1094593044.1879416,-12292444.850840481,-1404108470.2005224,586711245.5510876,25286,7546
-15.0,PRIMARY,-4168627.293455964,-13941897.302528309,-5596080.888473595,2277394.2989449943,83,30
-15.0,SECONDARY,-1063394777.8664756,-11942083.618202677,-1213707543.403998,482406655.8082696,21957,6441
-17.5,PRIMARY,-3935424.995292458,-13161956.505994843,-4659230.972101703,1863725.4703205717,66,28
-17.5,SECONDARY,-1037799305.5053865,-11654642.606129263,-1055583643.5221024,391708385.34250355,19670,5598
-20.0,PRIMARY,-3544120.2502241367,-11853244.984027214,-3627531.2721344684,1532738.3983531934,56,24
-20.0,SECONDARY,-1013420193.9782755,-11380861.509537492,-921790155.9640231,313159328.1511,18054,4925
-22.5,PRIMARY,-3671314.171125272,-12278642.712793551,-3237255.7734877546,1258775.4759839918,50,21
-22.5,SECONDARY,-969497667.013422,-10887604.91221865,-800387185.7800579,247344264.2619484,16815,4428
-25.0,PRIMARY,-2856848.9391369,-9554678.726210369,-2573326.0644202763,954495.4811360745,45,20
-25.0,SECONDARY,-920396471.4379655,-10336191.085932726,-690368062.4833797,193507270.43853402,15855,4041
-27.5,PRIMARY,-2747467.5034613316,-9188854.526626527,-2390811.386689617,650455.402483626,42,17
-27.5,SECONDARY,-882448693.277978,-9910031.81813869,-610830918.3365042,149510889.45178205,15191,3772
-30.0,PRIMARY,-2215232.782179246,-7408805.291569386,-1752368.4910099509,471470.27459908405,37,15
-30.0,SECONDARY,-825216351.993784,-9267304.000109874,-525096888.8261429,114284708.28940758,14616,3574
-35.0,PRIMARY,-877774.7766089593,-2935701.5940098977,-550629.2454272573,176940.53725126432,34,12
-35.0,SECONDARY,-682877358.156199,-7668815.647600105,-379579099.7353875,64661093.947684266,13888,3336
-40.0,PRIMARY,-755550.9150842321,-2526926.137405459,-2.4647306418046355e-10,83511.46623626475,32,9
-40.0,SECONDARY,-518686308.5552412,-5824925.415574435,-255294281.22871915,35937631.765365854,13431,3235
