stop_pct,sample,n,p1,p5,p10,worst,worst100_mean,worst1pct_mean,worst5pct_mean,worst10pct_mean
-10.0,PRIMARY,299,-10.22662768107341,-8.866527074709596,-7.717298053340239,-39.08929023133747,-7.2832780525859535,-25.22764334045117,-12.112271977007916,-10.150751216252543
-10.0,SECONDARY,89046,-10.955856274368436,-9.703025293855998,-7.656049446527198,-52.49313692805217,-33.298810802472865,-17.092829079767608,-11.5892252896165,-10.02340548328546
-12.5,PRIMARY,299,-12.69966586685486,-10.621417529610845,-8.580073882034648,-39.08929023133747,-8.228230943574353,-27.532340716829943,-14.243349848064508,-11.898162168296261
-12.5,SECONDARY,89046,-12.782097427029326,-10.710589787397106,-8.808669823450249,-52.49313692805217,-34.94476135966284,-18.984550692398745,-13.48129345341763,-11.55953335198685
-15.0,PRIMARY,299,-15.171590788411638,-11.619600044602151,-10.170201540279736,-39.08929023133747,-9.391710298502366,-27.532340716829943,-15.763303604122028,-13.30614325779938
-15.0,SECONDARY,89046,-15.214037254347124,-11.985541668440435,-10.041374509202008,-52.72523110841959,-37.34399824986717,-21.09577985703892,-15.243326599176019,-13.076874777170023
-17.5,PRIMARY,299,-17.666544000517174,-13.741383789433856,-11.547861351061393,-39.08929023133747,-10.152997656001528,-28.377917115927335,-17.424090033294604,-14.959552514353579
-17.5,SECONDARY,89046,-17.70774204098396,-13.44697996185699,-11.278046265665463,-53.37087143778599,-38.68519914863322,-22.999138226765933,-16.87287474360685,-14.559165261087921
-20.0,PRIMARY,299,-20.161497212622717,-15.28983024891775,-12.94728753201099,-39.08929023133747,-10.19022920401363,-30.812533285183896,-19.614167290865264,-16.671233619702534
-20.0,SECONDARY,89046,-20.161497212622717,-14.935844400533576,-12.472053630711631,-53.37087143778599,-39.766820016465765,-24.812272017932013,-18.529779850511535,-16.071359040581843
-22.5,PRIMARY,299,-20.59025442669575,-16.020924543886586,-13.413362173504556,-39.08929023133747,-9.810705883055588,-30.872870328032864,-20.335935751207792,-17.631157808558306
-22.5,SECONDARY,89046,-22.656450424728245,-16.442256172596608,-13.462841619079063,-57.23152826129612,-41.12753564924039,-26.66090026991204,-20.170965705636522,-17.53098695949724
-25.0,PRIMARY,299,-23.64960397641333,-16.822094033482973,-14.090719488415386,-39.08929023133747,-9.004925417622399,-32.12034693408563,-21.940183468769067,-18.626501798031402
-25.0,SECONDARY,89046,-23.900272583269857,-17.893916511592696,-14.097313969014147,-57.23152826129612,-41.88289092550486,-28.357804690180842,-21.78301981083368,-18.90488708776437
-27.5,PRIMARY,299,-24.689411437537753,-18.225478515559885,-13.612655356617365,-39.08929023133747,-8.769870430465575,-33.36782354013842,-23.032547558159994,-19.71450427010518
-27.5,SECONDARY,89046,-25.343453581051346,-19.35000815246307,-13.811641041947972,-59.310387333442684,-42.83141422334062,-29.89953399226166,-23.387631562068425,-20.112054388311652
-30.0,PRIMARY,299,-25.634377712524955,-20.1128244955291,-12.687531827494718,-39.08929023133747,-8.106113427559059,-33.67170553497666,-24.542051233884923,-20.73176168727153
-30.0,SECONDARY,89046,-27.26130268461128,-20.65224199668839,-11.520966427161023,-59.310387333442684,-43.582086599477954,-31.578441716421683,-25.055805625164318,-20.911694408500335
-35.0,PRIMARY,299,-29.418073308536304,-19.064991607440923,-7.374250314597723,-39.08929023133747,-6.899546618895238,-35.77555605884329,-26.60259940449999,-19.73445750870741
-35.0,SECONDARY,89046,-30.985771927357426,-21.3694373449419,-8.128341272076808,-63.50930862355797,-45.72621979038145,-34.96043692976875,-27.836716599622168,-20.769841777132445
-40.0,PRIMARY,299,-35.60635378840555,-17.80102588031714,-6.738710068035835,-42.84750626964656,-7.057062345656483,-41.49929569518109,-30.614286316429478,-20.896345010643337
-40.0,SECONDARY,89046,-34.535420649741575,-16.615919177766006,-6.865048471627492,-63.50930862355797,-47.25599855609032,-38.227772148401954,-28.60125032996268,-19.654920102943578
