n,mean,median,win_rate,pf,total_pnl,std,p1,p5,p10,worst,hold_med,hold_mean,hold_p90,mae_med,trig_rate,exec_rate,pending_rate,coll_rate,gap_rate,sample,stop_pct,bound,base_mean,base_median,base_pf,base_p5,base_p10,base_hold_med,base_win,d_mean,d_median,d_pf,d_p5,d_p10,d_hold,d_win
89046,2.5377280551767605,2.115705666652373,54.58302450418885,0.9177813552470354,-118220363.18871957,9.537234586600519,-10.955856274368436,-9.703025293855998,-7.656049446527198,-52.49313692805217,19.0,21.720728612177975,42.0,-8.36337422791873,43.65384183455742,43.64934977427397,0.046043617905352295,0.03593648226759203,69.24264251903683,SECONDARY,-10.0,STOP_FIRST,5.28185796605317,5.452256531006037,1.8163673073630096,-11.842235453249545,-5.777656517149406,25.0,77.65761516519551,-2.74412991087641,-3.3365508643536637,-0.8985859521159741,2.1392101593935475,-1.8783929293777915,-6.0,-23.07459066100666
89046,2.5393961376371763,2.1168597993522695,54.58976259461402,0.9181522590918256,-117651548.85083841,9.535153136135577,-10.954902587143135,-9.70268633023275,-7.655513243240766,-52.49313692805217,19.0,21.720728612177975,42.0,-8.36337422791873,43.65384183455742,43.61341329200638,0.046043617905352295,0.03593648226759203,69.17575632846264,SECONDARY,-10.0,TP_FIRST,5.28185796605317,5.452256531006037,1.8163673073630096,-11.842235453249545,-5.777656517149406,25.0,77.65761516519551,-2.742461828415994,-3.335396731653767,-0.8982150482711839,2.1395491230167956,-1.87785672609136,-6.0,-23.067852570581486
89046,2.897175849910462,3.403807079269302,60.74163915279743,0.9460965971744097,-86081805.56347075,10.018590297382486,-12.782097427029326,-10.710589787397106,-8.808669823450249,-52.49313692805217,20.0,23.14609303056847,44.0,-8.36337422791873,35.82979583586012,35.82979583586012,0.03593648226759203,0.038182512409316534,66.74815859583137,SECONDARY,-12.5,STOP_FIRST,5.28185796605317,5.452256531006037,1.8163673073630096,-11.842235453249545,-5.777656517149406,25.0,77.65761516519551,-2.3846821161427085,-2.048449451736735,-0.8702707101885998,1.1316456658524388,-3.031013306300842,-5.0,-16.915976012398076
89046,2.899169168007795,3.4041842194313663,60.748377243222606,0.9465962651196785,-85247731.01856695,10.015887783315845,-12.776411145708108,-10.709076534785744,-8.806368308844135,-52.49313692805217,20.0,23.14609303056847,44.0,-8.36337422791873,35.82979583586012,35.7916133234508,0.03593648226759203,0.038182512409316534,66.66666666666666,SECONDARY,-12.5,TP_FIRST,5.28185796605317,5.452256531006037,1.8163673073630096,-11.842235453249545,-5.777656517149406,25.0,77.65761516519551,-2.3826887980453755,-2.0480723115746704,-0.869771042243331,1.133158918463801,-3.028711791694729,-5.0,-16.909237921972903
89046,3.158634248203834,4.038129169359032,65.19439390876626,0.9678582368787294,-54883539.24200493,10.368694839379101,-15.214037254347124,-11.985541668440435,-10.041374509202008,-52.72523110841959,21.0,24.38586797834827,46.0,-8.36337422791873,29.447701188149942,29.446578173079086,0.039305527480178785,0.03593648226759203,64.35435893524522,SECONDARY,-15.0,STOP_FIRST,5.28185796605317,5.452256531006037,1.8163673073630096,-11.842235453249545,-5.777656517149406,25.0,77.65761516519551,-2.1232237178493363,-1.4141273616470045,-0.8485090704842801,-0.14330621519088993,-4.263717992052602,-4.0,-12.46322125642925
89046,3.159966529736636,4.038129169359032,65.19663993890799,0.9681769585781091,-54322206.88178536,10.36629337571476,-15.214037254347124,-11.98538899733455,-10.039620673627066,-52.72523110841959,21.0,24.38585674819756,46.0,-8.36337422791873,29.447701188149942,29.410641690811488,0.039305527480178785,0.03593648226759203,64.25139196094882,SECONDARY,-15.0,TP_FIRST,5.28185796605317,5.452256531006037,1.8163673073630096,-11.842235453249545,-5.777656517149406,25.0,77.65761516519551,-2.121891436316534,-1.4141273616470045,-0.8481903487849004,-0.14315354408500447,-4.26196415647766,-4.0,-12.460975226287516
89046,3.3648501935983033,4.407395988743291,68.31862183590503,0.9836166601585589,-29288066.88091588,10.65211238499048,-17.70774204098396,-13.44697996185699,-11.278046265665463,-53.37087143778599,22.0,25.489095523661927,48.0,-8.36337422791873,24.332367540372392,24.332367540372392,0.0595197987556993,0.030321406913280776,60.7559883694097,SECONDARY,-17.5,STOP_FIRST,5.28185796605317,5.452256531006037,1.8163673073630096,-11.842235453249545,-5.777656517149406,25.0,77.65761516519551,-1.917007772454867,-1.0448605422627457,-0.8327506472044507,-1.6047445086074443,-5.500389748516056,-3.0,-9.338993329290474
89046,3.3658934339091195,4.407472333419927,68.31974485097591,0.9838213542499553,-28916734.836280435,10.65003080823904,-17.70774204098396,-13.446573693070913,-11.277396532425797,-53.37087143778599,22.0,25.489095523661927,48.0,-8.36337422791873,24.332367540372392,24.30204613345911,0.0595197987556993,0.030321406913280776,60.63599021553514,SECONDARY,-17.5,TP_FIRST,5.28185796605317,5.452256531006037,1.8163673073630096,-11.842235453249545,-5.777656517149406,25.0,77.65761516519551,-1.9159645321440508,-1.04478419758611,-0.8325459531130542,-1.6043382398213684,-5.499740015276391,-3.0,-9.3378703142196
89046,3.530278804061087,4.645924423607379,70.5421916762123,0.9973433620991029,-4908955.353805006,10.914617903592186,-20.161497212622717,-14.935844400533576,-12.472053630711631,-53.37087143778599,22.0,26.384610201468902,50.0,-8.36337422791873,20.22550142622914,20.224378411158277,0.06176582889742381,0.03256743705500528,56.67962243198224,SECONDARY,-20.0,STOP_FIRST,5.28185796605317,5.452256531006037,1.8163673073630096,-11.842235453249545,-5.777656517149406,25.0,77.65761516519551,-1.7515791619920833,-0.8063321073986573,-0.8190239452639066,-3.0936089472840305,-6.694397113562225,-3.0,-7.115423488983211
89046,3.531446646033449,4.645924423607379,70.54331469128316,0.9976053592107461,-4423702.448146135,10.912270441226063,-20.161497212622717,-14.934679153811627,-12.471234098270703,-53.37087143778599,22.0,26.384610201468902,50.0,-8.36337422791873,20.22550142622914,20.191810974103273,0.06176582889742381,0.03256743705500528,56.551915602443096,SECONDARY,-20.0,TP_FIRST,5.28185796605317,5.452256531006037,1.8163673073630096,-11.842235453249545,-5.777656517149406,25.0,77.65761516519551,-1.7504113200197216,-0.8063321073986573,-0.8187619481522634,-3.0924437005620824,-6.693577581121296,-3.0,-7.114300473912351
