validation_id,feature_id,K3_lift_pp,K3_ranked_mean_pp,usable_days
V01,F04,0.722934298608919,4.248632892656094,409
V02,F06,0.9842105864236479,4.509909180470824,409
V03,F07,0.8759069303323233,4.401605524379498,409
V04,F09,1.4261406487933745,4.95183924284055,409
V05,F13,0.6930945523940104,4.218793146441185,409
