validation_id,feature_id,n_pairs,ties,pairwise_acc
V01,F04,604711,11,53.47546183218099
V02,F06,604703,19,52.632614688533046
V03,F07,604720,2,54.14820082021431
V04,F09,604721,1,55.22927101919728
V05,F13,604705,17,53.9102537600979
