bucket,n,equal_day_excess_pp
A_TOP10,66,0.05764047945807711
B_11_50,220,-0.5974446804010858
C_51_200,783,-0.5510671194474777
D_201_500,1674,-0.9802613965722246
E_gt500,26320,0.1415260049051892
