series,lag,acf,perm_ci_lo,perm_ci_hi
R_mean,1,0.4276536165448876,-0.04855573803851673,0.05162211940622584
R_mean,2,0.39855565119007086,-0.05232285305105964,0.05001880938797263
R_mean,3,0.3099912373098972,-0.05179293481243572,0.050754691916527844
R_mean,5,0.23690717816881168,-0.05234470861702075,0.049789214536455524
R_mean,10,0.13459653875677852,-0.051428318368018595,0.04868665599031545
R_mean,20,0.06122204542174297,-0.05140823792291922,0.05128708665999631
R_mean,40,-0.08870729133928687,-0.051263568236481864,0.04979462739950981
R_mean,60,-0.046749607792718154,-0.05167050381919105,0.04980430713932683
R_mean,120,0.02442487673260985,-0.05537745215030134,0.04925371707255126
sign,1,0.28562429968807723,,
sign,2,0.27195247620779534,,
sign,3,0.2549411220582577,,
sign,5,0.18894510081895582,,
sign,10,0.1434662522350108,,
sign,20,0.06146850765444063,,
sign,40,0.009630394094986902,,
sign,60,-0.051640037528255904,,
sign,120,-0.028902224714095082,,
win_rate,1,0.3896095325845391,,
win_rate,2,0.36002772515674647,,
win_rate,3,0.32112835405194284,,
win_rate,5,0.23887285618459686,,
win_rate,10,0.19940762490411798,,
win_rate,20,0.09658084887671782,,
win_rate,40,-0.022417207349573302,,
win_rate,60,-0.06686226616223134,,
win_rate,120,0.020418029388245572,,
