sample,signal_date,mean_return,median_return,win_rate,loss_rate,n_episodes,mean_mae,mean_hold
SECONDARY,2020-02-06,12.544306307314594,12.571344468011093,83.33333333333334,16.666666666666664,24,-7.425305484058189,33.833333333333336
SECONDARY,2020-02-07,8.251701621389001,8.251701621389001,50.0,50.0,2,-10.317276753753445,25.0
SECONDARY,2020-02-13,-2.5799196512874154,-2.5799196512874154,0.0,100.0,1,-16.412701222827796,54.0
SECONDARY,2020-02-20,12.763962833414302,12.763962833414302,100.0,0.0,1,-3.686057532211362,8.0
SECONDARY,2020-02-24,-16.616353330477352,-16.616353330477352,0.0,100.0,1,-36.448701424296736,48.0
SECONDARY,2020-02-25,-7.644489962177108,-7.644489962177108,0.0,100.0,1,-24.334924334924334,34.0
SECONDARY,2020-02-26,10.566376580134127,10.566376580134127,100.0,0.0,2,-6.890604948315782,36.0
SECONDARY,2020-02-27,-3.015784847062639,-4.5579052300490766,40.0,60.0,5,-18.568462744918556,45.6
SECONDARY,2020-02-28,3.1810297536308494,2.358469898198538,69.02654867256636,30.973451327433626,113,-12.675100858819706,32.85840707964602
SECONDARY,2020-03-02,-3.726821253868625,-1.614390692498972,20.0,80.0,5,-27.04690832316884,50.2
SECONDARY,2020-03-03,-4.6481352561451645,-4.6481352561451645,0.0,100.0,2,-19.77622425047062,28.5
SECONDARY,2020-03-04,0.3847740313147101,-0.696882706620126,33.33333333333333,66.66666666666666,3,-21.828093292618153,49.0
SECONDARY,2020-03-09,2.6486081028423047,2.4905134578877446,64.70588235294117,35.294117647058826,102,-17.29937564032285,38.705882352941174
SECONDARY,2020-03-10,-1.3783798846978286,-1.3783798846978286,50.0,50.0,2,-30.80387064765914,25.5
SECONDARY,2020-03-11,2.7977032118317573,3.2204179477855437,57.14285714285714,42.857142857142854,7,-14.325733565337616,26.142857142857142
SECONDARY,2020-03-12,6.103910563403909,4.932304945461055,84.84848484848484,15.151515151515152,99,-9.567243849065992,28.616161616161616
SECONDARY,2020-03-13,3.3360506251959716,2.863501244226372,70.98039215686275,29.01960784313726,255,-12.308454767783953,28.462745098039214
SECONDARY,2020-03-16,5.448334160727682,4.1780221512582365,81.37128072445019,18.628719275549805,773,-10.761341655953466,30.721862871927556
SECONDARY,2020-03-17,5.711198986867672,5.239154489717661,78.37837837837837,21.62162162162162,111,-12.541601344984164,29.666666666666668
SECONDARY,2020-03-18,6.69556412972515,5.568306669805496,85.92233009708737,14.077669902912621,206,-8.664203499216136,31.58252427184466
SECONDARY,2020-03-19,9.776312500524352,6.957727005086822,93.54838709677419,6.451612903225806,31,-8.221612529629107,27.0
SECONDARY,2020-03-20,10.227603510594381,4.421906870664453,100.0,0.0,6,-11.47735490330013,33.166666666666664
