date,mode,equity,cash,invested,stock_val,n_pos
2020-01-02,A0,1000000.0,1000000.0,0.0,0.0,0
2020-01-03,A0,1000000.0,1000000.0,0.0,0.0,0
2020-01-06,A0,1000000.0,1000000.0,0.0,0.0,0
2020-01-07,A0,1000000.0,1000000.0,0.0,0.0,0
2020-01-08,A0,1000000.0,1000000.0,0.0,0.0,0
2020-01-09,A0,1000000.0,1000000.0,0.0,0.0,0
2020-01-10,A0,1000000.0,1000000.0,0.0,0.0,0
2020-01-13,A0,1000000.0,1000000.0,0.0,0.0,0
2020-01-14,A0,1000000.0,1000000.0,0.0,0.0,0
2020-01-15,A0,1000000.0,1000000.0,0.0,0.0,0
2020-01-16,A0,1000000.0,1000000.0,0.0,0.0,0
2020-01-17,A0,1000000.0,1000000.0,0.0,0.0,0
2020-01-20,A0,1000000.0,1000000.0,0.0,0.0,0
2020-01-21,A0,1000000.0,1000000.0,0.0,0.0,0
2020-01-22,A0,1000000.0,1000000.0,0.0,0.0,0
2020-01-23,A0,1000000.0,1000000.0,0.0,0.0,0
2020-02-03,A0,1000000.0,1000000.0,0.0,0.0,0
2020-02-04,A0,1000000.0,1000000.0,0.0,0.0,0
2020-02-05,A0,1000000.0,1000000.0,0.0,0.0,0
2020-02-06,A0,1000000.0,1000000.0,0.0,0.0,0
2020-02-07,A0,1000000.0,1000000.0,0.0,0.0,0
2020-02-10,A0,1000000.0,1000000.0,0.0,0.0,0
2020-02-11,A0,1000000.0,1000000.0,0.0,0.0,0
2020-02-12,A0,1000000.0,1000000.0,0.0,0.0,0
2020-02-13,A0,1000000.0,1000000.0,0.0,0.0,0
2020-02-14,A0,1000000.0,1000000.0,0.0,0.0,0
2020-02-17,A0,1000000.0,1000000.0,0.0,0.0,0
2020-02-18,A0,1000000.0,1000000.0,0.0,0.0,0
2020-02-19,A0,1000000.0,1000000.0,0.0,0.0,0
2020-02-20,A0,1000000.0,1000000.0,0.0,0.0,0
2020-02-21,A0,1000000.0,1000000.0,0.0,0.0,0
2020-02-24,A0,1000000.0,1000000.0,0.0,0.0,0
2020-02-25,A0,1000000.0,1000000.0,0.0,0.0,0
2020-02-26,A0,1000000.0,1000000.0,0.0,0.0,0
2020-02-27,A0,1000000.0,1000000.0,0.0,0.0,0
2020-02-28,A0,1000000.0,1000000.0,0.0,0.0,0
2020-03-02,A0,1004324.3473688001,609388.3473688001,390611.6526311999,394936.0,2
2020-03-03,A0,1012205.3473688001,609388.3473688001,390611.6526311999,402817.0,2
2020-03-04,A0,1012018.3473688001,609388.3473688001,390611.6526311999,402630.0,2
2020-03-05,A0,1018821.3473688001,609388.3473688001,390611.6526311999,409433.0,2
2020-03-06,A0,1012591.3473688001,609388.3473688001,390611.6526311999,403203.0,2
2020-03-09,A0,991568.3473688001,609388.3473688001,390611.6526311999,382180.0,2
2020-03-10,A0,1013532.6106947601,422098.6106947601,577901.3893052399,591434.0,2
2020-03-11,A0,1011657.6106947601,422098.6106947601,577901.3893052399,589559.0,2
2020-03-12,A0,989483.6106947601,422098.6106947601,577901.3893052399,567385.0,2
2020-03-13,A0,985447.1397724801,227075.13977248015,772924.8602275199,758372.0,2
2020-03-16,A0,934843.1397724801,227075.13977248015,772924.8602275199,707768.0,2
2020-03-17,A0,933013.9508041901,332.9508041901536,999667.0491958098,932681.0,3
2020-03-18,A0,913028.9508041901,332.9508041901536,999667.0491958098,912696.0,3
2020-03-19,A0,889929.9508041901,332.9508041901536,999667.0491958098,889597.0,3
2020-03-20,A0,901832.9508041901,332.9508041901536,999667.0491958098,901500.0,3
