date,ts_code,amount,amount_rank,p5_state,in_b1_signal_days
2022-05-13,002415.SZ,7122373.26,2,BLOCKED_HELD,NO
2023-11-09,601318.SH,6539441.76,4,QUEUED,NO
2024-12-31,600030.SH,5903231.59,7,QUEUED,NO
