mode,maxdd_pct,worst1d_pct,worst5d_pct,peak_positions,peak_gross_exposure,min_cash
A0,-30.79,-8.365,-13.016,3,1599232.0,113.0
A1,-46.943,-8.365,-13.606,5,1253686.0,123.0
A2,-44.569,-8.365,-13.99,6,1213986.0,19.0
