bridge,common,a_only,b_only,common_pnl_delta,a_only_pnl,b_only_pnl
A1_vs_A0,51,25,32,-183557.12,415752.64,88235.52
A2_vs_A1,57,26,37,44677.52,-81166.82,-145635.12
