mode,total_return_pct,cagr_pct,maxdd_pct,sharpe,sortino,calmar,stock_pnl,trades,win_rate_pct,profit_factor,cap_util_mean,cap_util_med,fully_invested_pct,cash_constrained_pct
A0,30.2951,5.6564,-30.7897,0.346765,0.4916,0.1837,302950.94,76,68.42,1.304,0.5962,0.6459,0.0,33.42
A1,-20.8123,-4.736,-46.9434,-0.046932,-0.0666,-0.1009,-208123.3,83,62.65,0.805,0.6591,0.7829,0.0,49.26
A2,-22.7914,-5.236,-44.5689,-0.093606,-0.1294,-0.1175,-227914.09,94,60.64,0.793,0.6756,0.8351,3.14,54.13
