event_id,timestamp,kind,factor_id,experiment_id,detail,code_commit
EVT_000000001,2026-09-10T12:23:26,EXPRESSION_HASH_AMBIGUITY,AF_000035,,same expression_hash e2f2e19a2b7b89af as AF_000002 (bb_z); force_distinct registered for weekly_bb,
EVT_000000002,2026-09-10T12:23:26,FORCED_STATUS_TRANSITION,AF_000027,,FAIL -> INVALID (Phase 0 duplicate legacy import),
EVT_000000003,2026-09-10T12:23:26,FORCED_STATUS_TRANSITION,AF_000028,,FAIL -> INVALID (Phase 0 duplicate legacy import),
EVT_000000004,2026-09-10T12:23:26,FORCED_STATUS_TRANSITION,AF_000029,,FAIL -> INVALID (Phase 0 duplicate legacy import),
EVT_000000005,2026-09-10T12:23:26,FORCED_STATUS_TRANSITION,AF_000030,,FAIL -> INVALID (Phase 0 duplicate legacy import),
EVT_000000006,2026-09-10T12:23:26,FORCED_STATUS_TRANSITION,AF_000031,,FAIL -> INVALID (Phase 0 duplicate legacy import),
EVT_000000007,2026-09-10T12:23:26,FORCED_STATUS_TRANSITION,AF_000032,,FAIL -> INVALID (Phase 0 duplicate legacy import),
EVT_000000008,2026-09-10T12:23:26,FORCED_STATUS_TRANSITION,AF_000033,,ARCHIVED -> INVALID (Phase 0 duplicate legacy import),
EVT_000000009,2026-09-10T12:23:26,FORCED_STATUS_TRANSITION,AF_000034,,PROPOSED -> INVALID (Phase 0 duplicate legacy import),
EVT_000000010,2026-09-10T12:23:26,GRAVEYARD_DUPLICATE_REMOVED,AF_000027,,"removed duplicate graveyard record (canonical=AF_000005); row={'factor_id': 'AF_000027', 'factor_name': 'rsi_filter', 'formula': 'ts_zscore(signal_day_close,20) /* RSI 代理 */', 'failure_stage': 'validation', 'failure_reason': 'NO_INCREMENTAL_ALPHA', 'discovery_metric': None, 'validation_metric': None, 'test_metric': None, 'yearly_direction': None, 'correlation_with_existing': None, 'duplicate_of': None, 'leakage_detected': False, 'date_killed': nan, 'notes': 'LEGACY_RESEARCH; 原结论""固定止损、周线BB、RSI/MACD、Squeeze/ADX入场过滤等分支均已关闭""; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)'}",
EVT_000000011,2026-09-10T12:23:26,GRAVEYARD_DUPLICATE_REMOVED,AF_000028,,"removed duplicate graveyard record (canonical=AF_000006); row={'factor_id': 'AF_000028', 'factor_name': 'macd_filter', 'formula': 'diff(signal_day_close,signal_day_close) /* MACD 代理 */', 'failure_stage': 'validation', 'failure_reason': 'NO_INCREMENTAL_ALPHA', 'discovery_metric': None, 'validation_metric': None, 'test_metric': None, 'yearly_direction': None, 'correlation_with_existing': None, 'duplicate_of': None, 'leakage_detected': False, 'date_killed': nan, 'notes': 'LEGACY_RESEARCH; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)'}",
EVT_000000012,2026-09-10T12:23:26,GRAVEYARD_DUPLICATE_REMOVED,AF_000029,,"removed duplicate graveyard record (canonical=AF_000007); row={'factor_id': 'AF_000029', 'factor_name': 'squeeze_adx_filter', 'formula': 'interaction(bb_z,bb_z) /* Squeeze/ADX 代理 */', 'failure_stage': 'validation', 'failure_reason': 'NO_INCREMENTAL_ALPHA', 'discovery_metric': None, 'validation_metric': None, 'test_metric': None, 'yearly_direction': None, 'correlation_with_existing': None, 'duplicate_of': None, 'leakage_detected': False, 'date_killed': nan, 'notes': 'LEGACY_RESEARCH; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)'}",
EVT_000000013,2026-09-10T12:23:26,GRAVEYARD_DUPLICATE_REMOVED,AF_000030,,"removed duplicate graveyard record (canonical=AF_000008); row={'factor_id': 'AF_000030', 'factor_name': 'regime_filter', 'formula': 'sign(daily_bb_up_ratio) /* regime 代理 */', 'failure_stage': 'validation', 'failure_reason': 'REGIME_SPECIFIC', 'discovery_metric': None, 'validation_metric': None, 'test_metric': None, 'yearly_direction': None, 'correlation_with_existing': None, 'duplicate_of': None, 'leakage_detected': False, 'date_killed': nan, 'notes': 'LEGACY_RESEARCH; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)'}",
EVT_000000014,2026-09-10T12:23:26,GRAVEYARD_DUPLICATE_REMOVED,AF_000031,,"removed duplicate graveyard record (canonical=AF_000010); row={'factor_id': 'AF_000031', 'factor_name': 'bad_classifier', 'formula': 'cs_rank(drawdown_20) /* BAD 模型代理 */', 'failure_stage': 'portfolio', 'failure_reason': 'NO_INCREMENTAL_ALPHA', 'discovery_metric': None, 'validation_metric': None, 'test_metric': None, 'yearly_direction': None, 'correlation_with_existing': None, 'duplicate_of': None, 'leakage_detected': False, 'date_killed': nan, 'notes': 'LEGACY_RESEARCH; Phase 2 评级 C; source=commit cc20074 (ML-BB Phase 2, rating C)'}",
EVT_000000015,2026-09-10T12:23:26,GRAVEYARD_DUPLICATE_REMOVED,AF_000032,,"removed duplicate graveyard record (canonical=AF_000011); row={'factor_id': 'AF_000032', 'factor_name': 'addon_ranking', 'formula': 'cs_rank(bb_z) /* ADD_ON 排序代理 */', 'failure_stage': 'portfolio', 'failure_reason': 'NO_INCREMENTAL_ALPHA', 'discovery_metric': None, 'validation_metric': None, 'test_metric': None, 'yearly_direction': None, 'correlation_with_existing': None, 'duplicate_of': None, 'leakage_detected': False, 'date_killed': nan, 'notes': 'LEGACY_RESEARCH; Phase 2 评级 C; source=commit cc20074 (ML-BB Phase 2, rating C)'}",
EVT_000000016,2026-09-10T12:23:26,REMOVED_FROM_LIBRARY_NOT_APPROVED,AF_000004,,"status VALIDATING != KEEP; Phase 1 candidate only; removed_row={'factor_id': 'AF_000004', 'factor_name': 'market_breadth', 'formula': 'interaction(daily_bb_signal_count,daily_bb_up_ratio)', 'IC_mean': nan, 'RankIC_mean': nan, 'ICIR': nan, 'Q5_Q1_mean': nan, 'Q5_Q1_median': nan, 'positive_year_ratio': nan, 'turnover': nan, 'coverage': nan, 'OOS_IC': nan, 'OOS_RankIC': nan, 'bootstrap_CI': nan, 'multiple_testing_status': nan, 'incremental_alpha_status': nan, 'oos_audit': None, 'leakage': None, 'max_corr_existing': nan, 'robustness_grade': 'CANDIDATE', 'approved_date': nan, 'notes': 'LEGACY_RESEARCH candidate; 待 Alpha Factory 独立验证'}",
EVT_000000017,2026-09-10T23:18:21,SUPERSEDED_BEFORE_RUN,,AFE_20260910_0003,旧版 Phase1 '500 公式候选'指令从未执行、无任何记录生成；本事件为其留痕，不删除任何历史。,
