factor_id,factor_name,status,formula,notes
AF_000001,amount_rank_top10,ARCHIVED,turnover_rank,LEGACY_RESEARCH baseline; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)
AF_000002,bb_z,ARCHIVED,bb_z,LEGACY_RESEARCH signal definition; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)
AF_000003,distance_to_lower_band,ARCHIVED,distance_to_lower_band,LEGACY_RESEARCH signal definition
AF_000004,market_breadth,VALIDATING,"interaction(daily_bb_signal_count,daily_bb_up_ratio)","LEGACY_RESEARCH candidate; source=commit 6296cd3 (ML-BB Phase 1, rating B)"
AF_000005,rsi_filter,FAIL,"ts_zscore(signal_day_close,20) /* RSI 代理 */","LEGACY_RESEARCH; 原结论""固定止损、周线BB、RSI/MACD、Squeeze/ADX入场过滤等分支均已关闭""; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)"
AF_000006,macd_filter,FAIL,"diff(signal_day_close,signal_day_close) /* MACD 代理 */",LEGACY_RESEARCH; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)
AF_000007,squeeze_adx_filter,FAIL,"interaction(bb_z,bb_z) /* Squeeze/ADX 代理 */",LEGACY_RESEARCH; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)
AF_000008,regime_filter,FAIL,sign(daily_bb_up_ratio) /* regime 代理 */,LEGACY_RESEARCH; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)
AF_000009,atr_ranking,FAIL,atr14_pct,"LEGACY_RESEARCH; source=commit 6296cd3 (ML-BB Phase 1, rating B)"
AF_000010,bad_classifier,FAIL,cs_rank(drawdown_20) /* BAD 模型代理 */,"LEGACY_RESEARCH; Phase 2 评级 C; source=commit cc20074 (ML-BB Phase 2, rating C)"
AF_000011,addon_ranking,FAIL,cs_rank(bb_z) /* ADD_ON 排序代理 */,"LEGACY_RESEARCH; Phase 2 评级 C; source=commit cc20074 (ML-BB Phase 2, rating C)"
AF_000012,early_exit_1.5pct,ARCHIVED,sign(distance_to_lower_band) /* 退出规则，非因子 */,LEGACY_RESEARCH; 冻结 commit 31f7266b; 禁止作为因子纳入 Alpha Factory
AF_000013,monthly_bb,PROPOSED,bb_z /* 月线分支 */,LEGACY_RESEARCH; 独立分支，未冻结，禁止并入 Alpha Factory Phase 0
AF_000027,rsi_filter,FAIL,"ts_zscore(signal_day_close,20) /* RSI 代理 */","LEGACY_RESEARCH; 原结论""固定止损、周线BB、RSI/MACD、Squeeze/ADX入场过滤等分支均已关闭""; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)"
AF_000028,macd_filter,FAIL,"diff(signal_day_close,signal_day_close) /* MACD 代理 */",LEGACY_RESEARCH; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)
AF_000029,squeeze_adx_filter,FAIL,"interaction(bb_z,bb_z) /* Squeeze/ADX 代理 */",LEGACY_RESEARCH; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)
AF_000030,regime_filter,FAIL,sign(daily_bb_up_ratio) /* regime 代理 */,LEGACY_RESEARCH; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)
AF_000031,bad_classifier,FAIL,cs_rank(drawdown_20) /* BAD 模型代理 */,"LEGACY_RESEARCH; Phase 2 评级 C; source=commit cc20074 (ML-BB Phase 2, rating C)"
AF_000032,addon_ranking,FAIL,cs_rank(bb_z) /* ADD_ON 排序代理 */,"LEGACY_RESEARCH; Phase 2 评级 C; source=commit cc20074 (ML-BB Phase 2, rating C)"
AF_000033,early_exit_1.5pct,ARCHIVED,sign(distance_to_lower_band) /* 退出规则，非因子 */,LEGACY_RESEARCH; 冻结 commit 31f7266b; 禁止作为因子纳入 Alpha Factory
AF_000034,monthly_bb,PROPOSED,bb_z /* 月线分支 */,LEGACY_RESEARCH; 独立分支，未冻结，禁止并入 Alpha Factory Phase 0
