gate,n_rejected,n_rejected_winner,n_rejected_loser,saved_loss,lost_profit,net_gate_value,rej_mean,pathdep_portfolio_stockpnl_delta
G1,7723,5317,2406,142644890.90733892,150595212.21297094,-7950321.305632025,3.1026220466843455,-416800.65438185085
G4,528,340,188,14440701.998935603,10327027.929790156,4113674.0691454466,1.6471201946695508,-306614.0558794702
