year,return_pct,gate
2020,8.122530222525072,G0
2021,31.86078229645195,G0
2022,1.9288075567292617,G0
2023,-10.650345784627424,G0
2024,0.34746251081820834,G0
2020,14.254431937441048,G1_EO
2021,6.909886823145617,G1_EO
2022,-7.105285787558624,G1_EO
2023,-13.70264121043714,G1_EO
2024,-9.504298971794057,G1_EO
2020,14.254431937441048,G1_EA
2021,6.909886823145617,G1_EA
2022,-4.031031595297751,G1_EA
2023,-5.560902038471216,G1_EA
2024,-2.7504120007501576,G1_EA
2020,10.26926442349907,G2
2021,23.500811633581197,G2
2022,2.487705780106131,G2
2023,-12.304413383931745,G2
2024,-1.5533656631145143,G2
2020,8.122530222525072,G4_EO
2021,10.206404737746455,G4_EO
2022,-1.4987861957575732,G4_EO
2023,-10.466182703733706,G4_EO
2024,-5.189925271487283,G4_EO
2020,8.122530222525072,G4_EA
2021,10.206404737746455,G4_EA
2022,1.9896204745951884,G4_EA
2023,-17.192265969086172,G4_EA
2024,-6.909341090670651,G4_EA
