ts_code,name,industry,list_date,signal_date,pm,entry_role,episode_id,listing_age_months,month_open,month_high,month_low,month_close,month_n_days,bb_mid,bb_upper,bb_lower,bb_width,bb_z,amount_sum,ret_ec_1m,ret_ec_3m,ret_ec_6m,ret_ec_12m,mfe_1m,mfe_3m,mfe_6m,mfe_12m,mae_1m,mae_3m,mae_6m,mae_12m,idx_ret_1m,idx_ret_3m,idx_ret_6m,idx_ret_12m,excess_cc_1m,excess_cc_3m,excess_cc_6m,excess_cc_12m,censored_1m,censored_3m,censored_6m,censored_12m
603979.SH,金诚信,铜,2015-06-30,2017-11-30,2017-11,REPEAT_SIGNAL,603979.SH_2017-11,29.040735873850196,18.6202,19.8919,16.422200000000004,16.9089,22,21.749423999999998,25.382150598027565,18.11669740197243,0.33405267174225556,-2.664953648110056,1003248.4599999998,-0.05535055350553486,-0.10239852398523974,-0.04612546125461259,-0.2781882388887583,0.010213556174559102,0.1847725162488394,0.3203342618384404,0.5394543701837495,-0.07242339832869071,-0.07242339832869071,-0.07242339832869071,-0.07242339832869071,0.006179477378406517,0.004378872985000726,-0.05085330760523077,-0.20803510786664725,-0.05539024803764492,-0.10094340408992164,0.010927588013773026,-0.06546168967784116,0,0,0,0
603998.SH,方盛制药,中成药,2014-12-05,2017-11-30,2017-11,NEW_EPISODE,603998.SH_2017-11,35.84099868593955,54.57381,54.57381,44.51557,44.672729999999994,22,59.151049,73.29317248335418,45.00892551664582,0.47816982868230057,-2.0475452667403924,408717.478,-0.013227513227513255,-0.16843033509700178,-0.3430804181631363,-0.5903082177791603,0.08883025505716802,0.38522427440633256,0.38522427440633256,0.6952744996779916,-0.028144239226033263,-0.028144239226033263,-0.028144239226033263,-0.028144239226033263,0.006179477378406517,0.004378872985000726,-0.05085330760523077,-0.20803510786664725,-0.022010611943050318,-0.1750033232928283,-0.293960407607607,-0.3833540908682408,0,0,0,0
000156.SZ,华数传媒,影视音像,2000-09-06,2017-12-25,2017-12,NEW_EPISODE,000156.SZ_2017-12,207.58869908015768,13.014399999999998,13.239799999999999,11.0936,11.172,17,16.0800245,20.544131784791198,11.615917215208803,0.5552363785006916,-2.1988828614048717,972495.4899999999,-0.060428849902534054,-0.17821140151967207,-0.10931296495206277,0.1782631181127423,-0.09999999999999998,0.25,0.3385964912280699,0.5722690655209453,-0.18157894736842117,-0.18157894736842117,-0.18157894736842117,-0.18157894736842117,0.06079199228927856,-0.032836012033080064,-0.12897273975304835,-0.2530979966557466,-0.2151779572015593,-0.22755424933462487,-0.06940892870380821,0.3135348029572146,0,0,0,0
000926.SZ,福星股份,区域地产,1999-06-18,2017-12-25,2017-12,NEW_EPISODE,000926.SZ_2017-12,222.24047306176084,40.9672,41.5248,35.7192,35.7192,17,39.487055999999995,42.93824589814619,36.0358661018538,0.17480107395933478,-2.1835112591305936,2302538.666,0.013355592654424209,-0.20033388981636058,-0.3853778146504335,-0.4768445376440409,0.15518824609733706,0.18089990817263546,0.21671258034894403,0.21671258034894403,0.0569329660238751,0.0,0.0,0.0,0.06079199228927856,-0.032836012033080064,-0.12897273975304835,-0.2530979966557466,0.05399221340401805,-0.08745783553349484,-0.1948864172269511,-0.17138295476533782,0,0,0,0
000014.SZ,沙河股份,全国地产,1992-06-02,2017-12-29,2017-12,REPEAT_SIGNAL,000014.SZ_2017-12,306.8659658344284,67.15872999999999,68.55675,55.9208,57.964059999999996,21,96.46024899999999,127.04653851835417,65.87395948164581,0.6341739698049956,-2.5172186365985487,625666.5739999999,0.12708719851577,0.1410018552875698,0.42313581898852504,-0.13757783702521875,0.39053803339517645,0.5435992578849722,0.7337662337662341,0.9655075921182885,-0.002782931354359919,-0.03525046382189234,-0.03525046382189234,-0.03525046382189234,0.06079199228927856,-0.032836012033080064,-0.12897273975304835,-0.2530979966557466,0.06629520622649143,0.17383786732064987,0.5521085587415734,0.11552015963052786,0,0,0,0
000020.SZ,深华发A,元器件,1992-04-28,2017-12-29,2017-12,REPEAT_SIGNAL,000020.SZ_2017-12,308.01576872536134,26.77056,29.18832,23.3016,24.7908,21,36.54672,46.3544483181055,26.738991681894504,0.5367227657149806,-2.397276845097361,775460.984,-0.12552891396332855,0.06205923836389271,-0.0028208744710860323,-0.26234132581100145,0.11378091872791507,0.6162544169611308,0.6162544169611308,0.901060070671378,-0.12579505300353366,-0.12579505300353366,-0.12579505300353366,-0.12579505300353366,0.06079199228927856,-0.032836012033080064,-0.12897273975304835,-0.2530979966557466,-0.18446690395005594,0.09714696609668427,0.12826602597212955,-0.007679388503263995,0,0,0,0
000151.SZ,中成股份,商贸代理,2000-09-06,2017-12-29,2017-12,REPEAT_SIGNAL,000151.SZ_2017-12,207.72010512483573,34.92684,35.722440000000006,31.638360000000002,32.64612,21,46.8650775,58.4514734633699,35.278681536630096,0.49445756121367357,-2.454422849858208,639584.548,-0.007293354943273989,0.440032414910859,-0.014829638375734477,-0.15296855558081612,0.09666937449228263,0.32737611697806646,0.5337124289195776,1.0754408180819035,-0.01543460601137292,-0.03086921202274573,-0.03086921202274573,-0.03086921202274573,0.06079199228927856,-0.032836012033080064,-0.12897273975304835,-0.2530979966557466,-0.06566607839813321,0.47637784793884774,0.11654400396453801,0.10219369317343374,0,0,0,0
000400.SZ,许继电气,电气设备,1997-04-18,2017-12-29,2017-12,NEW_EPISODE,000400.SZ_2017-12,248.3574244415243,107.6076,109.35054,96.84684,99.95382,21,123.23331800000001,145.89366653957023,100.5729694604298,0.36776334366928615,-2.05464606683773,1563186.03,-0.09379727685325268,-0.14296520423600612,-0.4078251838968525,-0.325936733014471,0.02805155420773331,0.199393479909022,0.398786959818044,0.4847209441320004,-0.09780136467020462,-0.09780136467020462,-0.09780136467020462,-0.09780136467020462,0.06079199228927856,-0.032836012033080064,-0.12897273975304835,-0.2530979966557466,-0.15252815604970305,-0.10817990911930808,-0.27750557193128744,-0.07130561293116056,0,0,0,0
000521.SZ,长虹美菱,家用电器,1993-10-18,2017-12-29,2017-12,REPEAT_SIGNAL,000521.SZ_2017-12,290.3416557161629,25.70007,26.09775,24.855,25.20297,21,31.167594,37.10173066855343,25.233457331446573,0.3807888840282909,-2.0102752373763595,349918.1289999999,-0.07297830374753445,-0.1420118343195268,-0.24260355029585812,-0.40689529845093664,0.05128205128205132,0.18934911242603558,0.22879684418145962,0.5187733826608529,-0.0808678500986193,-0.0808678500986193,-0.0808678500986193,-0.0808678500986193,0.06079199228927856,-0.032836012033080064,-0.12897273975304835,-0.2530979966557466,-0.133770296036813,-0.10917582228644673,-0.11363081054280977,-0.15379730179519002,0,0,0,0
000523.SZ,红棉股份,食品,1993-11-08,2017-12-29,2017-12,REPEAT_SIGNAL,000523.SZ_2017-12,289.6517739816031,46.16054999999999,48.421699999999994,43.1273,43.678799999999995,21,57.9199895,71.4069585627962,44.433020437203794,0.46571034211931983,-2.1118443193117886,275368.62500000006,-0.010062893081760893,-0.028930817610062887,-0.30324729012356233,-0.27143901423789896,0.08207070707070718,0.2032828282828283,0.31429251719369566,0.6066375449874994,-0.007575757575757458,-0.012626262626262541,-0.012626262626262541,-0.012626262626262541,0.06079199228927856,-0.032836012033080064,-0.12897273975304835,-0.2530979966557466,-0.06710512360240972,0.00758348678055476,-0.17163533556037602,-0.015581316878507945,0,0,0,0
