horizon,n_months,obs_mean,ci_low,ci_high,sd_month
1M,147,0.027204817308972704,0.005836080278890903,0.04176784918867023,0.009265640176655862
3M,147,0.07203805423907417,0.024185302932911844,0.10811496133719817,0.02181535649830615
6M,145,0.11489112524943479,0.04130746281564817,0.19154345700716024,0.0386768510376732
12M,145,0.2410066424883012,0.1449441519313362,0.31563631012789833,0.047524671638950515
