ts_code,pm,n_days,recomputed_month_open,recomputed_high,recomputed_low,recomputed_close,recomputed_bb_lower,recomputed_bb_z,table_close_adj,table_bb_lower,close_match,lower_match,signal_match,sample_type
600905.SH,2023-12,21,4.721,4.751,4.383,4.475,4.485,-2.018,4.475,4.485,True,True,True,random
600680.SH,2008-10,20,21.762,21.762,15.901,17.386,19.991,-2.234,17.386,19.991,True,True,True,random
600860.SH,2024-06,19,14.966,15.231,12.806,13.404,13.429,-2.007,13.404,13.429,True,True,True,random
002317.SZ,2018-08,23,104.598,105.309,95.045,100.938,102.081,-2.148,100.938,102.081,True,True,True,random
000952.SZ,2012-01,15,14.387,14.72,12.825,13.949,14.476,-2.14,13.949,14.476,True,True,True,random
002034.SZ,2018-08,23,65.974,67.14,51.351,52.712,58.52,-2.348,52.712,58.52,True,True,True,random
301082.SZ,2024-01,22,18.915,19.738,13.343,13.477,14.421,-2.557,13.477,14.421,True,True,True,random
300278.SZ,2018-04,18,44.627,45.317,32.05,32.618,41.747,-2.591,32.618,41.747,True,True,True,random
600561.SH,2024-06,19,11.866,11.894,9.66,10.163,10.814,-2.311,10.163,10.814,True,True,True,random
002347.SZ,2011-11,22,18.118,20.095,16.834,16.966,17.014,-2.019,16.966,17.014,True,True,True,random
601700.SH,2018-06,20,23.02,23.248,18.291,19.715,21.536,-2.223,19.715,21.536,True,True,True,random
000590.SZ,2020-12,23,46.354,48.545,39.303,40.399,40.934,-2.112,40.399,40.934,True,True,True,random
002766.SZ,2024-01,22,10.967,11.148,8.387,8.407,8.553,-2.117,8.407,8.553,True,True,True,random
600385.SH,2011-12,22,13.867,13.915,8.543,8.954,11.172,-3.468,8.954,11.172,True,True,True,random
300273.SZ,2022-04,17,28.914,29.611,8.941,8.999,17.483,-3.188,8.999,17.483,True,True,True,random
603377.SH,2018-07,22,19.112,22.044,18.58,19.931,23.517,-2.601,19.931,23.517,True,True,True,random
000976.SZ,2018-08,23,19.834,19.944,16.236,16.382,19.425,-2.575,16.382,19.425,True,True,True,random
600482.SH,2011-12,21,30.778,31.058,20.425,22.188,25.684,-2.48,22.188,25.684,True,True,True,random
300349.SZ,2021-02,15,63.671,70.966,63.204,66.122,66.15,-2.003,66.122,66.15,True,True,True,random
002613.SZ,2024-01,22,17.936,18.746,13.59,13.701,13.867,-2.084,13.701,13.867,True,True,True,random
000681.SZ,2008-10,20,13.276,13.928,9.87,9.87,11.663,-2.2,9.87,11.663,True,True,True,best20
002052.SZ,2024-06,19,7.023,7.091,5.454,7.091,8.046,-2.376,7.091,8.046,True,True,True,best20
000506.SZ,2024-06,19,4.71,4.71,2.843,2.901,5.118,-2.751,2.901,5.118,True,True,True,best20
603032.SH,2021-01,20,17.436,17.787,9.365,9.62,12.579,-2.568,9.62,12.579,True,True,True,best20
600139.SH,2008-10,19,15.456,15.956,9.643,10.005,10.709,-2.104,10.005,10.709,True,True,True,best20
002052.SZ,2024-05,20,12.681,13.295,7.363,7.363,9.182,-2.824,7.363,9.182,True,True,True,best20
002019.SZ,2006-04,20,15.812,17.64,12.744,13.449,13.508,-2.017,13.449,13.508,True,True,True,best20
002612.SZ,2020-04,21,19.118,20.518,16.604,16.936,17.318,-2.227,16.936,17.318,True,True,True,best20
000078.SZ,2008-10,20,25.108,25.108,19.153,19.314,19.403,-2.006,19.314,19.403,True,True,True,best20
000908.SZ,2024-06,19,4.839,4.839,2.264,2.264,3.768,-2.75,2.264,3.768,True,True,True,best20
600562.SH,2008-10,20,6.791,6.791,5.038,5.111,5.567,-2.126,5.111,5.567,True,True,True,best20
000506.SZ,2024-07,23,2.815,4.193,2.556,3.935,4.018,-2.025,3.935,4.018,True,True,True,best20
603083.SH,2022-04,19,29.548,29.726,19.424,20.403,20.456,-2.01,20.403,20.456,True,True,True,best20
601919.SH,2020-05,18,3.703,3.776,3.275,3.296,3.397,-2.154,3.296,3.397,True,True,True,best20
600623.SH,2008-10,20,115.718,116.232,74.574,75.859,92.244,-2.235,75.859,92.244,True,True,True,best20
000681.SZ,2008-09,18,20.691,21.092,12.525,13.677,14.868,-2.153,13.677,14.868,True,True,True,best20
600892.SH,2008-10,20,6.18,6.56,4.0,4.01,4.22,-2.037,4.01,4.22,True,True,True,best20
300641.SZ,2024-01,22,10.107,10.429,7.831,7.867,8.141,-2.345,7.867,8.141,True,True,True,best20
300641.SZ,2024-02,15,7.795,8.118,5.071,7.222,7.861,-2.781,7.222,7.861,True,True,True,best20
002096.SZ,2008-10,20,11.55,11.843,8.018,8.728,9.855,-2.167,8.728,9.855,True,True,True,best20
603133.SH,2023-05,20,7.906,8.351,6.673,7.148,7.315,-2.106,7.148,7.315,True,True,True,worst20
300392.SZ,2022-06,21,18.12,19.445,15.953,16.134,18.428,-2.187,16.134,18.428,True,True,True,worst20
300392.SZ,2022-05,19,19.625,21.371,14.568,18.06,21.814,-2.316,18.06,21.814,True,True,True,worst20
688555.SH,2022-05,19,14.152,15.049,12.036,13.457,13.499,-2.005,13.457,13.499,True,True,True,worst20
002477.SZ,2018-09,11,60.494,60.494,38.422,42.305,56.264,-2.956,42.305,56.264,True,True,True,worst20
000622.SZ,2024-06,19,3.156,4.646,2.576,4.318,4.526,-2.079,4.318,4.526,True,True,True,worst20
600836.SH,2023-06,20,72.345,76.713,62.108,65.93,66.177,-2.029,65.93,66.177,True,True,True,worst20
002087.SZ,2023-05,19,5.179,5.179,3.618,3.855,5.247,-3.258,3.855,5.247,True,True,True,worst20
600401.SH,2017-05,19,37.736,37.736,27.736,28.113,33.291,-2.847,28.113,33.291,True,True,True,worst20
002336.SZ,2024-05,20,5.831,5.986,3.939,4.01,4.437,-2.087,4.01,4.437,True,True,True,worst20
600804.SH,2024-05,20,18.453,19.097,10.395,10.395,15.175,-2.599,10.395,15.175,True,True,True,worst20
