N,censored,mean,median,std,variance,P5,P10,P25,P50,P75,P90,P95,positive_rate,ge5,ge10,ge20,lt_m10,lt_m20,lt_m30,max,min,universe,role,horizon,dev
7087.0,,0.02687996037317767,0.025839793281653645,0.14577355214625823,0.02124992850533787,-0.1864925697401582,-0.12363128544334248,-0.039587656104966895,0.025839793281653645,0.09509618941916398,0.17520456905503642,0.23555845965302702,0.6105545364752364,0.3974883589671229,0.23761817412163116,0.07718357556088613,0.1288274305065613,0.044870890362635814,0.018343445745731622,2.0723905723905722,-0.8190883267279121,ALL_A,NEW_EPISODE,CC1M,True
7087.0,,0.030108528539545935,0.026501766784452263,0.14165115380916782,0.020065049375468522,-0.17696457567330484,-0.11944515392766901,-0.036730678330001765,0.026501766784452263,0.09544473310993151,0.1799646017699115,0.241082159087194,0.6123888810498095,0.399746013828136,0.2380414844080711,0.08042895442359249,0.12332439678284182,0.039508960067729644,0.013828136023705376,2.080168776371308,-0.7380952380952381,ALL_A,NEW_EPISODE,EC1M,True
7016.0,,0.07422309622195125,0.038219701007847995,0.2615885216497144,0.06842855465888312,-0.24568593615185508,-0.17548363558703678,-0.07272383743703892,0.038219701007847995,0.18056013504427348,0.3586899002928513,0.4863839166419599,0.5916476624857469,0.47277651083238315,0.36815849486887114,0.22619726339794755,0.1999714937286203,0.07967502850627138,0.028363740022805017,3.5330296127562644,-0.9542168674698795,ALL_A,NEW_EPISODE,CC3M,True
7016.0,,0.07596941198538243,0.03955989675986893,0.2612700379647369,0.06826203273809507,-0.23923105318454146,-0.1731469354230027,-0.07089154178308357,0.03955989675986893,0.18174217087260558,0.36084401709401726,0.4855129907739471,0.5947833523375142,0.47605473204104903,0.37143671607753703,0.22719498289623719,0.19783352337514254,0.07554161915621437,0.025370581527936146,3.5747126436781604,-0.9518377693282636,ALL_A,NEW_EPISODE,EC3M,True
6995.0,,0.11584570982861626,0.04160004737371947,0.4050961617677901,0.16410290027899557,-0.3226705796038151,-0.24802721088435373,-0.11854213128053859,0.04160004737371947,0.23897774798216354,0.5314760508308902,0.8480634000900088,0.5698355968548964,0.48720514653323804,0.4098641887062187,0.2894924946390279,0.27505360972122944,0.14481772694781986,0.062473195139385276,5.288245149284087,-0.9656771799628943,ALL_A,NEW_EPISODE,CC6M,True
6995.0,,0.11780041810107589,0.04252352736144993,0.407500255081721,0.16605645789166767,-0.3189909050670869,-0.2464410512972076,-0.11631947097674411,0.04252352736144993,0.23831587052479342,0.5325723927916041,0.8529824561403501,0.569120800571837,0.4886347390993567,0.41143674052894924,0.2882058613295211,0.27390993566833455,0.13995711222301643,0.059899928520371695,5.4342105263157885,-0.9653558052434457,ALL_A,NEW_EPISODE,EC6M,True
6961.0,,0.2510415415885195,0.12142857142857144,0.623161951600408,0.3883308179224292,-0.3796680497925311,-0.28175026680896464,-0.08605611923799772,0.12142857142857144,0.41042137371392107,0.8775510204081627,1.3698385317108799,0.6537853756644161,0.5930182445050999,0.5265048125269358,0.4092802758224393,0.23875879902312885,0.15414451946559402,0.08921132021261313,8.173584905660377,-0.9161048689138577,ALL_A,NEW_EPISODE,CC12M,True
6961.0,,0.25356785421389116,0.12200956937799057,0.6280592906949738,0.3944584726282736,-0.376043557168784,-0.2807424593967517,-0.08576696165191733,0.12200956937799057,0.41666666666666674,0.8833038139458607,1.3720930232558142,0.6565148685533687,0.5950294497916966,0.5289469903749461,0.4105731935066801,0.2363166211751185,0.15328257434276685,0.08806206004884355,8.243346007604563,-0.9157894736842105,ALL_A,NEW_EPISODE,EC12M,True
1264.0,,0.024754011057787323,0.04291924550545234,0.15426884962935106,0.023798877965963326,-0.17404781310419695,-0.14190179973002884,-0.0734835497519696,0.04291924550545234,0.10597674362935128,0.16886915005457376,0.23326296296296206,0.6234177215189873,0.47151898734177217,0.2689873417721519,0.07041139240506329,0.19778481012658228,0.03164556962025317,0.015031645569620253,1.6475539189900053,-0.9458483754512635,ALL_A,NEW_EPISODE,CC1M,False
1264.0,,0.02591483722934564,0.0415788777299646,0.1438930228032134,0.020705202011446093,-0.16905163327991218,-0.14046675992048882,-0.07344353157096567,0.0415788777299646,0.10460238898114294,0.16654057187893156,0.22363320945442536,0.6194620253164557,0.46677215189873417,0.2634493670886076,0.06882911392405064,0.19778481012658228,0.03164556962025317,0.00949367088607595,1.20648838228847,-0.8532110091743119,ALL_A,NEW_EPISODE,EC1M,False
1093.0,,0.07623794828720039,0.07872928176795568,0.18054956563262264,0.03259814565012872,-0.1849496628209119,-0.1207810816634346,-0.02034664657121321,0.07872928176795568,0.16073638411730773,0.2575363649005701,0.3327111728785933,0.7035681610247027,0.5864592863677951,0.4254345837145471,0.16651418115279049,0.12351326623970722,0.04483074107959744,0.012808783165599268,1.675585284280936,-0.8758389261744967,ALL_A,NEW_EPISODE,CC3M,False
1093.0,,0.07644519794416961,0.07857142857142851,0.18031173588181243,0.03251232209671248,-0.18413405260744797,-0.11892980071036038,-0.0204334641723235,0.07857142857142851,0.1602373887240356,0.25746246246246257,0.3337462537462534,0.7063129002744739,0.5882891125343093,0.42451967063129004,0.16834400731930466,0.12351326623970722,0.04391582799634035,0.012808783165599268,1.6845637583892619,-0.8774834437086093,ALL_A,NEW_EPISODE,EC3M,False
75.0,,0.04544458002570276,-0.046341463414633965,0.3921066021829369,0.15374758747544795,-0.4961247738823326,-0.33132404181184666,-0.160926294665848,-0.046341463414633965,0.20022781425723246,0.5054374401546918,0.6757265455174221,0.4533333333333333,0.41333333333333333,0.36,0.25333333333333335,0.38666666666666666,0.2,0.12,1.2202797202797204,-0.8451178451178452,ALL_A,NEW_EPISODE,CC6M,False
75.0,,0.04492928646875501,-0.019867549668874274,0.3970092601669911,0.15761635265834162,-0.4984877822406426,-0.33346429843476916,-0.16127657659220218,-0.019867549668874274,0.20078387788645846,0.5278265299236871,0.6755268741159819,0.44,0.41333333333333333,0.3333333333333333,0.25333333333333335,0.4,0.2,0.12,1.2202797202797204,-0.8451178451178452,ALL_A,NEW_EPISODE,EC6M,False
29.0,,0.5981681510807827,0.3264652014652014,0.7619173196345151,0.5805180019590439,-0.14666476034987247,-0.062331605223324316,0.21086261980830678,0.3264652014652014,0.9031343262958753,1.3851110045476194,2.1433068270447837,0.8275862068965517,0.7931034482758621,0.7931034482758621,0.7586206896551724,0.06896551724137931,0.034482758620689655,0.034482758620689655,2.8497417966648735,-0.628175519630485,ALL_A,NEW_EPISODE,CC12M,False
29.0,,0.6080484243077461,0.3795238095238094,0.755847419786403,0.571305321997763,-0.154647444295983,-0.07216003490333284,0.23296722714589801,0.3795238095238094,0.8804238928078576,1.360766239430869,2.1204992954736275,0.8275862068965517,0.7931034482758621,0.7931034482758621,0.7586206896551724,0.06896551724137931,0.034482758620689655,0.034482758620689655,2.8497417966648735,-0.629601226993865,ALL_A,NEW_EPISODE,EC12M,False
3964.0,,0.023945981193709377,0.020613625294462534,0.15644627956823634,0.024475438390742767,-0.20477359961920583,-0.15121174872226176,-0.05960681464423559,0.020613625294462534,0.09974891967137528,0.19721014261047534,0.27631719854358533,0.5665993945509586,0.3975782038345106,0.24924318869828457,0.09813319878910191,0.17280524722502522,0.052976791120080725,0.015893037336024218,2.0,-0.8272727272727273,ALL_A,REPEAT_SIGNAL,CC1M,True
3964.0,,0.024931607364545947,0.019143420877524853,0.15370262320031639,0.023624496378658436,-0.20000000000000004,-0.14792777835425966,-0.06115965841831242,0.019143420877524853,0.09999999999999992,0.19992217898832687,0.27461968636345846,0.565590312815338,0.39455095862764883,0.25,0.0991422805247225,0.17129162462159436,0.05020181634712412,0.013874873864783047,2.0,-0.7840909090909091,ALL_A,REPEAT_SIGNAL,EC1M,True
3914.0,,0.05558931357270771,0.01632897893894958,0.28055030044254076,0.0787084710783999,-0.29186381816317203,-0.2189346632358012,-0.11107757827195192,0.01632897893894958,0.16912792234769802,0.379510406611709,0.5218866674695893,0.5286152273888605,0.4348492590700051,0.3513030148185999,0.21768012263668882,0.27184466019417475,0.11650485436893204,0.04522227899846704,5.151364764267989,-0.8882175226586102,ALL_A,REPEAT_SIGNAL,CC3M,True
3914.0,,0.05564094178070481,0.014494466107369375,0.28062951177386586,0.07875292287843831,-0.290207967042438,-0.21795590720540797,-0.1105370711489754,0.014494466107369375,0.1690886017373991,0.38010401156643153,0.5222516922676387,0.5265712825753704,0.4292284108329075,0.3479816044966786,0.21844660194174756,0.2705671946857435,0.1172713336739908,0.04522227899846704,5.182044887780549,-0.8758389261744967,ALL_A,REPEAT_SIGNAL,EC3M,True
3896.0,,0.1192727188199277,0.03408285147200418,0.44607571425891396,0.19898354285160028,-0.3422924324252598,-0.26632327947530354,-0.1361114474192337,0.03408285147200418,0.25119931815414587,0.5537864839726369,0.907217782217782,0.5474845995893224,0.4753593429158111,0.4047741273100616,0.29209445585215604,0.3085215605749487,0.16427104722792607,0.07546201232032854,5.741116751269035,-0.7821782178217822,ALL_A,REPEAT_SIGNAL,CC6M,True
3896.0,,0.11958756134754402,0.034422498697661674,0.44759528630433265,0.20034154032185753,-0.3411777540023748,-0.2650527688365099,-0.13681372549019605,0.034422498697661674,0.24974638775935726,0.5548767896475769,0.907945054945055,0.5441478439425051,0.4740759753593429,0.40503080082135523,0.2915811088295688,0.3092915811088296,0.1658110882956879,0.07546201232032854,5.81025641025641,-0.8018018018018018,ALL_A,REPEAT_SIGNAL,EC6M,True
3859.0,,0.2554294698778269,0.11763450301862988,0.6822685671986644,0.4654903977873183,-0.4104109907397222,-0.2974566823711744,-0.1094948335218423,0.11763450301862988,0.4280687676657361,0.9171067726274036,1.392214912280701,0.6356569059341799,0.576055973050013,0.5213785954910599,0.41927960611557397,0.2614667012179321,0.1681782845296709,0.09873024099507645,11.258883248730964,-0.958981612446959,ALL_A,REPEAT_SIGNAL,CC12M,True
3859.0,,0.25564030382997327,0.1183875392821907,0.6851876701179592,0.46948214328167726,-0.41386515543369645,-0.29737638167644603,-0.10695413196651343,0.1183875392821907,0.4251494021673393,0.9126180836707166,1.3906076392421802,0.6366934438973827,0.573205493651205,0.5198237885462555,0.4197978750971754,0.25861622181912414,0.1681782845296709,0.09795283752267427,11.384615384615385,-0.9587482219061166,ALL_A,REPEAT_SIGNAL,EC12M,True
700.0,,0.060072817712419804,0.06682920160408301,0.14730500930056564,0.02169876576503973,-0.13650133797434963,-0.0852696728558797,0.0018243071446733539,0.06682920160408301,0.11455163679529184,0.1649952766486496,0.24035838402610113,0.7542857142857143,0.5714285714285714,0.32571428571428573,0.06571428571428571,0.08428571428571428,0.02142857142857143,0.014285714285714285,1.1693693693693694,-0.9204771371769384,ALL_A,REPEAT_SIGNAL,CC1M,False
