ts_code,trade_date,name,market,close,pre_close,rank
300750.SZ,2020-03-16,宁德时代,创业板,119.06,132.1,4.0
688981.SH,2020-09-07,中芯国际,科创板,58.8,66.28,3.0
300136.SZ,2020-10-12,信维通信,创业板,51.53,58.02,8.0
300122.SZ,2020-11-17,智飞生物,创业板,119.65,135.0,6.0
300014.SZ,2021-03-23,亿纬锂能,创业板,69.63,82.75,2.0
300760.SZ,2021-08-20,迈瑞医疗,创业板,278.09,335.27,6.0
300274.SZ,2022-01-27,阳光电源,创业板,111.0,129.45,5.0
300059.SZ,2022-02-14,东方财富,创业板,27.49,31.73,1.0
300122.SZ,2022-04-14,智飞生物,创业板,116.0,135.18,4.0
300274.SZ,2022-04-21,阳光电源,创业板,64.48,72.08,5.0
002459.SZ,2022-08-19,晶澳科技,主板,69.07,76.65,8.0
688599.SH,2022-08-19,天合光能,科创板,72.19,85.0,7.0
002271.SZ,2022-08-23,东方雨虹,主板,31.74,35.25,10.0
300274.SZ,2022-08-31,阳光电源,创业板,111.4,127.28,5.0
300059.SZ,2022-09-16,东方财富,创业板,19.94,22.35,1.0
000651.SZ,2023-05-04,格力电器,主板,35.42,39.34,4.0
688981.SH,2023-05-09,中芯国际,科创板,52.78,59.43,6.0
300418.SZ,2023-06-26,昆仑万维,创业板,43.91,50.34,4.0
300308.SZ,2023-07-20,中际旭创,创业板,130.0,149.0,1.0
000063.SZ,2023-08-07,中兴通讯,主板,36.75,40.82,1.0
300308.SZ,2023-08-25,中际旭创,创业板,106.95,121.0,1.0
000628.SZ,2023-12-14,高新发展,主板,52.57,58.39,10.0
300033.SZ,2024-01-16,同花顺,创业板,129.97,143.97,4.0
301236.SZ,2024-01-22,软通动力,创业板,36.2,41.15,10.0
300418.SZ,2024-01-31,昆仑万维,创业板,29.66,33.92,4.0
688256.SH,2024-09-05,寒武纪,科创板,206.9,239.14,4.0
688256.SH,2025-01-16,寒武纪,科创板,594.0,695.96,1.0
300308.SZ,2025-02-05,中际旭创,创业板,98.25,114.82,3.0
300502.SZ,2025-02-28,新易盛,创业板,96.04,106.37,9.0
300846.SZ,2025-03-25,首都在线,创业板,24.07,29.92,10.0
601899.SH,2025-04-07,紫金矿业,主板,15.41,17.11,7.0
300750.SZ,2025-04-07,宁德时代,创业板,215.22,243.08,2.0
300059.SZ,2025-04-07,东方财富,创业板,19.33,22.45,1.0
603259.SH,2025-04-08,药明康德,主板,51.61,57.17,6.0
300274.SZ,2026-04-01,阳光电源,创业板,134.45,150.76,1.0
300274.SZ,2026-07-01,阳光电源,创业板,136.92,159.02,7.0
688525.SH,2026-07-15,佰维存储,科创板,304.4,358.37,8.0
688008.SH,2026-07-16,澜起科技,科创板,211.13,252.68,4.0
688008.SH,2026-07-17,澜起科技,科创板,183.6,211.13,7.0
300308.SZ,2026-07-17,中际旭创,创业板,979.46,1113.0,1.0
600584.SH,2026-07-20,长电科技,主板,76.99,85.49,8.0
300502.SZ,2026-07-28,新易盛,创业板,406.9,491.0,2.0
300308.SZ,2026-07-28,中际旭创,创业板,908.0,1076.94,1.0
300502.SZ,2026-07-30,新易盛,创业板,371.1,421.2,2.0
