TPR,safe_grid_fpr_ci_lower_gt0,safe_fpr_list
0.25,0.05,"[0.0, 0.05]"
0.5,0.1,"[0.0, 0.05, 0.1]"
0.75,0.3,"[0.0, 0.05, 0.1, 0.2, 0.3]"
1.0,0.3,"[0.0, 0.05, 0.1, 0.2, 0.3]"
