TPR,FPR,mc_expected_delta,analytic_expected_delta,absolute_difference
0.25,0.0,0.36001550845177566,0.36214508838442594,0.002129579932650283
0.25,0.05,0.22090938904296908,0.22798200009769573,0.007072611054726646
0.25,0.1,0.09446218992817601,0.09381891181096552,0.0006432781172104884
0.25,0.2,-0.168324402509818,-0.1745072647624949,0.006182862252676891
0.25,0.3,-0.444912315501191,-0.44283344133595526,0.0020788741652357223
0.25,0.5,-0.9773624955902473,-0.9794857944828761,0.0021232988926287444
0.25,1.0,-2.3201657663671713,-2.321116677350178,0.0009509109830068141
0.5,0.0,0.7265214168272403,0.7242901767688519,0.002231240058388373
0.5,0.05,0.5868501462931424,0.5901270884821217,0.003276942188979337
0.5,0.1,0.4601864104773926,0.45596400019539146,0.004222410282001154
0.5,0.2,0.19147505930304226,0.18763782362193104,0.0038372356811112174
0.5,0.3,-0.08038911561832135,-0.08068835295152932,0.00029923733320796897
0.5,0.5,-0.6137530128540143,-0.6173407060984502,0.0035876932444358633
0.5,1.0,-1.9561478227902658,-1.9589715889657522,0.0028237661754864085
0.75,0.0,1.085617609548593,1.0864352651532778,0.0008176556046848305
0.75,0.05,0.9544875501886405,0.9522721768665476,0.002215373322092873
0.75,0.1,0.8185861572758951,0.8181090885798175,0.0004770686960776649
0.75,0.2,0.5526243314695038,0.549782912006357,0.002841419463146866
0.75,0.3,0.2843649523487741,0.2814567354328966,0.002908216915877504
0.75,0.5,-0.25027754885337483,-0.2551956177140242,0.004918068860649383
0.75,1.0,-1.5954018519092314,-1.5968265005813262,0.001424648672094797
1.0,0.0,1.448580353537704,1.4485803535377038,2.220446049250313e-16
1.0,0.05,1.3149791401831512,1.3144172652509736,0.0005618749321776306
1.0,0.1,1.1807164290278513,1.1802541769642434,0.00046225206360794857
1.0,0.2,0.9110982055082244,0.9119280003907829,0.0008297948825585211
1.0,0.3,0.6418584630459712,0.6436018238173226,0.0017433607713513988
1.0,0.5,0.1088115774545843,0.10694947067040173,0.0018621067841825684
1.0,1.0,-1.2346814121969,-1.2346814121969003,2.220446049250313e-16
