available_future_days,signal_count,expected_missing_rows,actual_missing_rows,parity
1,51,969,969,True
2,25,450,450,True
3,74,1258,1258,True
4,943,15088,15088,True
5,119,1785,1785,True
6,1046,14644,14644,True
7,59,767,767,True
8,130,1560,1560,True
9,70,770,770,True
10,413,4130,4130,True
11,96,864,864,True
12,40,320,320,True
13,52,364,364,True
14,4,24,24,True
15,3,15,15,True
16,2,8,8,True
17,1,3,3,True
18,4,8,8,True
19,4,4,4,True
20,154333,0,0,True
