horizon_day,variable,bucket,count,pct
3,low_ret,-5~-3%,23982,15.23701816472143
3,low_ret,-3~-2%,17179,10.914716664654717
3,low_ret,-2~-1%,18623,11.832165344075023
3,low_ret,-1~0%,18944,12.036113423087432
3,low_ret,0~+1%,15562,9.887352042339876
3,low_ret,+1~+2%,11316,7.189646299390697
3,low_ret,+2~+3%,7923,5.033896043661408
3,low_ret,+3~+5%,8462,5.376350917766356
3,low_ret,+5~+8%,4491,2.853367049360518
3,low_ret,+8~+10%,1152,0.7319258162688302
3,low_ret,+10~+15%,1103,0.7007935549865624
3,low_ret,+15~+20%,294,0.18679356769360772
3,low_ret,>=+20%,156,0.0991149542864041
3,close_ret,<-20%,868,0.5514857712858895
3,close_ret,-20~-15%,1266,0.8043559751704333
3,close_ret,-15~-10%,2843,1.806306506642608
3,close_ret,-10~-8%,2932,1.8628528587675437
3,close_ret,-8~-5%,9794,6.22264014282719
3,close_ret,-5~-3%,15386,9.775530042632138
3,close_ret,-3~-2%,12500,7.941903388333661
3,close_ret,-2~-1%,15726,9.991549814794814
3,close_ret,-1~0%,17455,11.090073891469125
3,close_ret,0~+1%,16914,10.746348312822045
3,close_ret,+1~+2%,14413,9.157332282884244
3,close_ret,+2~+3%,11572,7.352296480783771
3,close_ret,+3~+5%,15627,9.928649939959211
3,close_ret,+5~+8%,11471,7.288125901406034
3,close_ret,+8~+10%,3431,2.1798936420298234
3,close_ret,+10~+15%,3480,2.211025903312091
3,close_ret,+15~+20%,1065,0.676650168686028
3,close_ret,>=+20%,650,0.41297897619335044
4,high_ret,<-20%,491,0.3121047044540075
4,high_ret,-20~-15%,755,0.47991660257184443
4,high_ret,-15~-10%,1630,1.0361113406517968
4,high_ret,-10~-8%,1643,1.0443748053318416
4,high_ret,-8~-5%,5581,3.5475689522562437
4,high_ret,-5~-3%,9086,5.775526160222224
4,high_ret,-3~-2%,8065,5.126526357274074
4,high_ret,-2~-1%,11548,7.3404992403969
4,high_ret,-1~0%,14662,9.319916856832295
4,high_ret,0~+1%,16194,10.293734386819137
4,high_ret,+1~+2%,16233,10.318524780859272
4,high_ret,+2~+3%,13890,8.82919418506347
4,high_ret,+3~+5%,20778,13.207559163228854
4,high_ret,+5~+8%,18307,11.636865222891068
4,high_ret,+8~+10%,6651,4.227715660536871
4,high_ret,+10~+15%,7233,4.597664617751193
4,high_ret,+15~+20%,2601,1.653328587138235
4,high_ret,>=+20%,1971,1.2528683757206696
4,low_ret,<-20%,2135,1.3571151609150833
4,low_ret,-20~-15%,1618,1.028483527100986
4,low_ret,-15~-10%,5176,3.2901302449163805
4,low_ret,-10~-8%,5137,3.265339850876245
4,low_ret,-8~-5%,16892,10.737418875024632
4,low_ret,-5~-3%,22886,14.547511743654612
4,low_ret,-3~-2%,15067,9.57735556417216
4,low_ret,-2~-1%,16221,10.310896967308462
4,low_ret,-1~0%,15900,10.106852954824275
4,low_ret,0~+1%,13463,8.557771152880452
4,low_ret,+1~+2%,10910,6.934953819945461
4,low_ret,+2~+3%,8387,5.331206020887496
4,low_ret,+3~+5%,10660,6.7760410376369045
4,low_ret,+5~+8%,7339,4.6650436374500215
4,low_ret,+8~+10%,2147,1.364742974465894
4,low_ret,+10~+15%,2207,1.402882042219948
4,low_ret,+15~+20%,737,0.46847488224562833
4,low_ret,>=+20%,437,0.277779543475359
4,close_ret,<-20%,1044,0.6636197789205373
4,close_ret,-20~-15%,1079,0.6858675684437353
4,close_ret,-15~-10%,3038,1.931108130613594
4,close_ret,-10~-8%,3266,2.076036588078999
4,close_ret,-8~-5%,10816,6.875202613797443
4,close_ret,-5~-3%,15894,10.103039048048869
4,close_ret,-3~-2%,12086,7.682479547924917
