stock_code,stock_name,n_signals,mean_pct,median_pct,best_pct,worst_pct,stock_tier
300530,*ST达志,1,132.10213945908765,132.10213945908765,132.10213945908765,132.10213945908765,T1_最赚0.1%
300362,天翔退,1,110.50378193235335,110.50378193235335,110.50378193235335,110.50378193235335,T1_最赚0.1%
301392,汇成真空,1,64.57820723818215,64.57820723818215,64.57820723818215,64.57820723818215,T2_赚0.1-1%
003000,华文食品,1,52.155536770921415,52.155536770921415,52.155536770921415,52.155536770921415,T2_赚0.1-1%
002316,*ST亚联,1,49.40811400988394,49.40811400988394,49.40811400988394,49.40811400988394,T2_赚0.1-1%
300784,利安科技,1,41.05945689422454,41.05945689422454,41.05945689422454,41.05945689422454,T3_赚1-5%
600896,览海投资,1,40.06611944756275,40.06611944756275,40.06611944756275,40.06611944756275,T3_赚1-5%
300336,*ST新文,1,39.35644187745033,39.35644187745033,39.35644187745033,39.35644187745033,T3_赚1-5%
600260,ST凯乐,2,37.92269961797861,37.92269961797861,66.08391608391612,9.7614831520411,T3_赚1-5%
002770,科迪乳业,1,37.12702391947677,37.12702391947677,37.12702391947677,37.12702391947677,T3_赚1-5%
300273,和佳股份,2,36.17453507667265,36.17453507667265,37.29181971147945,35.05725044186585,T3_赚1-5%
000711,*ST京蓝,1,35.57870700727843,35.57870700727843,35.57870700727843,35.57870700727843,T3_赚1-5%
000679,*ST友谊,1,34.61442032870607,34.61442032870607,34.61442032870607,34.61442032870607,T3_赚1-5%
600291,*ST西水,1,32.55974794436331,32.55974794436331,32.55974794436331,32.55974794436331,T3_赚1-5%
300256,*ST星星,1,31.60752291187076,31.60752291187076,31.60752291187076,31.60752291187076,T3_赚1-5%
300159,ST新研,1,31.19410709772159,31.19410709772159,31.19410709772159,31.19410709772159,T3_赚1-5%
601777,力帆股份,2,29.46759213692713,29.46759213692713,34.84052892919891,24.09465534465535,T3_赚1-5%
300309,*ST吉艾,1,28.9308981616674,28.9308981616674,28.9308981616674,28.9308981616674,T3_赚1-5%
301565,中仑新材,1,28.81543130653452,28.81543130653452,28.81543130653452,28.81543130653452,T3_赚1-5%
600191,*ST华资,1,28.796823011699058,28.796823011699058,28.796823011699058,28.796823011699058,T3_赚1-5%
000767,漳泽电力,7,28.194879771043173,11.317254174397009,92.95220908124135,-1.94990194990194,T3_赚1-5%
000007,*ST全新,1,27.468160255045497,27.468160255045497,27.468160255045497,27.468160255045497,T3_赚1-5%
300489,光智科技,23,27.10317443785517,8.473792684319,375.0054837416515,-15.98095633098063,T3_赚1-5%
301489,思泉新材,5,26.973435337910946,16.57895274105874,70.77093310277166,-4.28911485470208,T3_赚1-5%
301318,维海德,16,26.751161713174508,0.28192597004688,183.81322181861267,-25.606775222582,T3_赚1-5%
603222,济民制药,7,25.33036115440481,-3.77496695946569,104.6896373926408,-9.78765222364911,T3_赚1-5%
001359,平安电工,1,24.9404703093871,24.9404703093871,24.9404703093871,24.9404703093871,T3_赚1-5%
301368,丰立智能,15,24.60560141630043,8.2192331310186,189.04131582703022,-6.60283113113301,T3_赚1-5%
603099,长白山,26,24.515279208361182,13.022646715369095,164.53491183781637,-4.85704771419055,T3_赚1-5%
600651,*ST飞乐,1,24.34374136501798,24.34374136501798,24.34374136501798,24.34374136501798,T3_赚1-5%
600215,长春经开,2,24.225720823004472,24.225720823004472,47.13320152650699,1.31824011950196,T3_赚1-5%
002336,*ST人乐,1,23.99880820933455,23.99880820933455,23.99880820933455,23.99880820933455,T3_赚1-5%
