horizon_day,threshold,n,hit_rate
1,0.01,157469,0.6002959312626612
1,0.02,157469,0.3287694720865694
1,0.03,157469,0.18347738284995777
1,0.05,157469,0.06709892105747799
1,0.08,157469,0.019508601693031643
1,0.1,157469,0.007468136585613677
1,0.15,157469,0.0012764417123370315
1,0.2,157469,0.00019051368840851214
2,0.01,157469,0.7047482361607682
2,0.02,157469,0.4793578418609377
2,0.03,157469,0.32669922333919693
2,0.05,157469,0.15595450533120805
2,0.08,157469,0.05722396154163677
2,0.1,157469,0.03140935676228337
2,0.15,157469,0.008496910503019641
2,0.2,157469,0.002743397113082575
3,0.01,157469,0.7586318576989757
3,0.02,157469,0.5630187528973957
3,0.03,157469,0.4187490871219097
3,0.05,157469,0.2339254075405318
3,0.08,157469,0.10140408588357074
3,0.1,157469,0.05996735865471934
3,0.15,157469,0.019692764925159874
3,0.2,157469,0.007671351186582756
4,0.01,157469,0.7902444290622281
4,0.02,157469,0.614482850592815
4,0.03,157469,0.4786656421263868
4,0.05,157469,0.29361334611891865
4,0.08,157469,0.14319643866411802
4,0.1,157469,0.08977004997809093
4,0.15,157469,0.03371457239202637
4,0.2,157469,0.014447288037645506
5,0.01,157469,0.8142047006077386
5,0.02,157469,0.6559576805593482
5,0.03,157469,0.5279705846865097
5,0.05,157469,0.3431469051051318
5,0.08,157469,0.18062602798011038
5,0.1,157469,0.11874083152874534
5,0.15,157469,0.04773637985889286
5,0.2,157469,0.02213134013678883
6,0.01,157469,0.8327289815773263
6,0.02,157469,0.687957629755698
6,0.03,157469,0.5668163257530053
6,0.05,157469,0.3838469794054703
6,0.08,157469,0.21303875683467857
6,0.1,157469,0.14432046942572824
6,0.15,157469,0.061999504664410135
6,0.2,157469,0.03011386368110549
7,0.01,157469,0.8466999853939505
7,0.02,157469,0.7115622757495126
7,0.03,157469,0.5964094520191275
7,0.05,157469,0.4161708018721145
7,0.08,157469,0.24115857724377496
7,0.1,157469,0.16906819754999397
7,0.15,157469,0.07668175958442613
7,0.2,157469,0.038718731940889956
8,0.01,157469,0.8567146549479581
8,0.02,157469,0.7294451606347916
8,0.03,157469,0.6197727806742914
8,0.05,157469,0.4432237456261232
8,0.08,157469,0.2651188487892855
8,0.1,157469,0.19038667928290648
8,0.15,157469,0.09151642545516896
8,0.2,157469,0.04923508754103982
9,0.01,157469,0.8654401818770678
9,0.02,157469,0.7442798265055344
9,0.03,157469,0.6390273641161117
9,0.05,157469,0.4664664156119617
9,0.08,157469,0.28775187497221677
9,0.1,157469,0.2106065320793299
9,0.15,157469,0.10539852288386921
9,0.2,157469,0.05893223428103309
10,0.01,157469,0.872628898386349
10,0.02,157469,0.7575395792187669
10,0.03,157469,0.6566054270999371
10,0.05,157469,0.4883056347598575
10,0.08,157469,0.3099022664778464
10,0.1,157469,0.23035010065473205
10,0.15,157469,0.11882973791666931
10,0.2,157469,0.06741644387149216
11,0.01,157469,0.8787253364154215
11,0.02,157469,0.7679797293435533
11,0.03,157469,0.67054467863516
11,0.05,157469,0.5061631178200153
11,0.08,157469,0.3290488921629019
11,0.1,157469,0.2483726955781773
11,0.15,157469,0.13200693469825808
11,0.2,157469,0.0763070826638894
12,0.01,157469,0.8838501546336104
12,0.02,157469,0.7774673110262973
12,0.03,157469,0.6830423765947583
12,0.05,157469,0.5227187573427151
12,0.08,157469,0.34695082841702174
12,0.1,157469,0.2651569515269672
12,0.15,157469,0.14556515885666385
12,0.2,157469,0.08514691780604436
13,0.01,157469,0.8882192685544457
13,0.02,157469,0.7854307832017731
13,0.03,157469,0.6942890346671409
13,0.05,157469,0.5372740031371254
13,0.08,157469,0.3628714223116931
13,0.1,157469,0.2804996539001327
13,0.15,157469,0.1568689710355689
13,0.2,157469,0.09323104865084557
14,0.01,157469,0.8925185274561978
14,0.02,157469,0.7935212645028545
14,0.03,157469,0.7052626231194712
14,0.05,157469,0.5510544932653411
14,0.08,157469,0.3779156532396853
14,0.1,157469,0.2953724225085572
14,0.15,157469,0.16833154462148106
14,0.2,157469,0.10108656306955655
15,0.01,157469,0.896195441642482
15,0.02,157469,0.8006147241679314
15,0.03,157469,0.7150994798976307
15,0.05,157469,0.5639776717957186
15,0.08,157469,0.3918104515809461
15,0.1,157469,0.3082892505826544
15,0.15,157469,0.17861293333926043
15,0.2,157469,0.10898653068222952
16,0.01,157469,0.8995865852961535
16,0.02,157469,0.8069080263416927
16,0.03,157469,0.7237551518076574
16,0.05,157469,0.5757768195644857
16,0.08,157469,0.4047336301113235
16,0.1,157469,0.32039322025287514
16,0.15,157469,0.18845614057370022
16,0.2,157469,0.11605458852218532
17,0.01,157469,0.9024252392534403
17,0.02,157469,0.8124138719366987
17,0.03,157469,0.7315408112072852
17,0.05,157469,0.5863439788148779
17,0.08,157469,0.41685665115038517
17,0.1,157469,0.33257974585473965
17,0.15,157469,0.19820409096393576
17,0.2,157469,0.12333221141939048
18,0.01,157469,0.905079729978599
18,0.02,157469,0.8176784001930538
18,0.03,157469,0.7385263131155974
18,0.05,157469,0.5960411255548711
18,0.08,157469,0.4283954302116607
18,0.1,157469,0.3437692498205996
18,0.15,157469,0.207945690897891
18,0.2,157469,0.13074954435476188
19,0.01,157469,0.9075564079279096
19,0.02,157469,0.8225047469660696
19,0.03,157469,0.7452704976852587
19,0.05,157469,0.6052429367050023
19,0.08,157469,0.4390133931122951
19,0.1,157469,0.354901599679937
19,0.15,157469,0.21680457740888684
19,0.2,157469,0.13741117299277952
20,0.01,157469,0.910071188614902
20,0.02,157469,0.8269310149934272
20,0.03,157469,0.7513542348017705
20,0.05,157469,0.6142161314290432
20,0.08,157469,0.44970121103201266
20,0.1,157469,0.366046650451835
20,0.15,157469,0.22648902323631953
20,0.2,157469,0.14486660866583265
