ts_code,stock_name,n_episodes,total_pnl,mean_ret_pct,best_ret_pct,worst_ret_pct,mean_pnl_per_ep
000001.SZ,平安银行,15,44462.93911794122,2.378480831019111,8.893414797502556,-12.437642454816444,2964.195941196081
000002.SZ,万科A,14,24579.48800448139,2.2234277108930933,13.320011248453795,-12.973936341446276,1755.6777146058137
000004.SZ,国农科技,10,-190502.19394451944,0.06801910833110458,16.02947475285447,-42.19525480550338,-19050.219394451946
000006.SZ,深振业A,16,476696.09494998143,5.685505125917459,13.234983694432806,-3.9486711422461496,29793.50593437384
000007.SZ,全新好,7,-394050.0994388997,-6.2908722045432794,25.17495049907583,-57.13248523201595,-56292.87134841424
000008.SZ,神州高铁,15,128010.14816994162,3.144136441162858,11.326106551582292,-4.308678000577632,8534.009877996108
000009.SZ,中国宝安,13,-167460.0629725795,1.592137751311901,14.050303145979164,-19.508959214267467,-12881.543305583038
000010.SZ,美丽生态,11,16536.45135132069,2.853609213603084,28.23089426669705,-14.472130377149798,1503.313759210972
000011.SZ,深物业A,17,255307.3569590405,4.4687258663574685,29.42633016923468,-10.466866293374048,15018.07982112003
000012.SZ,南玻A,14,-23617.453835339256,2.672423826166056,10.860113876908285,-19.446061399866917,-1686.9609882385182
000014.SZ,沙河股份,15,266967.77238738094,4.53040864796945,11.210634630576546,-2.6920965085237634,17797.851492492064
000016.SZ,*ST康佳A,17,-79572.54599027903,3.733858110468715,26.974458035346988,-24.738775694962737,-4680.737999428178
000017.SZ,深中华A,14,441116.1152958608,9.29874580204133,24.15669807967811,-5.569310835140143,31508.293949704344
000019.SZ,深粮控股,13,210988.90460250064,5.08726595739849,23.43614650149243,-4.022589352148975,16229.915738653895
000020.SZ,深华发A,15,233849.92235922097,6.171439788093767,19.1874729130337,-8.314982279528055,15589.994823948065
000021.SZ,深科技,12,-73635.51477203897,3.002260424683952,16.08815839153646,-18.143610320945132,-6136.292897669914
000025.SZ,特力A,14,187558.10302662072,4.902644784050144,15.256906100655044,-13.330527352598786,13397.007359044337
000026.SZ,飞亚达,16,44703.92002554086,3.1722387388002966,19.196821683361794,-10.02314049651961,2793.9950015963036
000027.SZ,深圳能源,16,200686.2773000413,6.014528389604704,15.487749202905334,-7.05722851625661,12542.892331252582
000028.SZ,国药一致,15,-178533.12582305903,2.226895309992199,15.888129801367368,-13.9201125693338,-11902.208388203935
000029.SZ,深深房A,13,423318.8313763207,9.455739813366332,43.354044211189766,-2.3378538989062925,32562.987028947744
000030.SZ,富奥股份,15,209336.23122948088,3.643695762009493,13.858986548963944,-8.906796542229522,13955.748748632059
000031.SZ,大悦城,14,43605.102767401,3.388203501825039,19.691167708700164,-19.994516034835623,3114.6501976715
000032.SZ,深桑达A,15,-6910.721513278928,6.135738658485675,24.90078979516887,-23.169221029922607,-460.7147675519285
000034.SZ,神州数码,13,298026.5375122208,7.256298302768916,15.511935637261528,-4.955330389957306,22925.11827017083
000035.SZ,中国天楹,13,-109266.49001087956,2.353474835886453,14.714736805793155,-17.004966464917285,-8405.114616221505
