factor_id,horizon,n_days,coverage,ic_mean,rank_ic_mean,icir,rank_icir,ic_positive_ratio,q5_q1_mean,q5_q1_median,monotonic,turnover,bootstrap_lo,bootstrap_hi,yearly_direction,expression,factor_name,label,p_surrogate,fdr_survives
AF_000014,D20_fwd_ret_20,1010,154059.0,0.025483669095901756,0.04165108892605306,0.1021826127929455,0.17212447186904867,0.5356435643564357,-0.037831409248536015,-0.02605671895702666,False,1.0,0.01167887945868452,0.041179807870332756,1+1+1+1+1,ret_5,SMOKE_ret_5,fwd_ret_20,1.9166978221478939,False
AF_000014,D20_BAD,1024,157185.0,-0.13265368567750332,-0.12102051765377768,-0.6433308434746995,-0.7057118816661813,0.22993197278911565,-0.1347875785863974,0.0,True,1.0,-0.14788231641648905,-0.1193675087428103,-1+-1+-1+-1+-1,ret_5,SMOKE_ret_5,BAD,1.7579589646924447,False
AF_000014,D20_STRONG,1024,157185.0,-0.10078399899524203,-0.11042846308283749,-0.45127333659969354,-0.49025830035878804,0.28252032520325204,-0.27386168794056015,-1.0,True,1.0,-0.11597160266080353,-0.08701244143368635,-1+-1+-1+-1+-1,ret_5,SMOKE_ret_5,STRONG,1.779143073834325,False
AF_000015,D20_fwd_ret_20,1009,154035.0,0.006839402486446291,0.015163727967647892,0.027022942012400745,0.06161109899008111,0.5044598612487612,-0.04484606620722329,-0.03370237525590691,False,1.0,-0.00923278832534191,0.022305638587222096,1+1+-1+1+1,ret_20,SMOKE_ret_20,fwd_ret_20,1.9696725440647043,False
AF_000015,D20_BAD,1023,157161.0,-0.10149371663584199,-0.08626595522177832,-0.47864486627368924,-0.4637857715979364,0.2925170068027211,-0.1343008669694179,0.0,True,1.0,-0.11760261303518649,-0.08738795409296533,-1+-1+-1+-1+-1,ret_20,SMOKE_ret_20,BAD,1.8274680895564432,False
AF_000015,D20_STRONG,1023,157161.0,-0.0924356217286812,-0.0946281295363861,-0.42973011173318193,-0.44109233433695944,0.28382502543234994,-0.25431102924830895,0.0,True,1.0,-0.10651950812170606,-0.0783410498244422,-1+-1+-1+-1+-1,ret_20,SMOKE_ret_20,STRONG,1.8107437409272278,False
AF_000009,D20_fwd_ret_20,1010,154059.0,-0.019729714899119122,-0.04624757933200155,-0.07405905588730669,-0.17451497572453697,0.4792079207920792,0.03753022064356119,0.01829853315001828,False,1.0,-0.037788013774660435,-0.0031933543330456508,-1+-1+1+-1+-1,atr14_pct,SMOKE_atr14_pct,fwd_ret_20,1.907504841335997,False
AF_000009,D20_BAD,1024,157185.0,0.17273970293126745,0.15774149145250915,0.8236962299822091,0.8820770218528294,0.8312925170068027,0.13104083317457293,0.0,True,1.0,0.1601542058158648,0.18831740368455777,1+1+1+1+1,atr14_pct,SMOKE_atr14_pct,BAD,1.6845170170949817,False
AF_000009,D20_STRONG,1024,157185.0,0.15945271342912987,0.16784959202565922,0.6947675867124837,0.7321627947373597,0.8038617886178862,0.30545500730297837,1.0,True,1.0,0.14576440639964344,0.1750247749609581,1+1+1+1+1,atr14_pct,SMOKE_atr14_pct,STRONG,1.6643008159486816,False
AF_000016,D20_fwd_ret_20,1010,154059.0,0.016632973423362948,0.010773457415896338,0.07790769477449375,0.049192965288114655,0.5445544554455446,-0.018782849534662874,-0.02210156223171389,True,1.0,0.0026161647648136757,0.03179068977882,1+1+-1+1+1,"ratio(ret_5,atr14_pct)",SMOKE_ret5_div_atr,fwd_ret_20,1.9784530851682074,False
AF_000016,D20_BAD,1024,157185.0,-0.008860791689063906,-0.0074132265265659525,-0.0492820295838289,-0.04227510956800244,0.4993197278911565,-0.05480408966787326,0.0,True,1.0,-0.022288936985661565,0.0022306164537021092,-1+1+1+-1+-1,"ratio(ret_5,atr14_pct)",SMOKE_ret5_div_atr,BAD,1.985173546946868,False
AF_000016,D20_STRONG,1024,157185.0,0.018342676147409427,0.018470726335927154,0.08632666108805798,0.0864098350484211,0.5497967479674797,-0.07842763701022415,0.0,True,1.0,0.0013104404566607912,0.03268384762051163,1+1+1+1+1,"ratio(ret_5,atr14_pct)",SMOKE_ret5_div_atr,STRONG,1.9630585473281457,False
AF_000017,D20_fwd_ret_20,1010,154059.0,-0.030932698878420702,-0.046657545585203,-0.12764406427260208,-0.18355183066002367,0.42178217821782177,-0.00463484233627405,-0.010695470331019474,True,1.0,-0.04433378845836464,-0.0167620446734228,1+-1+-1+-1+1,cs_rank(signal_day_amount),SMOKE_amount_cs,fwd_ret_20,1.906684908829594,False
AF_000017,D20_BAD,1024,157185.0,0.05381598179204169,0.05381598179204168,0.27869648546506315,0.27869648546506315,0.6680272108843538,-0.006064647234393844,0.0,True,1.0,0.03814980528643708,0.0662588442403261,1+1+1+1+-1,cs_rank(signal_day_amount),SMOKE_amount_cs,BAD,1.8923680364159166,False
