index,cluster_members
CL4,['ret_5']
CL3,"['ret_20', 'drawdown_20', 'min(ret_5,ret_20)']"
CL9,['atr14_pct']
CL6,"['ratio(ret_5,atr14_pct)']"
CL10,['cs_rank(signal_day_amount)']
CL1,['amount_ratio_5_20']
CL5,['distance_52w_high']
CL12,['daily_bb_signal_count']
CL11,['daily_bb_up_ratio']
CL7,"['interaction(bb_z,cs_rank(signal_day_amount))']"
CL2,"['diff(drawdown_20,ret_20)']"
CL8,['sign(gap_pct)']
