feature_id,family,name,expected_direction,disc_direction,direction_matches_registry,n_days,mean_ic,median_ic,pos_frac,hac_t,raw_p,bh_q,ic_boot_point,ic_boot_mean,ic_ci_lo,ic_ci_hi,pairwise_n,pairwise_ties,pairwise_acc,K3_lift_pp,K3_lift_boot_point,K3_lift_boot_mean,K3_lift_ci_lo,K3_lift_ci_hi,K3_mean_pp,random_K3_pctile,delta_vs_random_pp,ic_2020,ic_2021,ic_2022,gateA_bh_q,gateB,gateC,gateD,gateE,gateF,DISCOVERY_PASS
F01,OVERSOLD_DEPTH,BB_Z,UNKNOWN,POSITIVE,True,534,0.0033847695800918957,-0.007481680961057774,0.4812734082397004,0.28354702469078674,0.7767575395270698,0.787148525651665,0.0033847695800918957,0.003200067831491662,-0.02121737984430708,0.0261302516760982,756261,2,50.364093877642766,-0.10439225199546544,-0.10439225199546544,-0.0974797520229273,-0.5214177971653333,0.3119030168395776,4.2713424062095005,29.74,-0.10592549192985601,0.008558856459415162,-0.005829841869932095,0.009663853504947643,False,False,False,False,False,True,False
F02,OVERSOLD_DEPTH,BB_LOWER_DISTANCE,UNKNOWN,NEGATIVE,True,534,-0.031262580934151366,-0.03689020759734848,0.4101123595505618,-2.336541722493819,0.019463025743827744,0.02757261980375597,-0.031262580934151366,-0.030905298271541877,-0.0576416885805608,-0.005364389921626792,756262,1,51.46404288460877,0.24475097994035191,0.24475097994035191,0.27790642528385384,-0.18519929515816747,0.7920961515665674,4.620485638145318,88.58,0.24321774000596186,-0.01829579741256789,-0.040879774087492535,-0.030779111728453056,True,True,False,False,False,True,False
F03,SHORT_PRICE_SHOCK,RET1,UNKNOWN,NEGATIVE,True,534,-0.05514797605689546,-0.05703108150883485,0.3782771535580524,-3.5701702462258607,0.0003567492931195737,0.0008663911404332504,-0.05514797605689546,-0.053898590573938136,-0.0876634303786766,-0.022182408499300466,756223,40,53.42551072897809,0.4262474605328443,0.4262474605328443,0.44381671500078446,-0.03730771614935103,0.9331393527951017,4.80198211873781,98.18,0.4247142205984531,-0.06358361275809674,-0.08022018642720612,-0.020002490921404367,True,True,True,False,False,True,False
F04,SHORT_PRICE_SHOCK,RET3,UNKNOWN,NEGATIVE,True,534,-0.06827298793736566,-0.07142857142857144,0.36704119850187267,-4.813223417744455,1.485150953550729e-06,6.311891552590598e-06,-0.06827298793736566,-0.06499634116940377,-0.09324897928517394,-0.038614040411677944,756247,16,53.55935296272249,0.5479435684339581,0.5479435684339581,0.570178085782838,0.026725386470097885,1.096297151971276,4.923678226638924,99.56,0.5464103284995678,-0.059371825728740335,-0.07531534905124104,-0.06744245658022813,True,True,True,True,True,True,True
F05,SHORT_PRICE_SHOCK,RET5,UNKNOWN,NEGATIVE,True,534,-0.053842153950707086,-0.06913945385301029,0.37640449438202245,-3.291806400804008,0.0009954611321498774,0.001538439931504356,-0.053842153950707086,-0.05312429560276247,-0.08650235776482422,-0.02140985897261061,756256,7,53.48770786611941,0.5278052223342852,0.5278052223342852,0.5349838279885843,0.01796408263802328,1.0494023017776795,4.903539880539251,99.42,0.5262719823998943,-0.03584563118875735,-0.058796998506614094,-0.06267069430635443,True,True,True,True,True,True,True
F06,REVERSAL_CONTEXT,RET20,UNKNOWN,NEGATIVE,True,533,-0.05001159200509788,-0.06895713475407181,0.3808630393996248,-3.47788857806311,0.0005053799527054981,0.0009546065773326075,-0.05001159200509788,-0.04600445697448152,-0.07572107352972339,-0.018853112418909558,755967,20,53.998785661278866,0.9337727379224748,0.9337727379224748,0.908624147593993,0.3577868945490618,1.4245663710725445,5.295709133206648,100.0,0.9184412350672915,-0.022485173532564726,-0.053197861653149006,-0.06833554327443181,True,True,True,True,True,True,True
F07,REVERSAL_CONTEXT,DIST_MA20,UNKNOWN,NEGATIVE,True,534,-0.08229164919298393,-0.0926055137122157,0.3352059925093633,-4.702481971120006,2.570179205241274e-06,8.738609297820333e-06,-0.08229164919298393,-0.07928064951917439,-0.11576832302855838,-0.044493686649795125,756261,2,54.620296432051894,0.831673057783898,0.831673057783898,0.8729324981415034,0.21985494628956367,1.535079583101242,5.207407715988864,100.0,0.8301398178495072,-0.07633838277721224,-0.0734478195672544,-0.09707739534464849,True,True,True,True,True,True,True
F08,VOLATILITY,STOCK_RV20,UNKNOWN,POSITIVE,True,534,0.08435225706890813,0.10607758965248112,0.651685393258427,5.164510702245498,2.410686847920118e-07,1.366055880488067e-06,0.08435225706890813,0.08275735224226048,0.051363857211158645,0.11446981807562233,756262,1,54.357484575451366,0.34219488858521013,0.34219488858521013,0.37512627231939943,-0.15830369708228834,0.899227020859365,4.717929546790176,95.14,0.34066164865081916,0.07215683178976846,0.08167385049502664,0.09716700346986402,True,True,True,False,False,True,False
F09,VOLATILITY,ATR20_PCT,UNKNOWN,POSITIVE,True,534,0.09376044704930178,0.10090749599200402,0.6741573033707865,5.3499790616384315,8.796440864600186e-08,7.476974734910158e-07,0.09376044704930178,0.09209396479198177,0.057778516281146525,0.12538171186802075,756260,3,55.073387459339386,0.6715440240506226,0.6715440240506226,0.6640723965079164,0.10041669765604729,1.2189009343533352,5.047278682255588,100.0,0.6700107841162319,0.08703386636636304,0.0885786097798821,0.10502165175924418,True,True,True,True,True,True,True
F10,LIQUIDITY,AMOUNT,UNKNOWN,POSITIVE,True,534,0.0042154602237630566,0.011347025224337908,0.5074906367041199,0.27001524449546654,0.787148525651665,0.787148525651665,0.0042154602237630566,0.0036721643726761997,-0.03155434459801314,0.0374840277828062,756261,2,50.187964208123915,0.04773985198951436,0.04773985198951436,0.010030480056759435,-0.6251349445270722,0.6486512305684428,4.42347451019448,58.86,0.046206612055123664,0.06315364209869898,-0.018603488567868746,-0.017236578801866024,False,False,False,False,False,False,False
F11,LIQUIDITY,AMOUNT_RATIO20,UNKNOWN,POSITIVE,True,534,0.004785976911392932,-0.0036744654240366075,0.4887640449438202,0.3848122745012591,0.7003765043978047,0.787148525651665,0.004785976911392932,0.001973664121302119,-0.021177185128395462,0.025339303596871282,756262,1,49.51207385800159,0.4018205339650004,0.4018205339650004,0.38360579086492885,-0.04725367328188014,0.8173294199870381,4.777555192169967,97.48,0.40028729403061014,0.03625956076386347,-0.0021705561745546825,-0.012588184774076791,False,False,False,False,False,False,False
