ts_code,asof_date,membership
000671.SZ,2020-06-30,房地产
000671.SZ,2021-06-30,房地产
000671.SZ,2022-06-30,房地产
000671.SZ,2023-06-30,房地产
000671.SZ,2024-06-30,
000819.SZ,2020-06-30,石油石化
000819.SZ,2021-06-30,石油石化
000819.SZ,2022-06-30,石油石化
000819.SZ,2023-06-30,石油石化
000819.SZ,2024-06-30,石油石化
000858.SZ,2020-06-30,食品饮料
000858.SZ,2021-06-30,食品饮料
000858.SZ,2022-06-30,食品饮料
000858.SZ,2023-06-30,食品饮料
000858.SZ,2024-06-30,食品饮料
000985.SZ,2020-06-30,石油石化
000985.SZ,2021-06-30,石油石化
000985.SZ,2022-06-30,石油石化
000985.SZ,2023-06-30,石油石化
000985.SZ,2024-06-30,石油石化
001208.SZ,2020-06-30,
001208.SZ,2021-06-30,
001208.SZ,2022-06-30,电力设备
001208.SZ,2023-06-30,电力设备
001208.SZ,2024-06-30,电力设备
001229.SZ,2020-06-30,
001229.SZ,2021-06-30,
001229.SZ,2022-06-30,
001229.SZ,2023-06-30,计算机
001229.SZ,2024-06-30,计算机
001239.SZ,2020-06-30,
001239.SZ,2021-06-30,
001239.SZ,2022-06-30,
001239.SZ,2023-06-30,
001239.SZ,2024-06-30,机械设备
002100.SZ,2020-06-30,农林牧渔
002100.SZ,2021-06-30,农林牧渔
002100.SZ,2022-06-30,农林牧渔
002100.SZ,2023-06-30,农林牧渔
002100.SZ,2024-06-30,农林牧渔
002249.SZ,2020-06-30,电力设备
002249.SZ,2021-06-30,电力设备
002249.SZ,2022-06-30,电力设备
002249.SZ,2023-06-30,电力设备
002249.SZ,2024-06-30,电力设备
002308.SZ,2020-06-30,计算机
002308.SZ,2021-06-30,计算机
002308.SZ,2022-06-30,计算机
002308.SZ,2023-06-30,计算机
002308.SZ,2024-06-30,计算机
002399.SZ,2020-06-30,医药生物
002399.SZ,2021-06-30,医药生物
002399.SZ,2022-06-30,医药生物
002399.SZ,2023-06-30,医药生物
002399.SZ,2024-06-30,医药生物
002471.SZ,2020-06-30,电力设备
002471.SZ,2021-06-30,电力设备
002471.SZ,2022-06-30,电力设备
002471.SZ,2023-06-30,电力设备
002471.SZ,2024-06-30,电力设备
002500.SZ,2020-06-30,非银金融
002500.SZ,2021-06-30,非银金融
002500.SZ,2022-06-30,非银金融
002500.SZ,2023-06-30,非银金融
002500.SZ,2024-06-30,非银金融
002647.SZ,2020-06-30,非银金融
002647.SZ,2021-06-30,非银金融
002647.SZ,2022-06-30,非银金融
002647.SZ,2023-06-30,非银金融
002647.SZ,2024-06-30,非银金融
002939.SZ,2020-06-30,非银金融
002939.SZ,2021-06-30,非银金融
002939.SZ,2022-06-30,非银金融
002939.SZ,2023-06-30,非银金融
002939.SZ,2024-06-30,非银金融
300332.SZ,2020-06-30,公用事业
300332.SZ,2021-06-30,公用事业
300332.SZ,2022-06-30,公用事业
300332.SZ,2023-06-30,公用事业
300332.SZ,2024-06-30,公用事业
300388.SZ,2020-06-30,公用事业
300388.SZ,2021-06-30,公用事业
300388.SZ,2022-06-30,环保
300388.SZ,2023-06-30,环保
300388.SZ,2024-06-30,环保
300414.SZ,2020-06-30,通信
300414.SZ,2021-06-30,通信
300414.SZ,2022-06-30,通信
300414.SZ,2023-06-30,通信
300414.SZ,2024-06-30,通信
300592.SZ,2020-06-30,建筑装饰
300592.SZ,2021-06-30,建筑装饰
300592.SZ,2022-06-30,建筑装饰
300592.SZ,2023-06-30,商贸零售
300592.SZ,2024-06-30,商贸零售
300757.SZ,2020-06-30,机械设备
300757.SZ,2021-06-30,机械设备
300757.SZ,2022-06-30,机械设备
300757.SZ,2023-06-30,机械设备
300757.SZ,2024-06-30,机械设备
300789.SZ,2020-06-30,计算机
300789.SZ,2021-06-30,计算机
300789.SZ,2022-06-30,计算机
300789.SZ,2023-06-30,计算机
300789.SZ,2024-06-30,计算机
300826.SZ,2020-06-30,建筑装饰
300826.SZ,2021-06-30,建筑装饰
300826.SZ,2022-06-30,建筑装饰
300826.SZ,2023-06-30,建筑装饰
300826.SZ,2024-06-30,建筑装饰
300846.SZ,2020-06-30,
300846.SZ,2021-06-30,计算机
300846.SZ,2022-06-30,计算机
300846.SZ,2023-06-30,计算机
300846.SZ,2024-06-30,计算机
300860.SZ,2020-06-30,
300860.SZ,2021-06-30,社会服务
300860.SZ,2022-06-30,社会服务
300860.SZ,2023-06-30,社会服务
300860.SZ,2024-06-30,社会服务
300865.SZ,2020-06-30,
300865.SZ,2021-06-30,机械设备
300865.SZ,2022-06-30,机械设备
300865.SZ,2023-06-30,机械设备
300865.SZ,2024-06-30,机械设备
300971.SZ,2020-06-30,
300971.SZ,2021-06-30,机械设备
300971.SZ,2022-06-30,机械设备
300971.SZ,2023-06-30,机械设备
300971.SZ,2024-06-30,机械设备
301160.SZ,2020-06-30,
301160.SZ,2021-06-30,
301160.SZ,2022-06-30,钢铁
301160.SZ,2023-06-30,钢铁
301160.SZ,2024-06-30,钢铁
301163.SZ,2020-06-30,
301163.SZ,2021-06-30,
301163.SZ,2022-06-30,机械设备
301163.SZ,2023-06-30,电力设备
301163.SZ,2024-06-30,电力设备
301236.SZ,2020-06-30,
301236.SZ,2021-06-30,
301236.SZ,2022-06-30,计算机
301236.SZ,2023-06-30,计算机
301236.SZ,2024-06-30,计算机
301322.SZ,2020-06-30,
301322.SZ,2021-06-30,
301322.SZ,2022-06-30,
301322.SZ,2023-06-30,汽车
301322.SZ,2024-06-30,汽车
301550.SZ,2020-06-30,
301550.SZ,2021-06-30,
301550.SZ,2022-06-30,
301550.SZ,2023-06-30,
301550.SZ,2024-06-30,汽车
301585.SZ,2020-06-30,
301585.SZ,2021-06-30,
301585.SZ,2022-06-30,
301585.SZ,2023-06-30,
301585.SZ,2024-06-30,
301632.SZ,2020-06-30,
301632.SZ,2021-06-30,
301632.SZ,2022-06-30,
301632.SZ,2023-06-30,
301632.SZ,2024-06-30,
600480.SH,2020-06-30,汽车
600480.SH,2021-06-30,汽车
600480.SH,2022-06-30,汽车
600480.SH,2023-06-30,汽车
600480.SH,2024-06-30,汽车
600548.SH,2020-06-30,交通运输
600548.SH,2021-06-30,交通运输
600548.SH,2022-06-30,交通运输
600548.SH,2023-06-30,交通运输
600548.SH,2024-06-30,交通运输
600595.SH,2020-06-30,有色金属
600595.SH,2021-06-30,有色金属
600595.SH,2022-06-30,有色金属
600595.SH,2023-06-30,有色金属
600595.SH,2024-06-30,有色金属
600759.SH,2020-06-30,石油石化
600759.SH,2021-06-30,石油石化
600759.SH,2022-06-30,石油石化
600759.SH,2023-06-30,石油石化
600759.SH,2024-06-30,石油石化
600795.SH,2020-06-30,公用事业
600795.SH,2021-06-30,公用事业
600795.SH,2022-06-30,公用事业
600795.SH,2023-06-30,公用事业
600795.SH,2024-06-30,公用事业
600840.SH,2020-06-30,
600840.SH,2021-06-30,
600840.SH,2022-06-30,
600840.SH,2023-06-30,
600840.SH,2024-06-30,
600885.SH,2020-06-30,电力设备
600885.SH,2021-06-30,电力设备
600885.SH,2022-06-30,电力设备
600885.SH,2023-06-30,电力设备
600885.SH,2024-06-30,电力设备
600996.SH,2020-06-30,传媒
600996.SH,2021-06-30,传媒
600996.SH,2022-06-30,传媒
600996.SH,2023-06-30,传媒
600996.SH,2024-06-30,传媒
601318.SH,2020-06-30,非银金融
601318.SH,2021-06-30,非银金融
601318.SH,2022-06-30,非银金融
601318.SH,2023-06-30,非银金融
601318.SH,2024-06-30,非银金融
601800.SH,2020-06-30,建筑装饰
601800.SH,2021-06-30,建筑装饰
601800.SH,2022-06-30,建筑装饰
601800.SH,2023-06-30,建筑装饰
601800.SH,2024-06-30,建筑装饰
603003.SH,2020-06-30,有色金属
603003.SH,2021-06-30,有色金属
603003.SH,2022-06-30,计算机
603003.SH,2023-06-30,计算机
603003.SH,2024-06-30,计算机
603008.SH,2020-06-30,轻工制造
603008.SH,2021-06-30,轻工制造
603008.SH,2022-06-30,轻工制造
603008.SH,2023-06-30,轻工制造
603008.SH,2024-06-30,轻工制造
603025.SH,2020-06-30,电力设备
603025.SH,2021-06-30,电力设备
603025.SH,2022-06-30,机械设备
603025.SH,2023-06-30,机械设备
603025.SH,2024-06-30,机械设备
603071.SH,2020-06-30,
603071.SH,2021-06-30,
603071.SH,2022-06-30,公用事业
603071.SH,2023-06-30,煤炭
603071.SH,2024-06-30,煤炭
603136.SH,2020-06-30,社会服务
603136.SH,2021-06-30,社会服务
603136.SH,2022-06-30,社会服务
603136.SH,2023-06-30,社会服务
603136.SH,2024-06-30,社会服务
603138.SH,2020-06-30,计算机
603138.SH,2021-06-30,计算机
603138.SH,2022-06-30,计算机
603138.SH,2023-06-30,计算机
603138.SH,2024-06-30,计算机
603167.SH,2020-06-30,交通运输
603167.SH,2021-06-30,交通运输
603167.SH,2022-06-30,交通运输
603167.SH,2023-06-30,交通运输
603167.SH,2024-06-30,交通运输
603499.SH,2020-06-30,轻工制造
603499.SH,2021-06-30,轻工制造
603499.SH,2022-06-30,轻工制造
603499.SH,2023-06-30,轻工制造
603499.SH,2024-06-30,轻工制造
603579.SH,2020-06-30,家用电器
603579.SH,2021-06-30,家用电器
603579.SH,2022-06-30,家用电器
603579.SH,2023-06-30,家用电器
603579.SH,2024-06-30,家用电器
603663.SH,2020-06-30,有色金属
603663.SH,2021-06-30,有色金属
603663.SH,2022-06-30,基础化工
603663.SH,2023-06-30,基础化工
603663.SH,2024-06-30,基础化工
603836.SH,2020-06-30,
603836.SH,2021-06-30,交通运输
603836.SH,2022-06-30,交通运输
603836.SH,2023-06-30,交通运输
603836.SH,2024-06-30,交通运输
603885.SH,2020-06-30,交通运输
603885.SH,2021-06-30,交通运输
603885.SH,2022-06-30,交通运输
603885.SH,2023-06-30,交通运输
603885.SH,2024-06-30,交通运输
605365.SH,2020-06-30,
605365.SH,2021-06-30,
605365.SH,2022-06-30,家用电器
605365.SH,2023-06-30,家用电器
605365.SH,2024-06-30,家用电器
688019.SH,2020-06-30,
688019.SH,2021-06-30,
688019.SH,2022-06-30,
688019.SH,2023-06-30,
688019.SH,2024-06-30,电子
688205.SH,2020-06-30,
688205.SH,2021-06-30,
688205.SH,2022-06-30,
688205.SH,2023-06-30,
688205.SH,2024-06-30,通信
688560.SH,2020-06-30,
688560.SH,2021-06-30,
688560.SH,2022-06-30,
688560.SH,2023-06-30,
688560.SH,2024-06-30,电力设备
688567.SH,2020-06-30,
688567.SH,2021-06-30,
688567.SH,2022-06-30,
688567.SH,2023-06-30,
688567.SH,2024-06-30,电力设备
