con_code,industry_code,industry_name,in_date,out_date,in_dt,out_dt
000019.SZ,801010.SI,农林牧渔,20211213,,2021-12-13,
000034.SZ,801010.SI,农林牧渔,20070703,20090601,2007-07-03,2009-06-01
000034.SZ,801010.SI,农林牧渔,20150701,20170630,2015-07-01,2017-06-30
000048.SZ,801010.SI,农林牧渔,19941101,20211210,1994-11-01,2021-12-10
000048.SZ,801010.SI,农林牧渔,20250813,,2025-08-13,
000061.SZ,801010.SI,农林牧渔,19970110,20130628,1997-01-10,2013-06-28
000505.SZ,801010.SI,农林牧渔,20180716,,2018-07-16,
000557.SZ,801010.SI,农林牧渔,19940617,20070702,1994-06-17,2007-07-02
000576.SZ,801010.SI,农林牧渔,20111010,20130628,2011-10-10,2013-06-28
000576.SZ,801010.SI,农林牧渔,20180612,20200622,2018-06-12,2020-06-22
000592.SZ,801010.SI,农林牧渔,20140702,,2014-07-02,
000626.SZ,801010.SI,农林牧渔,19961128,20110930,1996-11-28,2011-09-30
000639.SZ,801010.SI,农林牧渔,20111010,20190705,2011-10-10,2019-07-05
000639.SZ,801010.SI,农林牧渔,20211213,20240730,2021-12-13,2024-07-30
000663.SZ,801010.SI,农林牧渔,19961206,20160630,1996-12-06,2016-06-30
000663.SZ,801010.SI,农林牧渔,20220801,,2022-08-01,
000672.SZ,801010.SI,农林牧渔,20030103,20070511,2003-01-03,2007-05-11
000672.SZ,801010.SI,农林牧渔,20130502,20130628,2013-05-02,2013-06-28
000702.SZ,801010.SI,农林牧渔,19970318,,1997-03-18,
000713.SZ,801010.SI,农林牧渔,19970422,,1997-04-22,
000722.SZ,801010.SI,农林牧渔,19970522,20061009,1997-05-22,2006-10-09
000735.SZ,801010.SI,农林牧渔,19970611,,1997-06-11,
000780.SZ,801010.SI,农林牧渔,19970606,20070702,1997-06-06,2007-07-02
000798.SZ,801010.SI,农林牧渔,19980212,,1998-02-12,
000829.SZ,801010.SI,农林牧渔,19971202,20061009,1997-12-02,2006-10-09
000860.SZ,801010.SI,农林牧渔,19981104,20150630,1998-11-04,2015-06-30
000876.SZ,801010.SI,农林牧渔,19980311,,1998-03-11,
000893.SZ,801010.SI,农林牧渔,20100318,20190705,2010-03-18,2019-07-05
000911.SZ,801010.SI,农林牧渔,20111010,,2011-10-10,
000918.SZ,801010.SI,农林牧渔,19990720,20100317,1999-07-20,2010-03-17
