ts_code,report_period,ann_date,update_flag,revenue,n_income_attr_p
000001.SZ,20171231,20180315,0,105786000000.0,23189000000.0
000001.SZ,20171231,20180315,1,105786000000.0,23189000000.0
000001.SZ,20180331,20180420,0,28026000000.0,6595000000.0
000001.SZ,20180331,20180420,1,28026000000.0,6595000000.0
000001.SZ,20180630,20180816,0,57241000000.0,13372000000.0
000001.SZ,20180630,20180816,1,57241000000.0,13372000000.0
000001.SZ,20180930,20181024,0,86664000000.0,20456000000.0
000001.SZ,20181231,20190307,0,116716000000.0,24818000000.0
000001.SZ,20181231,20190307,1,116716000000.0,24818000000.0
000001.SZ,20190331,20190424,0,32476000000.0,7446000000.0
000001.SZ,20190630,20190808,0,67829000000.0,15403000000.0
000001.SZ,20190630,20190808,1,67829000000.0,15403000000.0
000001.SZ,20190930,20191022,0,102958000000.0,23621000000.0
000001.SZ,20191231,20200214,0,137958000000.0,28195000000.0
000001.SZ,20191231,20200214,1,137958000000.0,28195000000.0
000001.SZ,20200331,20200421,0,37926000000.0,8548000000.0
000001.SZ,20200630,20200828,0,78328000000.0,13678000000.0
000001.SZ,20200630,20200828,1,78328000000.0,13678000000.0
000001.SZ,20200930,20201022,0,116564000000.0,22398000000.0
000001.SZ,20200930,20201022,1,116564000000.0,22398000000.0
000001.SZ,20201231,20210202,0,153542000000.0,28928000000.0
000001.SZ,20201231,20210202,1,153542000000.0,28928000000.0
000001.SZ,20210331,20210421,0,41788000000.0,10132000000.0
000001.SZ,20210331,20210421,1,41788000000.0,10132000000.0
000001.SZ,20210630,20210820,1,84680000000.0,17583000000.0
000001.SZ,20210930,20211021,0,127190000000.0,29135000000.0
000001.SZ,20211231,20220310,0,169383000000.0,36336000000.0
000001.SZ,20211231,20220310,1,169383000000.0,36336000000.0
000001.SZ,20220331,20220427,1,46207000000.0,12850000000.0
000001.SZ,20220630,20220818,1,92022000000.0,22088000000.0
000001.SZ,20220930,20221025,1,138265000000.0,36659000000.0
000001.SZ,20221231,20230309,0,179895000000.0,45516000000.0
000001.SZ,20221231,20230309,1,179895000000.0,45516000000.0
000001.SZ,20230331,20230425,0,45098000000.0,14602000000.0
000001.SZ,20230331,20230425,1,45098000000.0,14602000000.0
000001.SZ,20230630,20230824,1,88610000000.0,25387000000.0
000001.SZ,20230930,20231025,1,127634000000.0,39635000000.0
000001.SZ,20231231,20240315,1,164699000000.0,46455000000.0
000001.SZ,20240331,20240420,1,38770000000.0,14932000000.0
000001.SZ,20240630,20240816,1,77132000000.0,25879000000.0
000001.SZ,20240930,20241019,1,111582000000.0,39729000000.0
000002.SZ,20171231,20180327,0,242897110250.52,28051814882.36
000002.SZ,20180331,20180426,0,30825615283.99,894878011.08
000002.SZ,20180630,20180821,0,105974537269.94,9123743200.32
000002.SZ,20180630,20180821,1,105974537269.94,9123743200.32
000002.SZ,20180930,20181026,0,176022139199.75,13984559799.91
000002.SZ,20180930,20181026,1,176022139199.75,13984559799.91
000002.SZ,20181231,20190326,0,297679331103.19,33772651678.61
000002.SZ,20181231,20190326,1,297679331103.19,33772651678.61
000002.SZ,20190331,20190430,0,48374630775.09,1120626569.29
000002.SZ,20190630,20190821,0,139320076841.33,11841752171.43
000002.SZ,20190630,20190821,1,139320076841.33,11841752171.43
000002.SZ,20190930,20191025,0,223914757487.12,18240745065.0
000002.SZ,20190930,20191025,1,223914757487.12,18240745065.0
000002.SZ,20191231,20200318,0,367893877538.94,38872086881.32
000002.SZ,20191231,20200318,1,367893877538.94,38872086881.32
000002.SZ,20200331,20200428,0,47774342784.96,1249359312.96
000002.SZ,20200331,20200428,1,47774342784.96,1249359312.96
000002.SZ,20200630,20200828,0,146349506729.71,12507519556.5
000002.SZ,20200630,20200828,1,146349506729.71,12507519556.5
000002.SZ,20200930,20201030,0,241491467190.53,19862827129.73
000002.SZ,20200930,20201030,1,241491467190.53,19862827129.73
000002.SZ,20201231,20210331,0,419111677714.12,41515544941.31
000002.SZ,20201231,20210331,1,419111677714.12,41515544941.31
000002.SZ,20210331,20210423,1,62264095939.36,1292286264.34
000002.SZ,20210630,20210830,1,167110935244.56,11046937585.87
000002.SZ,20210930,20211029,1,271485774926.48,16688796291.88
000002.SZ,20211231,20220331,0,452797773974.14,22524033383.22
000002.SZ,20211231,20220331,1,452797773974.14,22524033383.22
000002.SZ,20220331,20220429,0,62667074774.2,1428994048.18
000002.SZ,20220331,20220429,1,62667074774.2,1428994048.18
000002.SZ,20220630,20220831,1,206916289449.72,12222659217.79
000002.SZ,20220930,20221029,1,337673241644.89,17050421834.82
000002.SZ,20221231,20230331,0,503838367358.76,22617778516.45
000002.SZ,20221231,20230331,1,503838367358.76,22617778516.45
000002.SZ,20230331,20230429,1,68474007399.21,1445811341.87
000002.SZ,20230630,20230831,1,200892590067.22,9870472245.91
000002.SZ,20230930,20231028,1,290308491288.95,13621477419.62
000002.SZ,20231231,20240329,1,465739076702.23,12162684368.86
000002.SZ,20240331,20240430,0,61594149065.84,-361967511.52
000002.SZ,20240331,20240430,1,61594149065.84,-361967511.52
000002.SZ,20240630,20240831,1,142778764079.8,-9852499598.84
000002.SZ,20240930,20241031,1,219894827698.98,-17943298450.09
000004.SZ,20171231,20180428,0,138605841.98,8566720.65
000004.SZ,20180331,20180428,0,75602890.0,2060512.89
000004.SZ,20180630,20180825,0,154491315.75,1983825.3
000004.SZ,20180930,20181031,0,256178585.2,-2591750.02
000004.SZ,20180930,20181031,1,256178585.2,-2591750.02
000004.SZ,20181231,20190426,0,366868804.7,-20270783.78
000004.SZ,20181231,20190426,1,366868804.7,-20270783.78
000004.SZ,20190331,20190426,0,106952791.02,5350063.36
000004.SZ,20190630,20190831,0,107657124.9,-1918824.57
000004.SZ,20190930,20191031,1,108175712.46,-9941144.51
000004.SZ,20191231,20200428,0,108246697.32,3099367.87
000004.SZ,20191231,20200428,1,108246697.32,3099367.87
000004.SZ,20200331,20200428,0,23253018.88,3816023.46
000004.SZ,20200630,20200831,0,53481116.86,2574595.02
000004.SZ,20200630,20200831,1,53481116.86,2574595.02
000004.SZ,20200930,20201030,0,146979353.01,57440874.21
000004.SZ,20200930,20201030,1,146979353.01,57440874.21
000004.SZ,20201231,20210428,0,280531008.22,64623126.77
000004.SZ,20201231,20210428,1,280531008.22,64623126.77
000004.SZ,20210331,20210428,1,36531150.15,4299341.11
000004.SZ,20210630,20210827,1,93012256.34,6087423.98
000004.SZ,20210930,20211027,0,166211888.59,33736616.71
000004.SZ,20210930,20211027,1,166211888.59,33736616.71
000004.SZ,20211231,20220430,0,288944181.62,-509107298.88
000004.SZ,20211231,20220430,1,288944181.62,-509107298.88
000004.SZ,20220331,20220430,0,11263731.8,-12571613.62
000004.SZ,20220331,20220430,1,11263731.8,-12571613.62
000004.SZ,20220630,20220825,1,22662761.61,-35373745.37
000004.SZ,20220930,20221028,1,84225020.29,-56765647.34
000004.SZ,20221231,20230429,0,166463289.95,-595162765.52
000004.SZ,20221231,20230429,1,166463289.95,-595162765.52
000004.SZ,20230331,20230429,0,21255770.69,-7427185.74
000004.SZ,20230331,20230429,1,21255770.69,-7427185.74
000004.SZ,20230630,20230824,1,31969481.33,-27926410.56
000004.SZ,20230930,20231028,0,80550087.91,-35199744.3
000004.SZ,20230930,20231028,1,80550087.91,-35199744.3
000004.SZ,20231231,20240430,0,110048548.32,-156992891.72
000004.SZ,20231231,20240430,1,110048548.32,-156992891.72
000004.SZ,20240331,20240430,1,15450083.67,-10752477.74
000004.SZ,20240630,20240823,1,37117699.02,-19004856.97
000004.SZ,20240930,20241026,1,75894376.85,-35826755.05
000005.SZ,20171231,20180421,0,530922230.53,15308435.84
000005.SZ,20180331,20180421,0,152150698.33,16147325.96
000005.SZ,20180630,20180830,0,273789911.71,8146692.09
000005.SZ,20180930,20181030,0,382999951.36,6531952.44
000005.SZ,20180930,20181030,1,382999951.36,6531952.44
000005.SZ,20181231,20190425,0,486180975.75,148809093.72
000005.SZ,20181231,20190425,1,486180975.75,148809093.72
000005.SZ,20190331,20190425,0,83719268.04,-17751127.36
000005.SZ,20190630,20190829,0,424134990.98,62234817.52
000005.SZ,20190930,20191030,0,569474563.65,44549968.73
000005.SZ,20190930,20191030,1,569474563.65,44549968.73
000005.SZ,20191231,20200523,0,552609080.63,174688341.61
000005.SZ,20191231,20200523,1,552609080.63,174688341.61
000005.SZ,20200331,20200430,0,45702945.93,-20988032.47
000005.SZ,20200331,20200430,1,45702945.93,-20988032.47
000005.SZ,20200630,20200829,0,133235863.47,-32131567.76
000005.SZ,20200630,20200829,1,133235863.47,-32131567.76
000005.SZ,20200930,20201029,0,218084239.15,-27574391.67
000005.SZ,20200930,20201029,1,218084239.15,-27574391.67
000005.SZ,20201231,20210430,0,398921057.66,-386883094.07
000005.SZ,20201231,20210430,1,398921057.66,-386883094.07
000005.SZ,20210331,20210430,1,48161558.61,8381021.11
000005.SZ,20210630,20210827,1,163611677.78,193280426.78
000005.SZ,20210930,20211029,0,291939696.09,194252683.83
000005.SZ,20210930,20211029,1,291939696.09,194252683.83
000005.SZ,20211231,20220427,0,383536205.94,139036735.82
000005.SZ,20211231,20220427,1,383536205.94,139036735.82
000005.SZ,20220331,20220427,0,29259137.1,1565378.27
000005.SZ,20220331,20220427,1,29259137.1,1565378.27
000005.SZ,20220630,20220827,1,89354181.83,6716482.5
000005.SZ,20220930,20221031,1,174269707.97,10071101.03
000005.SZ,20221231,20230429,0,283743655.46,-156057380.45
000005.SZ,20221231,20230429,1,283743655.46,-156057380.45
000005.SZ,20230331,20230429,1,28171813.23,-2802012.83
000005.SZ,20230630,20230830,0,78929583.74,-2127811.06
000005.SZ,20230630,20230830,1,78929583.74,-2127811.06
000005.SZ,20230930,20231028,0,127374990.81,-8373036.44
000005.SZ,20230930,20231028,1,127374990.81,-8373036.44
000005.SZ,20231231,20240514,1,194360373.55,-199310099.0
000005.SZ,20240331,20240514,1,36758059.16,-1521774.32
000005.SZ,20240630,20240831,1,97121412.45,-13604793.46
000006.SZ,20171231,20180330,0,2959450243.71,805636364.61
000006.SZ,20180331,20180427,0,485058860.26,286207670.37
000006.SZ,20180630,20180817,0,1055586030.09,415968682.59
000006.SZ,20180930,20181027,0,1593892440.25,503240092.84
000006.SZ,20180930,20181027,1,1593892440.25,503240092.84
000006.SZ,20181231,20190330,0,2511844429.36,874243319.22
000006.SZ,20181231,20190330,1,2511844429.36,874243319.22
000006.SZ,20190331,20190430,0,413493627.58,110881968.57
000006.SZ,20190630,20190816,0,953510762.07,203409521.11
000006.SZ,20190630,20190816,1,953510762.07,203409521.11
000006.SZ,20190930,20191030,0,1963440046.69,451836067.36
000006.SZ,20190930,20191030,1,1963440046.69,451836067.36
000006.SZ,20191231,20200409,0,3731330139.73,801163074.41
000006.SZ,20191231,20200409,1,3731330139.73,801163074.41
000006.SZ,20200331,20200430,0,652209471.04,127952311.57
000006.SZ,20200331,20200430,1,652209471.04,127952311.57
000006.SZ,20200630,20200828,0,1201825564.16,217420178.69
000006.SZ,20200630,20200828,1,1201825564.16,217420178.69
000006.SZ,20200930,20201029,0,1603457728.04,510432355.16
000006.SZ,20200930,20201029,1,1603457728.04,510432355.16
000006.SZ,20201231,20210331,0,2934733294.89,864638857.34
000006.SZ,20201231,20210331,1,2934733294.89,864638857.34
000006.SZ,20210331,20210429,1,918286858.38,269373883.33
000006.SZ,20210630,20210827,1,1473670564.78,388083889.43
000006.SZ,20210930,20211029,1,2302271041.85,562022994.04
000006.SZ,20211231,20220416,0,3088570522.77,541690150.63
000006.SZ,20211231,20220416,1,3088570522.77,541690150.63
000006.SZ,20220331,20220428,0,351392171.03,44431954.3
000006.SZ,20220331,20220428,1,351392171.03,44431954.3
000006.SZ,20220630,20220825,1,1354279105.66,222779662.63
000006.SZ,20220930,20221028,0,1488893110.58,201083388.86
000006.SZ,20220930,20221028,1,1488893110.58,201083388.86
