year,n_signals,sector_pit_coverage_pct,financial_pit_coverage_pct,ttm_coverage_pct,forecast_coverage_pct,express_coverage_pct
2020,8963,96.40745286176504,100.0,99.87727323440812,88.29632935401094,2.38759343969653
2021,10532,93.0307633877706,100.0,99.94303076338778,92.74591720470946,31.874287884542348
2022,15514,91.58179708650252,100.0,99.70993940956555,95.02384942632462,41.69782132267629
2023,15487,92.8456124491509,100.0,97.49467295150772,97.01039581584556,47.43333118099051
2024,13289,99.97742493791858,100.0,97.64466852283844,97.62209346075701,47.51298066069682
